cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
138, , ,34561,Hlohová,Hlohová,Hlohová,639427,"[49.53359287922566, 13.07941884684013]"
76, , ,34561,Hlohová,Hlohová,Hlohová,639427,"[49.534101348768374, 13.071833274711675]"
154, , ,34561,Hlohová,Hlohová,Hlohová,639427,"[49.53339706679721, 13.080052991713076]"
141, , ,34561,Hlohová,Hlohová,Hlohová,639427,"[49.534719997189114, 13.079316589114164]"
106, , ,34561,Hlohová,Hlohová,Hlohová,639427,"[49.53600087386801, 13.08072953917089]"
101, , ,34561,Hlohová,Hlohová,Hlohová,639427,"[49.53595617915502, 13.080401172582365]"
1, , ,34561,Hlohová,Hlohová,Hlohová,639427,"[49.53447215885865, 13.07248277662468]"
6, , ,34561,Hlohová,Hlohová,Hlohová,639427,"[49.53537842878043, 13.076407668098247]"
100, , ,34561,Hlohová,Hlohová,Hlohová,639427,"[49.535787667630835, 13.078852722298244]"
67, , ,34561,Hlohová,Hlohová,Hlohová,639427,"[49.53513557332363, 13.07468144360303]"
32, , ,34561,Hlohová,Hlohová,Hlohová,639427,"[49.533154884672115, 13.07617684210192]"
131, , ,34561,Hlohová,Hlohová,Hlohová,639427,"[49.53600743474013, 13.078670726746513]"
123, , ,34561,Hlohová,Hlohová,Hlohová,639427,"[49.53360986107293, 13.06884261740754]"
151, , ,34561,Hlohová,Hlohová,Hlohová,639427,"[49.53470794831104, 13.078480548871898]"
114, , ,34561,Hlohová,Hlohová,Hlohová,639427,"[49.53648874991281, 13.081401556031153]"
136, , ,34561,Hlohová,Hlohová,Hlohová,639427,"[49.534297723111116, 13.079459706553692]"
1, , ,34561,Hlohová,Hlohová,Hlohová,639427,"[49.5337945442403, 13.077371124185229]"
60, , ,34561,Hlohová,Hlohová,Hlohová,639427,"[49.53508793095497, 13.073831270077614]"
12, , ,34561,Hlohová,Hlohová,Hlohová,639427,"[49.53597037402683, 13.081875573601295]"
