cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
400, ,Pod Lipami,Hlubočky,Mariánské Údolí,416312805,"[49.613531599412184, 17.392518612501764]"
400, ,Nádražní,Hlubočky,Mariánské Údolí,416312805,"[49.613376181559865, 17.392347312806557]"
179, , ,Hlubočky,Hlubočky,415370805,"[49.636937410237415, 17.418562802664383]"
621, ,Na Mezích,Hlubočky,Hlubočky,62362763010,"[49.63496326631013, 17.407511946195697]"
2283, , ,Hlubočky,Hlubočky,415706805,"[49.64589342985777, 17.40883674888492]"
127, , ,Hlubočky,Mariánské Údolí,415451805,"[49.608886848507574, 17.38586645882783]"
113, , ,Hlubočky,Hrubá Voda,61050700010,"[49.673115896675505, 17.44241946102148]"
580, ,Nám. Družby,Hlubočky,Hlubočky,777164805,"[49.629706411882694, 17.411461412303822]"
616, ,Na Mezích,Hlubočky,Hlubočky,60830422010,"[49.63490524450715, 17.40647812273488]"
603, ,Lesní,Hlubočky,Mariánské Údolí,23698138010,"[49.62266462390721, 17.396639013105784]"
313, ,Lesní,Hlubočky,Mariánské Údolí,416341805,"[49.62239002872852, 17.396012756850894]"
126, , ,Hlubočky,Mariánské Údolí,415844805,"[49.60895240880365, 17.385991177476473]"
301, ,Nám. Družby,Hlubočky,Hlubočky,416147805,"[49.62920525368662, 17.409189021308453]"
363, ,Československé armády,Hlubočky,Hlubočky,46382270010,"[49.63618097993477, 17.410924705015038]"
614, ,Olomoucká,Hlubočky,Hlubočky,44412124010,"[49.624705173521576, 17.402465436229342]"
612, ,Nám. Družby,Hlubočky,Hlubočky,416359805,"[49.63194149986264, 17.406316781880907]"
610, ,V Podlesí,Hlubočky,Hlubočky,30236484010,"[49.62498229869333, 17.404273459800383]"
362, ,V Podlesí,Hlubočky,Hlubočky,16174249010,"[49.62321241285687, 17.402717299549167]"
361, ,Československé armády,Hlubočky,Hlubočky,32907947010,"[49.63615299134972, 17.413196216917452]"
613, ,Nám. Družby,Hlubočky,Hlubočky,34464951010,"[49.62958943096947, 17.41112026176459]"
570, ,K Posluchovu,Hlubočky,Mariánské Údolí,29282090010,"[49.627134150336495, 17.39688549262221]"
609, ,Pod Strání,Hlubočky,Hlubočky,29242209010,"[49.623290596184326, 17.40138445186596]"
110, , ,Hlubočky,Hrubá Voda,28148338010,"[49.66258216458479, 17.41182987920381]"
553, ,K Posluchovu,Hlubočky,Mariánské Údolí,28303804010,"[49.62532927992953, 17.397629448164242]"
599, ,Nám. Družby,Hlubočky,Hlubočky,26291311010,"[49.62880827094703, 17.405771578126334]"
631, ,K Posluchovu,Hlubočky,Mariánské Údolí,26652360010,"[49.6271708114928, 17.39632367933031]"
571, ,K Posluchovu,Hlubočky,Mariánské Údolí,24613751010,"[49.62734805459869, 17.39683945258223]"
108, , ,Hlubočky,Hrubá Voda,24147420010,"[49.66271687114515, 17.41153132480513]"
597, ,Dukelských hrdinů,Hlubočky,Hlubočky,916021805,"[49.651442187882694, 17.410383801683622]"
267, ,Československé armády,Hlubočky,Hlubočky,26464532010,"[49.63447580959164, 17.409246982387433]"
268, ,V Podlesí,Hlubočky,Hlubočky,26413395010,"[49.623111779884184, 17.402982718192227]"
552, ,K Posluchovu,Hlubočky,Mariánské Údolí,25484838010,"[49.62544692901587, 17.397917734773852]"
106, , ,Hlubočky,Hrubá Voda,422704805,"[49.66832077065229, 17.42359334640967]"
327, , ,Hlubočky,Hrubá Voda,900003805,"[49.669528681227675, 17.417970037252754]"
567, ,Dukelských hrdinů,Hlubočky,Hlubočky,416197805,"[49.6378401066368, 17.40801900626081]"
308, , ,Hlubočky,Hlubočky,416137805,"[49.62915725162645, 17.40900150845948]"
142, , ,Hlubočky,Mariánské Údolí,927234805,"[49.6071257482199, 17.38454199926205]"
104, , ,Hlubočky,Hrubá Voda,16482316010,"[49.66863234120593, 17.436560667911348]"
53, , ,Hlubočky,Hrubá Voda,422325805,"[49.64581467542621, 17.388285627949248]"
318, ,V Podlesí,Hlubočky,Hlubočky,415417805,"[49.62259885930304, 17.402586884353788]"
357, , ,Hlubočky,Hlubočky,415276805,"[49.62878292921155, 17.423229643854633]"
588, ,Nádražní,Hlubočky,Mariánské Údolí,416555805,"[49.61637340196594, 17.39644371535577]"
345, ,Internátní,Hlubočky,Mariánské Údolí,416367805,"[49.61783012926674, 17.395766050904513]"
396, ,Nádražní,Hlubočky,Mariánské Údolí,723402805,"[49.61309557528213, 17.394475039518817]"
573, ,K Posluchovu,Hlubočky,Mariánské Údolí,15750739010,"[49.62782082463838, 17.39660153870635]"
