cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
105, , ,50356,Hlušice,Hlušičky,Hlušičky,639931,"[50.26192616784868, 15.397795770345807]"
38, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26278473910262, 15.403066025836239]"
113, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26001931403299, 15.41015416775981]"
121, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26507469965073, 15.398498544282443]"
177, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.264061048265255, 15.398292088112097]"
59, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.260573837969474, 15.409772865463072]"
39, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26303455129372, 15.403159770059084]"
56, , ,50356,Hlušice,Hlušičky,Hlušičky,639931,"[50.25882840248548, 15.394639408657335]"
190, , ,50356,Hlušice,Hlušičky,Hlušičky,639931,"[50.26103518152059, 15.40027403751548]"
60, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26494656650725, 15.396926296359837]"
191, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.261381007947165, 15.399952584740753]"
153, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26114535593975, 15.399091969229165]"
155, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26547790882283, 15.39915966613399]"
111, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26528702599839, 15.397006949754081]"
55, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26464471507279, 15.398481322719467]"
137, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26616875032249, 15.396205075273361]"
8, , ,50356,Hlušice,Hlušičky,Hlušičky,639931,"[50.261970875701046, 15.397350818371864]"
193, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.262503283835144, 15.40630668639446]"
149, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26186579060458, 15.403058766710512]"
189, , ,50356,Hlušice,Hlušičky,Hlušičky,639931,"[50.26085018857854, 15.39999900033764]"
102, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26232969103238, 15.405043937520015]"
41, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.263586985736545, 15.403057186838213]"
72, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26193521638171, 15.401464991891297]"
67, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26562217086533, 15.399690958495011]"
16, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.263112120182846, 15.40379230447901]"
133, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26547962671753, 15.39552156876241]"
58, , ,50356,Hlušice,Hlušičky,Hlušičky,639931,"[50.25908730233378, 15.394136946616113]"
31, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26176082956775, 15.406176690288126]"
118, , ,50356,Hlušice,Hlušičky,Hlušičky,639931,"[50.25625234424747, 15.394941405067984]"
54, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26458067611642, 15.399063467637705]"
105, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.262187456061866, 15.398384594888658]"
116, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26514572140578, 15.398202941132185]"
104, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26210036765961, 15.399444770841642]"
118, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26189696919357, 15.402540413642075]"
169, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.263272546315804, 15.401172169153506]"
154, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26581753018808, 15.399741402949163]"
200, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26681956342009, 15.397032005036921]"
123, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.264042970160965, 15.402960722944181]"
138, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26603514967447, 15.398215976435683]"
174, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26631660569484, 15.399815057166746]"
27, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26162728526149, 15.407592924203204]"
140, , ,50356,Hlušice,Hlušičky,Hlušičky,639931,"[50.2611557182034, 15.397353494694341]"
108, , ,50356,Hlušice,Hlušičky,Hlušičky,639931,"[50.26284306384318, 15.394086466991107]"
1, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26518923162949, 15.403759626454011]"
202, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.266751368177644, 15.39776085080748]"
144, , ,50356,Hlušice,Hlušičky,Hlušičky,639931,"[50.26022667377606, 15.395926593743665]"
206, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26624844805493, 15.39881317291791]"
179, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26652129185932, 15.395563386973263]"
20, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.261479816450844, 15.403466558743533]"
151, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.260862875821175, 15.399163575146956]"
56, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26480970642188, 15.397809771298288]"
24, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26592192431274, 15.399090358333716]"
182, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26643056455411, 15.396584516329346]"
84, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26139634845841, 15.40310116314602]"
71, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26196654507321, 15.40185816549945]"
20, , ,50356,Hlušice,Hlušičky,Hlušičky,639931,"[50.25990650760739, 15.396441366559628]"
66, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26195887066508, 15.401661795963204]"
103, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.2637611155042, 15.403637230006781]"
10, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26419705499108, 15.403749731695301]"
36, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26122300245831, 15.4005061307579]"
146, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26605102881205, 15.397094473658273]"
18, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26296157894624, 15.403984865638114]"
135, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.265920098254455, 15.399401658547387]"
201, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26678467317951, 15.397413755134822]"
126, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26624911955053, 15.395488147224784]"
37, , ,50356,Hlušice,Hlušice,Hlušice,639923,"[50.26145967006121, 15.408382335069534]"
