cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
146, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15906607125775, 17.48395351768457]"
11, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15810934590967, 17.5003193338196]"
59, , ,79371,Holčovice,Spálené,Spálené,640891,"[50.15750130489858, 17.44781499359586]"
198, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.163210758357955, 17.472281211610806]"
234, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15493701267322, 17.493850196201926]"
218, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.155846325664164, 17.494388715840543]"
33, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15558611608845, 17.493977875177027]"
243, , ,79371,Holčovice,Spálené,Spálené,640891,"[50.16132580807416, 17.433662541060972]"
157, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.16029929969869, 17.48213776506962]"
236, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.145140789728444, 17.45776492964951]"
21, , ,79371,Holčovice,Spálené,Spálené,640891,"[50.15946270838777, 17.459474861583153]"
73, , ,79371,Holčovice,Hejnov,Hejnov,640859,"[50.16775208733932, 17.509648826223252]"
21, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.14511894256478, 17.484344536626086]"
29, , ,79371,Holčovice,Spálené,Spálené,640891,"[50.163990526528266, 17.422827485026232]"
29, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.155412690187056, 17.494678570478335]"
55, , ,79371,Holčovice,Hejnov,Hejnov,640859,"[50.1611016874297, 17.505456198079777]"
4, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15400505764309, 17.47646145085756]"
15, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.158691329698165, 17.50009165734909]"
1, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.16048881060117, 17.504630442632536]"
92, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.14592922065872, 17.46056961467655]"
90, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.146147776172526, 17.459581019133307]"
21, , ,79371,Holčovice,Komora,Komora,640883,"[50.163577825330194, 17.476205422587014]"
186, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.148926140510326, 17.487343539122808]"
237, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.14472659013077, 17.457785105802305]"
148, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.158564012941845, 17.48328376687771]"
35, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.156148281655625, 17.493429793311662]"
94, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15585788831729, 17.48027385638793]"
41, , ,79371,Holčovice,Komora,Komora,640883,"[50.16811081023863, 17.461684002915334]"
114, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15275634307573, 17.473654955460294]"
118, , ,79371,Holčovice,Spálené,Spálené,640891,"[50.146245633471345, 17.429847699070002]"
240, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.1451690056705, 17.459529845585987]"
58, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.155769048357435, 17.480006048439684]"
250, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.156284963104504, 17.489360917925293]"
252, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.157457815964946, 17.49752107040887]"
239, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.14490528338707, 17.45702738773984]"
258, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15580984727636, 17.48941807245643]"
237, , ,79371,Holčovice,Spálené,Spálené,640891,"[50.166591421854044, 17.464321209753003]"
13, , ,79371,Holčovice,Spálené,Spálené,640891,"[50.14898389174855, 17.43752258788422]"
68, , ,79371,Holčovice,Hejnov,Hejnov,640859,"[50.16566116024475, 17.50848770220317]"
180, , ,79371,Holčovice,Hejnov,Hejnov,640859,"[50.15837807938326, 17.49806619800777]"
30, , ,79371,Holčovice,Hejnov,Hejnov,640859,"[50.169249387819455, 17.51081273305874]"
9, , ,79371,Holčovice,Dlouhá Ves,Dlouhá Ves,640841,"[50.13007655456028, 17.509232880704477]"
197, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15702051267741, 17.483880799912423]"
15, , ,79371,Holčovice,Hejnov,Hejnov,640859,"[50.16018446850582, 17.50218772712615]"
245, , ,79371,Holčovice,Spálené,Spálené,640891,"[50.157120001315576, 17.447812306002785]"
249, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15624506045391, 17.489591810210605]"
135, , ,79371,Holčovice,Spálené,Spálené,640891,"[50.161141592865334, 17.4599535057291]"
104, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.148236763485436, 17.465732052066418]"
89, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.14600142192968, 17.45984196897307]"
174, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.156487056558134, 17.490145935402776]"
227, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15577756461306, 17.496198275655157]"
42, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15639419677287, 17.48893689195832]"
36, , ,79371,Holčovice,Spálené,Spálené,640891,"[50.160398521355525, 17.459094867654702]"
179, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.1631454761393, 17.474287437224604]"
6, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.159085912241785, 17.50077765242484]"
246, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15762388503569, 17.498016323695005]"
243, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15648763821332, 17.487236037623926]"
215, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.146255048913666, 17.46130765271551]"
221, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.162165833438266, 17.478736624034457]"
242, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15640015860624, 17.488303431875504]"
5, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.159327509228554, 17.501472493370162]"
51, , ,79371,Holčovice,Komora,Komora,640883,"[50.16353488748246, 17.477790591122687]"
12, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15806563742178, 17.499904156432287]"
7, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15582366138159, 17.478409406346607]"
121, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.155447933883465, 17.478030040571046]"
115, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.153327138561515, 17.47441260695882]"
79, , ,79371,Holčovice,Dlouhá Ves,Dlouhá Ves,640841,"[50.141959406178344, 17.48578935005498]"
79, , ,79371,Holčovice,Spálené,Spálené,640891,"[50.161263739278915, 17.43036821265266]"
8, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15522909187748, 17.478287802407486]"
6, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15588783585868, 17.479299425576755]"
22, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15753841400452, 17.4846606182664]"
140, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15913690592836, 17.48349303889858]"
225, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.155546605996, 17.495530026880246]"
33, , ,79371,Holčovice,Spálené,Spálené,640891,"[50.160686331205724, 17.45955246117389]"
36, , ,79371,Holčovice,Komora,Komora,640883,"[50.1620208597697, 17.481156681610404]"
255, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15786739806639, 17.49976513991451]"
4, , ,79371,Holčovice,Spálené,Spálené,640891,"[50.16378295903532, 17.468022930926967]"
129, , ,79371,Holčovice,Spálené,Spálené,640891,"[50.15355490075131, 17.441003487289354]"
224, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15849111113858, 17.485023802932176]"
58, , ,79371,Holčovice,Komora,Komora,640883,"[50.16324095158002, 17.474818032667194]"
3, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.14857068947067, 17.468492882008725]"
65, , ,79371,Holčovice,Hejnov,Hejnov,640859,"[50.16606581393961, 17.50792963599171]"
16, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.156550059902486, 17.496715161964758]"
207, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.1613660363597, 17.47996732137977]"
178, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15649980336867, 17.49268834351572]"
50, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15720281101478, 17.48434546239568]"
167, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.16217436748388, 17.479311757025716]"
222, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.158361408882456, 17.48540875486837]"
21, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15968074542456, 17.50368292649444]"
2, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.159588333551255, 17.503795154637494]"
162, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.1612071391115, 17.48060974817524]"
229, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15662916896802, 17.489815381652477]"
126, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15822139736007, 17.48329299150413]"
78, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.14696026904342, 17.46408279485111]"
149, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.1594210840648, 17.483998669907596]"
209, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.16322380702208, 17.473657062267392]"
10, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15346449919626, 17.474588767747036]"
136, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.160253466644306, 17.480668522550246]"
223, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.15678727771326, 17.48609465277646]"
253, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.16008667343108, 17.504114223832307]"
56, , ,79371,Holčovice,Spálené,Spálené,640891,"[50.157057296790846, 17.448578359533368]"
200, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.157685684591485, 17.484413610157333]"
86, , ,79371,Holčovice,Holčovice,Holčovice,640867,"[50.145910106361384, 17.461570361764316]"
171, , ,79371,Holčovice,Spálené,Spálené,640891,"[50.161515665788215, 17.461555889653585]"
173, , ,79371,Holčovice,Spálené,Spálené,640891,"[50.14609843981726, 17.43062990106317]"
70, , ,79371,Holčovice,Komora,Komora,640883,"[50.16358794857561, 17.47079047306844]"
73, , ,79371,Holčovice,Komora,Komora,640883,"[50.17591484676893, 17.44968483818268]"
7, , ,79371,Holčovice,Komora,Komora,640883,"[50.17523283572376, 17.451208043135335]"
16, , ,79371,Holčovice,Spálené,Spálené,640891,"[50.17675755930615, 17.447837094084683]"
148, , ,79371,Holčovice,Spálené,Spálené,640891,"[50.15898477689386, 17.45832372008053]"
2, , ,79371,Holčovice,Spálené,Spálené,640891,"[50.145683062366736, 17.428041726707498]"
3, , ,79371,Holčovice,Spálené,Spálené,640891,"[50.14608458766914, 17.431002909177813]"
10, , ,79371,Holčovice,Spálené,Spálené,640891,"[50.15752177139809, 17.441772651346188]"
69, , ,79371,Holčovice,Hejnov,Hejnov,640859,"[50.156962395411554, 17.49328014554654]"
50, , ,79371,Holčovice,Komora,Komora,640883,"[50.16455281402257, 17.47615685266974]"
