cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
2, , ,Honbice,Honbice,173254603,"[49.934567033257125, 15.892731775192194]"
39, , ,Honbice,Libanice,62240794010,"[49.931062782775186, 15.879464639636527]"
49, , ,Honbice,Honbice,173258603,"[49.93334631531279, 15.893003735789502]"
2, , ,Honbice,Libanice,60695380010,"[49.9293892726209, 15.879618343213576]"
38, , ,Honbice,Libanice,180719603,"[49.92921354856224, 15.879260261377409]"
9, , ,Honbice,Honbice,173238603,"[49.932710463049936, 15.893460773988629]"
53, , ,Honbice,Honbice,498615603,"[49.93245830498771, 15.892524969954723]"
48, , ,Honbice,Honbice,173236603,"[49.934813939269326, 15.888616926100603]"
12, , ,Honbice,Honbice,173206603,"[49.93267104129621, 15.892584356816492]"
8, , ,Honbice,Libanice,180725603,"[49.930095596062735, 15.88159690312523]"
34, , ,Honbice,Libanice,180718603,"[49.92823158340588, 15.879632270316486]"
29, , ,Honbice,Honbice,173225603,"[49.93504781993866, 15.890239873800354]"
46, , ,Honbice,Honbice,173229603,"[49.9352401359583, 15.88866891559898]"
18, , ,Honbice,Libanice,180704603,"[49.93051827858259, 15.882203599869587]"
6, , ,Honbice,Libanice,180711603,"[49.93009604744501, 15.88103161351216]"
5, , ,Honbice,Honbice,173205603,"[49.933685735944415, 15.893247046668106]"
33, , ,Honbice,Libanice,180695603,"[49.928197381799876, 15.878811631404442]"
19, , ,Honbice,Honbice,173243603,"[49.932931512334356, 15.893087364088158]"
16, , ,Honbice,Libanice,180710603,"[49.9304291912814, 15.882580868136166]"
11, , ,Honbice,Libanice,180714603,"[49.93005324883397, 15.882836165935947]"
45, , ,Honbice,Honbice,173257603,"[49.93500263767201, 15.89121676427649]"
43, , ,Honbice,Honbice,173223603,"[49.93516570080531, 15.889590696795864]"
13, , ,Honbice,Honbice,173207603,"[49.932873528577176, 15.892614897107952]"
28, , ,Honbice,Libanice,180712603,"[49.930867686114865, 15.881196057878768]"
1, , ,Honbice,Libanice,180724603,"[49.92962850166025, 15.879013242294807]"
7, , ,Honbice,Honbice,173221603,"[49.93312754604501, 15.893013891299367]"
20, , ,Honbice,Libanice,180708603,"[49.93038994311408, 15.881162805576812]"
42, , ,Honbice,Honbice,173227603,"[49.93524637450964, 15.888880837128328]"
25, , ,Honbice,Libanice,245214603,"[49.93018300446514, 15.881997347940413]"
25, , ,Honbice,Honbice,173215603,"[49.93412934811487, 15.892449857596402]"
1, , ,Honbice,Honbice,173250603,"[49.93463490547235, 15.892335786313144]"
39, , ,Honbice,Honbice,173230603,"[49.93541271069845, 15.88936245395011]"
23, , ,Honbice,Honbice,173224603,"[49.93507610465074, 15.89002951084253]"
22, , ,Honbice,Honbice,173232603,"[49.93383542609013, 15.892538519254161]"
28, , ,Honbice,Honbice,173255603,"[49.93451627898017, 15.891546573868528]"
22, , ,Honbice,Libanice,180703603,"[49.9306261745965, 15.8815380457135]"
18, , ,Honbice,Honbice,173222603,"[49.933590680276325, 15.892198421949145]"
31, , ,Honbice,Libanice,180736603,"[49.928831771917096, 15.879263920598826]"
15, , ,Honbice,Honbice,173245603,"[49.93283726305998, 15.891878997931263]"
27, , ,Honbice,Honbice,173237603,"[49.9344148782914, 15.891862277610654]"
32, , ,Honbice,Libanice,180713603,"[49.9282328129752, 15.879277226023179]"
14, , ,Honbice,Libanice,180702603,"[49.93032304561566, 15.883125481541889]"
38, , ,Honbice,Honbice,173204603,"[49.935138754568406, 15.888227208653497]"
15, , ,Honbice,Libanice,180716603,"[49.93058600144918, 15.883036810425315]"
29, , ,Honbice,Libanice,180730603,"[49.93102781573294, 15.881163596285333]"
9, , ,Honbice,Libanice,269288603,"[49.93009340114566, 15.879319081023091]"
26, , ,Honbice,Libanice,180707603,"[49.93076556180579, 15.881186512569942]"
40, , ,Honbice,Honbice,173216603,"[49.931837190164686, 15.893413119630738]"
13, , ,Honbice,Libanice,180728603,"[49.929846179772326, 15.883550103097177]"
35, , ,Honbice,Libanice,180722603,"[49.9282821998035, 15.87993339013288]"
44, , ,Honbice,Honbice,173211603,"[49.93449104749364, 15.888802067329038]"
27, , ,Honbice,Libanice,180715603,"[49.93089647371535, 15.880979441778875]"
24, , ,Honbice,Libanice,180701603,"[49.93059059949291, 15.88094903324043]"
19, , ,Honbice,Libanice,180692603,"[49.93079876778358, 15.881825328276035]"
10, , ,Honbice,Honbice,173203603,"[49.934696680642276, 15.891144646821841]"
17, , ,Honbice,Honbice,173217603,"[49.93365035157138, 15.892077017420007]"
30, , ,Honbice,Libanice,180731603,"[49.930086636320176, 15.880731794260898]"
12, , ,Honbice,Libanice,180693603,"[49.93005673661991, 15.883152212511808]"
8, , ,Honbice,Honbice,173240603,"[49.9328593251351, 15.89310838060176]"
3, , ,Honbice,Libanice,180700603,"[49.92812895087635, 15.878076622594232]"
32, , ,Honbice,Honbice,173226603,"[49.9353616611141, 15.889646121463535]"
10, , ,Honbice,Libanice,180697603,"[49.93001272372827, 15.882135584208331]"
2, , ,Honbice,Libanice,180750603,"[49.929815970047024, 15.879361468088772]"
14, , ,Honbice,Honbice,173228603,"[49.9341917084862, 15.892938229500919]"
30, , ,Honbice,Honbice,173233603,"[49.93506651597256, 15.888552472612297]"
36, , ,Honbice,Libanice,464316603,"[49.92912577106832, 15.879621299305667]"
21, , ,Honbice,Libanice,180735603,"[49.93034634704191, 15.881535837497859]"
37, , ,Honbice,Libanice,494262603,"[49.93084755549682, 15.880363830030843]"
54, , ,Honbice,Honbice,26798543010,"[49.93364467966289, 15.88847958859688]"
7, , ,Honbice,Libanice,180691603,"[49.93007459089794, 15.881316030747152]"
4, , ,Honbice,Honbice,173244603,"[49.9339049195326, 15.893214936267155]"
26, , ,Honbice,Honbice,173208603,"[49.93428255149426, 15.892108159874674]"
34, , ,Honbice,Honbice,173214603,"[49.93516857220483, 15.889828619554267]"
37, , ,Honbice,Honbice,173231603,"[49.935676501546425, 15.889721940223229]"
41, , ,Honbice,Honbice,173239603,"[49.93492481192545, 15.889241904882462]"
3, , ,Honbice,Honbice,173218603,"[49.93394956014315, 15.89296835739703]"
55, , ,Honbice,Honbice,173252603,"[49.935145646339684, 15.895246913698868]"
6, , ,Honbice,Honbice,173213603,"[49.93357872352602, 15.893092078561997]"
47, , ,Honbice,Honbice,173247603,"[49.933571324433956, 15.891803059114686]"
11, , ,Honbice,Honbice,173209603,"[49.93224401157155, 15.893040907124094]"
36, , ,Honbice,Honbice,173220603,"[49.935496784926464, 15.888548454922033]"
52, , ,Honbice,Honbice,449896603,"[49.93545111781405, 15.88901965657658]"
56, , ,Honbice,Honbice,60602477010,"[49.93568278863141, 15.88936508336259]"
1, , ,Honbice,Libanice,61565818010,"[49.92945953438003, 15.880331158408096]"
51, , ,Honbice,Honbice,173219603,"[49.93441949348945, 15.88831565230022]"
50, , ,Honbice,Honbice,173212603,"[49.93458021859311, 15.888435146755757]"
57, , ,Honbice,Honbice,62364055010,"[49.931787537518424, 15.89243662026959]"
