cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
321, , ,Horní Štěpánov,Horní Štěpánov,525896709,"[49.54253181775355, 16.78851306413312]"
335, , ,Horní Štěpánov,Horní Štěpánov,525645709,"[49.555978595363754, 16.795211621121158]"
173, , ,Horní Štěpánov,Horní Štěpánov,525911709,"[49.55057138169841, 16.790534396386878]"
31, , ,Horní Štěpánov,Horní Štěpánov,525650709,"[49.55036618269039, 16.791390041529034]"
32, , ,Horní Štěpánov,Horní Štěpánov,525653709,"[49.55028974519896, 16.79123568581053]"
99, , ,Horní Štěpánov,Horní Štěpánov,525661709,"[49.542360492858606, 16.790831252158167]"
227, , ,Horní Štěpánov,Horní Štěpánov,525666709,"[49.55452262449665, 16.793899126916852]"
54, , ,Horní Štěpánov,Horní Štěpánov,525682709,"[49.54796830820228, 16.790470375297744]"
257, , ,Horní Štěpánov,Horní Štěpánov,525913709,"[49.54314328363513, 16.787512054720416]"
15, , ,Horní Štěpánov,Pohora,525920709,"[49.561375110052296, 16.755474649339877]"
32, , ,Horní Štěpánov,Pohora,525710709,"[49.56063336802628, 16.759468803232]"
231, , ,Horní Štěpánov,Horní Štěpánov,525934709,"[49.5428402494529, 16.78904295687544]"
286, , ,Horní Štěpánov,Horní Štěpánov,525936709,"[49.54239575701073, 16.787317241357755]"
255, , ,Horní Štěpánov,Horní Štěpánov,525937709,"[49.54306418475694, 16.787868541404443]"
228, , ,Horní Štěpánov,Horní Štěpánov,525946709,"[49.543135865138375, 16.78934316057668]"
375, , ,Horní Štěpánov,Horní Štěpánov,59073678010,"[49.556242341338276, 16.794445632486013]"
192, , ,Horní Štěpánov,Horní Štěpánov,525713709,"[49.55217815260283, 16.791420965744177]"
115, , ,Horní Štěpánov,Horní Štěpánov,525727709,"[49.54424510357765, 16.788442071729108]"
260, , ,Horní Štěpánov,Horní Štěpánov,525729709,"[49.543352014615415, 16.78663203992851]"
24, , ,Horní Štěpánov,Nové Sady,525733709,"[49.55921635615145, 16.803339155182822]"
128, , ,Horní Štěpánov,Horní Štěpánov,525949709,"[49.545702943568436, 16.789379333677648]"
331, , ,Horní Štěpánov,Horní Štěpánov,525750709,"[49.54181334875641, 16.789160009828986]"
53, , ,Horní Štěpánov,Horní Štěpánov,525752709,"[49.54824908351782, 16.790660046621394]"
39, , ,Horní Štěpánov,Horní Štěpánov,525971709,"[49.54925386717073, 16.791950774229452]"
12, , ,Horní Štěpánov,Horní Štěpánov,525760709,"[49.55209872654082, 16.7929989163487]"
304, , ,Horní Štěpánov,Horní Štěpánov,525987709,"[49.54193663897375, 16.787514942945474]"
297, , ,Horní Štěpánov,Horní Štěpánov,525996709,"[49.54410508406252, 16.783899480032023]"
301, , ,Horní Štěpánov,Horní Štěpánov,526001709,"[49.55567495603141, 16.795489136319226]"
44, , ,Horní Štěpánov,Horní Štěpánov,525768709,"[49.54889301018243, 16.790761972102842]"
18, , ,Horní Štěpánov,Pohora,526017709,"[49.56147290128332, 16.756062009753894]"
14, , ,Horní Štěpánov,Horní Štěpánov,526038709,"[49.55197038491484, 16.792683982634898]"
363, , ,Horní Štěpánov,Horní Štěpánov,728901709,"[49.55681123145571, 16.795270336559852]"
