cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
82, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.86233853655455, 15.468093201500087]"
28, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.85995991906517, 15.465303881800192]"
88, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.861143547056216, 15.461831885213495]"
101, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.86145661067835, 15.46005231221495]"
100, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.860255419680925, 15.460976410508716]"
40, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.85896646608513, 15.467781391288261]"
63, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.859572523407486, 15.46583963416308]"
21, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.861699467130286, 15.46465449005792]"
32, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.86177223087842, 15.469104016295592]"
39, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.85919209474468, 15.465844035904102]"
77, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.855850316854664, 15.46585073877769]"
14, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.861750541838255, 15.465697386574622]"
90, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.86132992427508, 15.461423623088994]"
96, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.86044787823535, 15.467078248573]"
23, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.85972851439741, 15.462112324564735]"
20, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.86194059453654, 15.46527371921009]"
107, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.86083095352618, 15.464020565715662]"
87, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.8574183111482, 15.465621799430942]"
68, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.8615170719606, 15.458725462328687]"
36, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.859563004182384, 15.465197080692134]"
1, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.85837293656665, 15.466086091577681]"
104, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.86066568798259, 15.46072732008473]"
105, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.86082143657491, 15.460414323301224]"
5, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.859734748158196, 15.467753262376554]"
92, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.8615264994872, 15.46106820694456]"
55, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.86075932246244, 15.459858880125791]"
16, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.861955800036064, 15.46779614770761]"
86, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.86101961398099, 15.458020156509477]"
17, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.86209164899705, 15.466268516479735]"
12, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.861225422571856, 15.464672157241932]"
93, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.861630552483525, 15.460866832111398]"
22, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.8614355205992, 15.46445880596145]"
25, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.86062755269831, 15.464527782533224]"
99, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.861140326343815, 15.459799243466906]"
103, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.86172897697674, 15.460649433701462]"
115, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.86218429000265, 15.459297850066534]"
50, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.86113496112225, 15.464526305075498]"
117, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.86268022137152, 15.467608912777031]"
111, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.861679592650276, 15.466869957102858]"
98, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.86202134096493, 15.458971609298302]"
53, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.86143581755718, 15.463574979670922]"
51, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.86152913366791, 15.468866349052739]"
10, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.86044794288183, 15.465486340133644]"
57, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.859627438478924, 15.466687795028]"
11, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.86087982333796, 15.464974452279126]"
85, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.857514792993506, 15.465620611257517]"
67, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.85884948561092, 15.469730775379414]"
45, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.86153908225717, 15.46535222606009]"
84, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.85772958455077, 15.465638590331675]"
18, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.862185866365174, 15.465632746260022]"
4, , ,28562,Hostovlice,Hostovlice,Hostovlice,646008,"[49.85913631293146, 15.46764259648413]"
