cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
546, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.94570176909204, 16.261252824466727]"
330, , ,67171,Hostěradice,Míšovice,Míšovice,645699,"[48.96347550780141, 16.262919730097305]"
309, , ,67171,Hostěradice,Míšovice,Míšovice,645699,"[48.9596187241571, 16.26144268237257]"
39, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.952362151248636, 16.25917815914623]"
387, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.957878408499084, 16.26070708131601]"
137, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.953723451288326, 16.26081386734388]"
504, , ,67171,Hostěradice,Míšovice,Míšovice,645699,"[48.96610040230387, 16.266624921458266]"
197, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.950370981450796, 16.263806140188464]"
186, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.94872269530395, 16.26403326496595]"
544, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.94559930901426, 16.261091754773037]"
274, , ,67171,Hostěradice,Chlupice,Chlupice,645681,"[48.95177366915287, 16.241474511705068]"
11, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.949747722273656, 16.25590220946958]"
456, , ,67171,Hostěradice,Míšovice,Míšovice,645699,"[48.95601568182279, 16.260304711459128]"
256, , ,67171,Hostěradice,Chlupice,Chlupice,645681,"[48.95020213384406, 16.24469212701513]"
548, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.94579529279568, 16.261415424481495]"
24, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.95117949123345, 16.258363865692317]"
19, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.95037611464551, 16.258391523587573]"
194, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.94821247398241, 16.265206022827826]"
146, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.951334203356886, 16.26373747209565]"
465, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.94512319724243, 16.267355778006472]"
482, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.95307490565114, 16.25711831917527]"
230, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.947865633568135, 16.262118976674234]"
468, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.94830704007311, 16.255269635308014]"
324, , ,67171,Hostěradice,Míšovice,Míšovice,645699,"[48.96234662651488, 16.262589088360453]"
12, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.94996058462505, 16.25620925644342]"
615, , ,67171,Hostěradice,Chlupice,Chlupice,645681,"[48.951252421364536, 16.25167333903768]"
232, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.94814904970847, 16.26154835096729]"
510, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.95102361540065, 16.259311185792484]"
25, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.95130546934431, 16.25823236482967]"
163, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.950572936802224, 16.262260125177463]"
139, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.95281436622593, 16.260958384508697]"
147, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.95115067179766, 16.262971927182953]"
120, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.94872606166442, 16.254332224188367]"
397, , ,67171,Hostěradice,Míšovice,Míšovice,645699,"[48.9659038616722, 16.265725021795788]"
41, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.952410123561705, 16.25945850615987]"
334, , ,67171,Hostěradice,Míšovice,Míšovice,645699,"[48.96436816569834, 16.263234202652924]"
286, , ,67171,Hostěradice,Chlupice,Chlupice,645681,"[48.95037093845466, 16.244152426452874]"
488, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.94796412735772, 16.255891715121187]"
17, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.95038987727267, 16.25735862762986]"
238, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.94737024606817, 16.26227246897423]"
558, , ,67171,Hostěradice,Chlupice,Chlupice,645681,"[48.95135048067261, 16.25494060210527]"
441, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.95158324594743, 16.262581848296325]"
129, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.95659255710838, 16.259965303365043]"
458, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.94836352041929, 16.26626562198706]"
18, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.950318488639866, 16.257714504802813]"
470, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.95143144881295, 16.259928387491872]"
231, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.9479221417736, 16.262026865659927]"
93, , ,67171,Hostěradice,Hostěradice,Hostěradice,645672,"[48.95017783513976, 16.2577934185734]"
