cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
131, , ,Hoštejn,Hoštejn,57613631010,"[49.87461111072756, 16.779009640539847]"
127, , ,Hoštejn,Hoštejn,51347380010,"[49.87403812231104, 16.77697700690508]"
126, , ,Hoštejn,Hoštejn,45343114010,"[49.87417664163998, 16.777415986543414]"
60, , ,Hoštejn,Hoštejn,191731809,"[49.87357850131328, 16.773694751571327]"
88, , ,Hoštejn,Hoštejn,191732809,"[49.87363490867304, 16.766858489080242]"
112, , ,Hoštejn,Hoštejn,191704809,"[49.87411611883355, 16.774152278483403]"
115, , ,Hoštejn,Hoštejn,191706809,"[49.87553942900935, 16.773415454815567]"
1, , ,Hoštejn,Hoštejn,191709809,"[49.87588776911044, 16.77018255861699]"
107, , ,Hoštejn,Hoštejn,191666809,"[49.876856600801226, 16.773241615316376]"
123, , ,Hoštejn,Hoštejn,471723809,"[49.875084562490414, 16.779058035983738]"
31, , ,Hoštejn,Hoštejn,191675809,"[49.876757080431084, 16.77509069181456]"
109, , ,Hoštejn,Hoštejn,191676809,"[49.8748806323595, 16.773565360995075]"
118, , ,Hoštejn,Hoštejn,191720809,"[49.87478988776559, 16.777525414240404]"
110, , ,Hoštejn,Hoštejn,191664809,"[49.87469528950696, 16.773763606900435]"
106, , ,Hoštejn,Hoštejn,191604809,"[49.87464225872562, 16.775367154864476]"
26, , ,Hoštejn,Hoštejn,191607809,"[49.875847058995355, 16.776722732697337]"
82, , ,Hoštejn,Hoštejn,191609809,"[49.87491229206446, 16.772706777574456]"
5, , ,Hoštejn,Hoštejn,191610809,"[49.87549451227618, 16.772891183637785]"
101, , ,Hoštejn,Hoštejn,191744809,"[49.87728356133499, 16.7735354183083]"
70, , ,Hoštejn,Hoštejn,191643809,"[49.8750489309432, 16.774307244808742]"
90, , ,Hoštejn,Hoštejn,191644809,"[49.87532294477581, 16.77223377353026]"
52, , ,Hoštejn,Hoštejn,191646809,"[49.87576740046728, 16.777673126545192]"
78, , ,Hoštejn,Hoštejn,191648809,"[49.87549835632426, 16.7794239829902]"
20, , ,Hoštejn,Hoštejn,191756809,"[49.87369482791799, 16.775130626051272]"
66, , ,Hoštejn,Hoštejn,191757809,"[49.8745319960577, 16.770320834573244]"
95, , ,Hoštejn,Hoštejn,191758809,"[49.87387376551769, 16.772988857936873]"
59, , ,Hoštejn,Hoštejn,191759809,"[49.87296970430986, 16.765330767099975]"
36, , ,Hoštejn,Hoštejn,191575809,"[49.87646401958983, 16.77543249832154]"
