cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
32, , ,33011,Hromnice,Planá,Planá,708402,"[49.85467767342681, 13.515013561139527]"
12, , ,33011,Hromnice,Chotiná,Chotiná,648337,"[49.85865361335366, 13.479461213583193]"
243, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.84754290409615, 13.442054252097233]"
146, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.85054815570791, 13.434360245856755]"
16, , ,33011,Hromnice,Chotiná,Chotiná,648337,"[49.855216976713514, 13.485734617839293]"
128, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.84415005715565, 13.453015470758963]"
49, , ,33011,Hromnice,Nynice,Nynice,708399,"[49.84414840369927, 13.51070191917453]"
151, , ,33011,Hromnice,Žichlice,Žichlice,648345,"[49.84023907796568, 13.459772631153307]"
150, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.849297170724455, 13.435331105920024]"
121, , ,33011,Hromnice,Žichlice,Žichlice,648345,"[49.84028802449177, 13.464163239312347]"
75, , ,33011,Hromnice,Chotiná,Chotiná,648337,"[49.85588207648671, 13.488361723307705]"
119, , ,33011,Hromnice,Žichlice,Žichlice,648345,"[49.84086203608965, 13.462215756120743]"
107, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.85266029884377, 13.444606491810747]"
117, , ,33011,Hromnice,Žichlice,Žichlice,648345,"[49.84179085086295, 13.464375503676216]"
115, , ,33011,Hromnice,Žichlice,Žichlice,648345,"[49.84189253932983, 13.452920650781314]"
16, , ,33011,Hromnice,Žichlice,Žichlice,648345,"[49.840360219286794, 13.457721018403351]"
12, , ,33011,Hromnice,Žichlice,Žichlice,648345,"[49.84165278111769, 13.453538991511664]"
21, , ,33011,Hromnice,Chotiná,Chotiná,648337,"[49.854997424731785, 13.485764871662933]"
1, , ,33011,Hromnice,Planá,Planá,708402,"[49.85653449492146, 13.516311022660954]"
7, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.848392243943174, 13.443768478291233]"
125, , ,33011,Hromnice,Žichlice,Žichlice,648345,"[49.8416458727981, 13.453934297577174]"
108, , ,33011,Hromnice,Žichlice,Žichlice,648345,"[49.842783111471284, 13.453008216424458]"
13, , ,33011,Hromnice,Žichlice,Žichlice,648345,"[49.840864262137266, 13.456548997854709]"
46, , ,33011,Hromnice,Žichlice,Žichlice,648345,"[49.85627189364056, 13.463588440566493]"
27, , ,33011,Hromnice,Žichlice,Žichlice,648345,"[49.85278941082209, 13.462656188583805]"
43, , ,33011,Hromnice,Žichlice,Žichlice,648345,"[49.8404205138198, 13.462560332924284]"
17, , ,33011,Hromnice,Žichlice,Žichlice,648345,"[49.840001233243, 13.459168517606718]"
167, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.84438799822896, 13.451341930431763]"
14, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.84881610092277, 13.436247772182776]"
38, , ,33011,Hromnice,Žichlice,Žichlice,648345,"[49.855540512906394, 13.464574634097067]"
123, , ,33011,Hromnice,Žichlice,Žichlice,648345,"[49.84171895491151, 13.460652212317095]"
120, , ,33011,Hromnice,Žichlice,Žichlice,648345,"[49.84150384125989, 13.45984466899294]"
74, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.84485898012421, 13.450611664646091]"
91, , ,33011,Hromnice,Žichlice,Žichlice,648345,"[49.83769085034734, 13.461492533985428]"
240, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.84593724665591, 13.444608763939923]"
72, , ,33011,Hromnice,Žichlice,Žichlice,648345,"[49.84054263679705, 13.459871863805786]"
104, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.84604371356112, 13.439319325918927]"
252, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.84548394616229, 13.442653518076712]"
47, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.850367109804786, 13.439547135337744]"
56, , ,33011,Hromnice,Planá,Planá,708402,"[49.85635145227119, 13.517775677649801]"
52, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.84891505967327, 13.438611022418964]"
225, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.852668103441005, 13.441180917514915]"
19, , ,33011,Hromnice,Kostelec,Kostelec,701114,"[49.83197356635166, 13.509473598066833]"
135, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.84516214355812, 13.45336999266272]"
44, , ,33011,Hromnice,Planá,Planá,708402,"[49.85533933211883, 13.514881725277197]"
13, , ,33011,Hromnice,Kostelec,Kostelec,701114,"[49.83522491317762, 13.510938057143164]"
67, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.84478689290798, 13.451224269091387]"
112, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.848956110840334, 13.43741310183847]"
123, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.848590281897195, 13.440767212008106]"
233, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.846923273091626, 13.444462967736621]"
40, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.849191826857535, 13.436125680635685]"
10, , ,33011,Hromnice,Kostelec,Kostelec,701114,"[49.83332025689372, 13.510848525039943]"
107, , ,33011,Hromnice,Žichlice,Žichlice,648345,"[49.84138724110537, 13.450816940449581]"
28, , ,33011,Hromnice,Žichlice,Žichlice,648345,"[49.842175384431144, 13.454795056654444]"
16, , ,33011,Hromnice,Nynice,Nynice,708399,"[49.84581357757823, 13.511976058579382]"
26, , ,33011,Hromnice,Planá,Planá,708402,"[49.85547650536835, 13.520716894299015]"
7, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.84103556779269, 13.437527324638095]"
19, , ,33011,Hromnice,Žichlice,Žichlice,648345,"[49.8415121598594, 13.454148266777729]"
28, , ,33011,Hromnice,Žichlice,Žichlice,648345,"[49.84197191184313, 13.452522500876963]"
17, , ,33011,Hromnice,Chotiná,Chotiná,648337,"[49.853788592340244, 13.485065553227367]"
49, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.847725659738316, 13.440096386781185]"
207, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.84650853442898, 13.440959843556925]"
3, , ,33011,Hromnice,Planá,Planá,708402,"[49.857219452936505, 13.515905607292838]"
79, , ,33011,Hromnice,Hromnice,Hromnice,648329,"[49.84780902158144, 13.439285047197824]"
