cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
205, ,K Tlumoči,Hrusice,Hrusice,0,"[49.92636446032136, 14.743043947750156]"
60, ,U Potoka,Hrusice,Hrusice,807628209,"[49.9113412098752, 14.742066317308735]"
176, ,Na Výsluní,Hrusice,Hrusice,62288916010,"[49.90959282939415, 14.746060513921508]"
303, ,Josefa Lady,Hrusice,Hrusice,62383412010,"[49.90482643506478, 14.738327065222318]"
9, ,Pod Ježovem,Hrusice,Hrusice,807656209,"[49.907623364790396, 14.726823243350115]"
134, ,Nad Sokolovnou,Hrusice,Hrusice,807349209,"[49.91271690696927, 14.737154060503595]"
289, ,Hubačovská,Hrusice,Hrusice,807618209,"[49.914270926894716, 14.728980541560201]"
142, ,Ke Hřišti,Hrusice,Hrusice,807878209,"[49.91031978494307, 14.737338226179979]"
51, ,U Potoka,Hrusice,Hrusice,807264209,"[49.91195574934637, 14.74293584784726]"
297, ,Josefa Lady,Hrusice,Hrusice,60853398010,"[49.89950843867387, 14.734143141520347]"
299, ,Na Kocourkově,Hrusice,Hrusice,60928392010,"[49.908351759328816, 14.73802962178717]"
300, ,Ke Hřišti,Hrusice,Hrusice,29667355010,"[49.911113486107325, 14.736073811575206]"
298, ,Nad Hrušovem,Hrusice,Hrusice,60761496010,"[49.899380077065516, 14.733185904581495]"
90, ,Luční,Hrusice,Hrusice,807753209,"[49.89730895526198, 14.735489786652133]"
79, ,Na Hradech,Hrusice,Hrusice,807457209,"[49.90199273656952, 14.731629751972733]"
22, ,V Šolinách,Hrusice,Hrusice,807542209,"[49.91909752876809, 14.727590145704141]"
64, ,Josefa Lady,Hrusice,Hrusice,807331209,"[49.90862021727267, 14.737171480329895]"
218, ,Ke Studánce,Hrusice,Hrusice,807623209,"[49.917174776300264, 14.727383437281796]"
111, ,Hubačovská,Hrusice,Hrusice,807438209,"[49.919097749901276, 14.723487703965883]"
290, ,Nad Hrušovem,Hrusice,Hrusice,58352607010,"[49.89869514377686, 14.733995924286885]"
89, ,K Hájovně,Hrusice,Hrusice,807882209,"[49.90685536759533, 14.729951203716567]"
129, ,Nad Hřbitovem,Hrusice,Hrusice,807505209,"[49.92603648634377, 14.731902721895153]"
79, ,Josefa Lady,Hrusice,Hrusice,807638209,"[49.90761785033932, 14.737013214145891]"
285, ,Nad Hrušovem,Hrusice,Hrusice,50917274010,"[49.8991068934817, 14.733405354371293]"
284, ,Josefa Lady,Hrusice,Hrusice,45825176010,"[49.90551506320436, 14.737980998578708]"
283, ,Na Trojáku,Hrusice,Hrusice,44308119010,"[49.899317855165094, 14.735538513548999]"
