cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
26, ,Palackého,Hrušovany u Brna,Hrušovany u Brna,154849734,"[49.036469244819045, 16.59314051276908]"
26, ,Jiřího z Poděbrad,Hrušovany u Brna,Hrušovany u Brna,154849734,"[49.03634407820756, 16.593161132648618]"
148, , ,Hrušovany u Brna,Hrušovany u Brna,62571520010,"[49.04982078529445, 16.58380326635034]"
74, , ,Hrušovany u Brna,Hrušovany u Brna,0,"[49.04960641195583, 16.583766522199987]"
225, ,Sídliště,Hrušovany u Brna,Hrušovany u Brna,0,"[49.040119773361454, 16.587359050670187]"
913, ,Stávání,Hrušovany u Brna,Hrušovany u Brna,62311955010,"[49.04128029539727, 16.592283195727706]"
909, ,Stávání,Hrušovany u Brna,Hrušovany u Brna,62333173010,"[49.04087663336386, 16.592157908804612]"
767, ,Jiřího z Poděbrad,Hrušovany u Brna,Hrušovany u Brna,154090734,"[49.03369787353672, 16.59328200932968]"
39, ,Vodní,Hrušovany u Brna,Hrušovany u Brna,154730734,"[49.03424369337315, 16.594903197183395]"
318, , ,Hrušovany u Brna,Hrušovany u Brna,243352734,"[49.049740631267724, 16.58377011338094]"
668, ,Zahradní,Hrušovany u Brna,Hrušovany u Brna,16179913010,"[49.03711006093967, 16.582331253775518]"
640, ,Zahradní,Hrušovany u Brna,Hrušovany u Brna,273300734,"[49.039012430736044, 16.58427382857011]"
687, ,Hybešova,Hrušovany u Brna,Hrušovany u Brna,395733703,"[49.036737370850446, 16.589285435216308]"
685, ,Tyršova,Hrušovany u Brna,Hrušovany u Brna,385708703,"[49.03339052318279, 16.589919563654128]"
731, ,U Šatavy,Hrušovany u Brna,Hrušovany u Brna,397027703,"[49.04062107005915, 16.597079436862415]"
532, ,Havlíčkova,Hrušovany u Brna,Hrušovany u Brna,154367734,"[49.038768657172405, 16.592913031553746]"
765, ,Sídliště,Hrušovany u Brna,Hrušovany u Brna,58502605010,"[49.039340168898285, 16.587095324727635]"
253, ,Loosova,Hrušovany u Brna,Hrušovany u Brna,43396183010,"[49.03196462198069, 16.59529944457876]"
