cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
374, ,Draha,Hustopeče nad Bečvou,Hustopeče nad Bečvou,62324900010,"[49.53294244065991, 17.87807896874593]"
9, , ,Hustopeče nad Bečvou,Poruba,105194835,"[49.53628019304119, 17.902798968978612]"
51, , ,Hustopeče nad Bečvou,Hustopeče nad Bečvou,62460363010,"[49.51763168374144, 17.866244570607215]"
165, ,Polní,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102086835,"[49.53177427374877, 17.88126703883093]"
186, ,Školní,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101860835,"[49.53080359229171, 17.868474386425675]"
375, ,Lužánky,Hustopeče nad Bečvou,Hustopeče nad Bečvou,62180921010,"[49.53125655546708, 17.877470616363343]"
370, , ,Hustopeče nad Bečvou,Hustopeče nad Bečvou,55708331010,"[49.51276268850232, 17.874394161894887]"
50, , ,Hustopeče nad Bečvou,Hustopeče nad Bečvou,61307978010,"[49.51393345799573, 17.87302726505173]"
4, , ,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102232835,"[49.52659436343284, 17.853000896002726]"
3, , ,Hustopeče nad Bečvou,Vysoká,108434835,"[49.55462901496394, 17.88200550927022]"
69, , ,Hustopeče nad Bečvou,Poruba,105228835,"[49.53593432819249, 17.90343615955091]"
232, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102212835,"[49.5279086203315, 17.881547246788855]"
331, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,170704835,"[49.52818924288102, 17.880037611364624]"
117, ,Samota,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102263835,"[49.515017184679024, 17.891325475018977]"
115, ,Školní,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102080835,"[49.53093937252604, 17.869179048263646]"
48, , ,Hustopeče nad Bečvou,Hustopeče nad Bečvou,57484605010,"[49.517142973733364, 17.867965681621666]"
334, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,177180835,"[49.5277751397896, 17.881732388212136]"
158, ,Potoční,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102138835,"[49.53329213385403, 17.869570388389008]"
179, ,Polní,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101930835,"[49.53106879713039, 17.881243473866423]"
110, ,Nádražní,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101926835,"[49.530455436373394, 17.867721008636224]"
240, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102154835,"[49.52989053720323, 17.87934158164121]"
77, ,Branka,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102003835,"[49.53194529763245, 17.875169531773313]"
45, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101837835,"[49.5292118644008, 17.88099024216748]"
69, ,Branka,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102081835,"[49.53098138428666, 17.874902335877348]"
256, ,U hřiště,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101887835,"[49.53311686149587, 17.86859613551761]"
53, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102108835,"[49.529722948849944, 17.880017020829822]"
151, ,Rybníček,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101880835,"[49.53262240864848, 17.870607667809836]"
140, ,Rybníček,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102094835,"[49.5315891894113, 17.869934106638272]"
129, ,Rybníček,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101936835,"[49.53166907421656, 17.870366816669836]"
324, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102253835,"[49.531067262836885, 17.87695723720096]"
147, ,Na hrázi,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102082835,"[49.532776120824444, 17.87000345878193]"
264, ,Chmelník,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101904835,"[49.53436529478914, 17.86726951667288]"
136, ,Rybníček,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101841835,"[49.532274708274095, 17.8702263846537]"
206, ,Nová,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102192835,"[49.53413873044202, 17.866344065686402]"
102, ,Potoční,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101952835,"[49.53240471031808, 17.86922320015846]"
114, ,Rybníček,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102079835,"[49.5313921534954, 17.86980914790248]"
162, ,Polní,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102125835,"[49.53156209231211, 17.881035677076625]"
121, ,Polní,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102025835,"[49.53020659237375, 17.88055964343627]"
93, ,náměstí Míru,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101852835,"[49.530489928954644, 17.872252315095835]"
116, ,Samota,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101955835,"[49.53022351602497, 17.851079268317488]"
65, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101942835,"[49.53038309613028, 17.875166523562534]"
259, ,Chmelník,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102074835,"[49.534114892877334, 17.86852548260652]"
238, ,V zahradách,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102018835,"[49.532347213066124, 17.874031150270234]"
80, ,Branka,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101939835,"[49.532321418091286, 17.875269413305226]"
175, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102005835,"[49.529874759470545, 17.87755434380274]"
84, ,Draha,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102091835,"[49.53266665141176, 17.880173504417787]"
178, ,Polní,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101883835,"[49.531220254278445, 17.881513577944396]"
73, ,Branka,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101977835,"[49.53143727889128, 17.874977160432987]"
74, ,Branka,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101957835,"[49.53154718369805, 17.875003373170777]"
90, ,U hřiště,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101988835,"[49.532649842742856, 17.86651139241634]"
128, ,Rybníček,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101979835,"[49.53126359638094, 17.870076879543756]"
5, ,náměstí Míru,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102130835,"[49.529984144308045, 17.871185739864597]"
134, ,Rybníček,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102105835,"[49.53276408206653, 17.870712651883167]"
35, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102088835,"[49.52961452740382, 17.87910280819944]"
124, ,Potoční,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102071835,"[49.53200654901499, 17.86890449640654]"
79, ,Nádražní,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102036835,"[49.525023296728456, 17.865348326252043]"
1, ,náměstí Míru,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101949835,"[49.53023208481293, 17.8697360346412]"
31, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102004835,"[49.529865832489456, 17.877708183160127]"
251, ,V zahradách,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101877835,"[49.53237809669568, 17.873790989086416]"
234, ,Branka,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102102835,"[49.53170830254732, 17.87467560145148]"
278, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101954835,"[49.52887322238971, 17.881065403786625]"
7, ,náměstí Míru,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101853835,"[49.52991584913855, 17.87155598420861]"
61, ,Rybníček,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101886835,"[49.53291879662255, 17.870885170946913]"
163, ,Polní,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101869835,"[49.531671995729035, 17.88106190335609]"
196, ,Nová,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101847835,"[49.532871036246036, 17.865675732590045]"
230, ,U hřiště,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102098835,"[49.53351085706534, 17.86854086084274]"
133, ,Rybníček,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101943835,"[49.53265428535231, 17.871144228453026]"
314, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102314835,"[49.53128053848252, 17.87689960971825]"
198, ,Nová,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102000835,"[49.5333277545793, 17.865764233016442]"
25, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101889835,"[49.53015266726821, 17.87493525330346]"
125, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101894835,"[49.52979292829721, 17.879826888958767]"
210, ,Nová,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101960835,"[49.53299570891315, 17.86610216363078]"
229, ,U hřiště,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102097835,"[49.5334698926277, 17.867547760850133]"
168, ,Rybníček,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102065835,"[49.531470403915385, 17.87021434074719]"
82, ,Branka,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102107835,"[49.53266743804777, 17.875470622661634]"
55, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101866835,"[49.52990107348532, 17.879062672251955]"
307, ,J. V. Choráze,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102223835,"[49.53354081415088, 17.871172502298307]"
3, ,náměstí Míru,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102075835,"[49.53008495009048, 17.870602856921053]"
27, , ,Hustopeče nad Bečvou,Hustopeče nad Bečvou,111380835,"[49.51755692013095, 17.866423699838535]"
241, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101938835,"[49.53015901290885, 17.8741297975258]"
166, ,Branka,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101895835,"[49.53333330907247, 17.8752801906499]"
103, ,Potoční,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102011835,"[49.5321498591465, 17.86903698988318]"
6, ,náměstí Míru,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101927835,"[49.52995081416437, 17.87138461938957]"
20, ,náměstí Míru,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102237835,"[49.53013018364379, 17.872580191693203]"
228, ,U hřiště,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102020835,"[49.5334510840964, 17.867231323671376]"
135, ,Rybníček,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101958835,"[49.53248641999999, 17.87044639680096]"
70, ,Branka,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102024835,"[49.53109210600088, 17.874942305802314]"
156, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102023835,"[49.53028339565907, 17.87333553724511]"
261, ,Chmelník,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101897835,"[49.53422791052409, 17.867996322532594]"
9, ,náměstí Míru,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102123835,"[49.52986222785116, 17.872021272436847]"
236, ,náměstí Míru,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102048835,"[49.53078116492519, 17.871379157423416]"
181, ,náměstí Míru,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101999835,"[49.52972549366763, 17.87215141825959]"
221, ,U hřiště,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102194835,"[49.53344691227273, 17.866857341131475]"
60, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101982835,"[49.530161220950994, 17.87705644143513]"
137, ,Rybníček,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101856835,"[49.53206634044702, 17.870366588882973]"
91, ,Branka,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102013835,"[49.531902065624735, 17.87474554909029]"
108, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101974835,"[49.53032213949503, 17.875660581893154]"
28, , ,Hustopeče nad Bečvou,Hustopeče nad Bečvou,24425932010,"[49.542691851183754, 17.86000955316958]"
96, ,náměstí Míru,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102029835,"[49.530720971003866, 17.87158180692192]"
49, ,Polní,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102124835,"[49.530108092000454, 17.88057343731722]"
68, ,Branka,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102103835,"[49.5308714794358, 17.87487612366955]"
76, ,Branka,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102115835,"[49.53180852932475, 17.875147083490855]"
323, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101834835,"[49.53081650722925, 17.876839779905346]"
34, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102327835,"[49.52968690249583, 17.878648778717942]"
12, ,Vodní,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101990835,"[49.52935594246556, 17.872314205621887]"
269, ,Lužánky,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102251835,"[49.53228040359268, 17.877924789021108]"
95, ,náměstí Míru,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102022835,"[49.53063146152851, 17.87174695044284]"
104, ,Potoční,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102141835,"[49.53186646993338, 17.868674443515275]"
279, ,U hřiště,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101973835,"[49.53350824458311, 17.867889201834462]"
205, ,Nová,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102191835,"[49.53443099702022, 17.866400160870842]"
111, ,Nádražní,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101855835,"[49.53029519465842, 17.868215138284935]"
120, ,Branka,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101976835,"[49.53302395455611, 17.8752403124119]"
193, ,Nová,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101944835,"[49.53233941053226, 17.865542256702142]"
290, ,Branka,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102234835,"[49.53258348791684, 17.874969105616245]"
199, ,Nová,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101953835,"[49.53338311697752, 17.865784208680356]"
33, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102156835,"[49.52956880742545, 17.878332402622497]"
18, ,Vodní,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102312835,"[49.52982409646001, 17.872595361858338]"
148, ,Na hrázi,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102019835,"[49.53303338534034, 17.870078355955656]"
233, ,U hřiště,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102132835,"[49.53349384425202, 17.868862323667557]"
113, ,Rybníček,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101890835,"[49.531502059484914, 17.869835349121807]"
182, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101929835,"[49.53039365348627, 17.87504019693464]"
161, ,Branka,Hustopeče nad Bečvou,Hustopeče nad Bečvou,101968835,"[49.533134676075846, 17.875280284765203]"
30, ,Dlouhá,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102012835,"[49.52987554828407, 17.877415516245573]"
231, ,V zahradách,Hustopeče nad Bečvou,Hustopeče nad Bečvou,102120835,"[49.53230900833307, 17.87430008219157]"
