cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
10, , ,Hynčina,Dlouhá Ves,196626809,"[49.82951595914879, 16.793329824674064]"
44, , ,Hynčina,Křižanov,196641809,"[49.83465794603078, 16.79474359346108]"
46, , ,Hynčina,Dlouhá Ves,50624256010,"[49.828328537811835, 16.79871142683358]"
43, , ,Hynčina,Křižanov,196628809,"[49.83617493818075, 16.79525033973595]"
2, , ,Hynčina,Křižanov,196655809,"[49.838209321627424, 16.790752391963586]"
4, , ,Hynčina,Křižanov,196595809,"[49.8391553179158, 16.787396534742363]"
29, , ,Hynčina,Křižanov,196587809,"[49.835920301684986, 16.795096212033126]"
7, , ,Hynčina,Dlouhá Ves,196610809,"[49.828747274468626, 16.795708057633792]"
7, , ,Hynčina,Křižanov,196611809,"[49.836665508176026, 16.798595026702515]"
36, , ,Hynčina,Křižanov,196612809,"[49.83981076977815, 16.785346220690045]"
14, , ,Hynčina,Křižanov,196613809,"[49.836790688564605, 16.79857459834328]"
11, , ,Hynčina,Dlouhá Ves,196617809,"[49.8296764133012, 16.792104139811954]"
14, , ,Hynčina,Křižanov,196622809,"[49.83761624014395, 16.79226116088618]"
5, , ,Hynčina,Dlouhá Ves,196623809,"[49.8282737473069, 16.797644194554195]"
19, , ,Hynčina,Křižanov,196658809,"[49.83804163042902, 16.790150721330615]"
8, , ,Hynčina,Křižanov,196659809,"[49.83844014392999, 16.78976409097144]"
15, , ,Hynčina,Křižanov,196660809,"[49.83766780802922, 16.791427973316186]"
4, , ,Hynčina,Dlouhá Ves,196661809,"[49.827606912372104, 16.797808913508668]"
42, , ,Hynčina,Křižanov,196662809,"[49.83755180172143, 16.79449434747478]"
4, , ,Hynčina,Křižanov,196656809,"[49.83828689313634, 16.790432175969194]"
13, , ,Hynčina,Dlouhá Ves,196608809,"[49.830257915903765, 16.791352261054403]"
19, , ,Hynčina,Dlouhá Ves,196609809,"[49.82777300557832, 16.80024160423772]"
18, , ,Hynčina,Křižanov,196652809,"[49.83797205632625, 16.790455650626946]"
1, , ,Hynčina,Křižanov,196653809,"[49.838132693883416, 16.79108643184917]"
17, , ,Hynčina,Křižanov,196654809,"[49.83789637410271, 16.790803514201567]"
11, , ,Hynčina,Křižanov,196598809,"[49.83717835835626, 16.793395074583643]"
22, , ,Hynčina,Křižanov,196599809,"[49.8387240266099, 16.788361705382627]"
12, , ,Hynčina,Dlouhá Ves,196636809,"[49.828392967177365, 16.798463317605663]"
15, , ,Hynčina,Dlouhá Ves,196637809,"[49.82849033049181, 16.798167904777753]"
17, , ,Hynčina,Dlouhá Ves,196580809,"[49.8288727302142, 16.794765131796357]"
14, , ,Hynčina,Dlouhá Ves,196627809,"[49.83003964989346, 16.789878401141944]"
13, , ,Hynčina,Křižanov,196631809,"[49.83821625682454, 16.792177141121947]"
20, , ,Hynčina,Křižanov,196633809,"[49.83816906919208, 16.789766441004176]"
28, , ,Hynčina,Dlouhá Ves,196600809,"[49.82895731177128, 16.796400552103712]"
9, , ,Hynčina,Dlouhá Ves,196602809,"[49.829163343689395, 16.793725352356724]"
1, , ,Hynčina,Dlouhá Ves,196604809,"[49.829483468154365, 16.79642648981345]"
39, , ,Hynčina,Křižanov,196607809,"[49.83593329349061, 16.796477962126545]"
6, , ,Hynčina,Dlouhá Ves,196593809,"[49.82859742529657, 16.797088226190624]"
27, , ,Hynčina,Dlouhá Ves,196590809,"[49.82791292069276, 16.801099274838858]"
16, , ,Hynčina,Křižanov,196591809,"[49.83770117951774, 16.79125477323363]"
28, , ,Hynčina,Křižanov,196586809,"[49.83649016338962, 16.79483543075384]"
8, , ,Hynčina,Dlouhá Ves,196588809,"[49.8290427307716, 16.795268488665883]"
2, , ,Hynčina,Dlouhá Ves,196589809,"[49.82871754254603, 16.797655632440087]"
5, , ,Hynčina,Křižanov,196625809,"[49.83696647287266, 16.799957762611264]"
15, , ,Hynčina,Křižanov,498729809,"[49.83691853396182, 16.787608309088107]"
41, , ,Hynčina,Křižanov,196615809,"[49.8373249905701, 16.794615254243883]"
9, , ,Hynčina,Křižanov,196616809,"[49.83653292089704, 16.796785463248717]"
25, , ,Hynčina,Křižanov,196621809,"[49.838448295581664, 16.78684107164035]"
3, , ,Hynčina,Křižanov,196624809,"[49.83620633697324, 16.80233232024825]"
6, , ,Hynčina,Křižanov,196657809,"[49.83836351901051, 16.790098133996057]"
45, , ,Hynčina,Křižanov,196663809,"[49.836601876167066, 16.798060244041142]"
21, , ,Hynčina,Křižanov,196619809,"[49.83845876337372, 16.78897820546988]"
18, , ,Hynčina,Dlouhá Ves,196606809,"[49.82763420976689, 16.80045991006233]"
3, , ,Hynčina,Dlouhá Ves,196614809,"[49.8281353835073, 16.800252370835615]"
38, , ,Hynčina,Křižanov,196596809,"[49.83629364537341, 16.789709386579833]"
10, , ,Hynčina,Křižanov,196601809,"[49.836501660704016, 16.795798081726147]"
16, , ,Hynčina,Dlouhá Ves,196618809,"[49.827512828469885, 16.798019930502583]"
24, , ,Hynčina,Křižanov,196632809,"[49.83826219315348, 16.78954153723208]"
6, , ,Hynčina,Křižanov,498651809,"[49.836078161249915, 16.801248932279734]"
117, , ,Hynčina,Hynčina,193079809,"[49.844843488624804, 16.736649883121107]"
32, , ,Hynčina,Hynčina,409760809,"[49.867884637169304, 16.78986029047942]"
46, , ,Hynčina,Hynčina,193139809,"[49.84854124270595, 16.771026910722334]"
60, , ,Hynčina,Hynčina,193045809,"[49.85131905036619, 16.788106846220543]"
89, , ,Hynčina,Hynčina,193025809,"[49.850044470988585, 16.791153657317818]"
35, , ,Hynčina,Hynčina,193171809,"[49.85056121918023, 16.77477910207837]"
3, , ,Hynčina,Hynčina,193037809,"[49.846663482005575, 16.79486588033767]"
4, , ,Hynčina,Hynčina,193035809,"[49.84628100285022, 16.795487597746938]"
98, , ,Hynčina,Hynčina,193155809,"[49.852882829714524, 16.787837245136775]"
131, , ,Hynčina,Hynčina,193140809,"[49.86339248769176, 16.747500965052133]"
140, , ,Hynčina,Hynčina,193145809,"[49.852322476710036, 16.78506225235908]"
75, , ,Hynčina,Hynčina,193147809,"[49.85154883213867, 16.788558695721857]"
57, , ,Hynčina,Hynčina,193084809,"[49.85209130332775, 16.784722504154796]"
128, , ,Hynčina,Hynčina,193120809,"[49.86453470895427, 16.748334350202615]"
130, , ,Hynčina,Hynčina,193149809,"[49.84762531659088, 16.794387225816564]"
14, , ,Hynčina,Hynčina,193072809,"[49.846643980400955, 16.793918317059923]"
45, , ,Hynčina,Hynčina,193166809,"[49.848701345983514, 16.771252373249453]"
26, , ,Hynčina,Hynčina,193168809,"[49.85267164475037, 16.780516437003865]"
108, , ,Hynčina,Hynčina,193047809,"[49.84902715692697, 16.76518640347015]"
66, , ,Hynčina,Hynčina,193134809,"[49.84905859564475, 16.79141261157736]"
123, , ,Hynčina,Hynčina,193055809,"[49.84827565034166, 16.751858159737058]"
138, , ,Hynčina,Hynčina,0,"[49.86309827999447, 16.744402177299136]"
119, , ,Hynčina,Hynčina,193107809,"[49.84874556613981, 16.752788338654796]"
70, , ,Hynčina,Hynčina,193130809,"[49.847312573440284, 16.793787308996755]"
117, , ,Hynčina,Hynčina,193105809,"[49.849674675014114, 16.79198731023693]"
20, , ,Hynčina,Hynčina,193033809,"[49.85261857258815, 16.788577096189268]"
69, , ,Hynčina,Hynčina,193028809,"[49.84769969380277, 16.793458705330416]"
61, , ,Hynčina,Hynčina,193135809,"[49.84974349471752, 16.782638755661345]"
9, , ,Hynčina,Hynčina,193158809,"[49.848773233362415, 16.79310787961858]"
135, , ,Hynčina,Hynčina,193042809,"[49.849641939521916, 16.794470771002054]"
2, , ,Hynčina,Hynčina,193032809,"[49.85013798364651, 16.790086043181233]"
6, , ,Hynčina,Hynčina,193061809,"[49.84570342655057, 16.79497735585289]"
88, , ,Hynčina,Hynčina,193054809,"[49.84827696200795, 16.794015981337598]"
106, , ,Hynčina,Hynčina,193111809,"[49.863080551855546, 16.74339394911834]"
142, , ,Hynčina,Hynčina,193108809,"[49.85200906256925, 16.78821653134296]"
36, , ,Hynčina,Hynčina,193070809,"[49.84841247863792, 16.75098413066074]"
