cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
222, , ,Hájek,Hájek,60822373010,"[50.28001225959511, 12.913829563975018]"
221, , ,Hájek,Hájek,60493439010,"[50.27783764005606, 12.924475305641474]"
137, , ,Hájek,Hájek,395556403,"[50.28391732168403, 12.925596681447702]"
140, , ,Hájek,Hájek,395964403,"[50.27771667387405, 12.917225908833156]"
148, , ,Hájek,Hájek,393131403,"[50.28407292514895, 12.925245749851696]"
124, , ,Hájek,Hájek,185482403,"[50.28002416858265, 12.929128299789054]"
147, , ,Hájek,Hájek,411353403,"[50.28014509804621, 12.915286763318733]"
125, , ,Hájek,Hájek,185479403,"[50.27949974109916, 12.929526115310582]"
214, , ,Hájek,Hájek,45764130010,"[50.2828385954324, 12.926090134043088]"
211, , ,Hájek,Hájek,44179114010,"[50.277621039955974, 12.923826198837334]"
213, , ,Hájek,Hájek,48360237010,"[50.27868496223699, 12.914117444385823]"
212, , ,Hájek,Hájek,34669950010,"[50.28196187232451, 12.923635775505645]"
119, , ,Hájek,Hájek,351167403,"[50.27833863363417, 12.928663334944089]"
209, , ,Hájek,Hájek,41963088010,"[50.277874511186425, 12.924800580950437]"
210, , ,Hájek,Hájek,44071130010,"[50.27779823291354, 12.924137588264257]"
207, , ,Hájek,Hájek,32180071010,"[50.27817995185041, 12.92655760163845]"
208, , ,Hájek,Hájek,35651947010,"[50.28471755288715, 12.925768597100113]"
202, , ,Hájek,Hájek,29495174010,"[50.278147662402354, 12.926238864227724]"
198, , ,Hájek,Hájek,26810370010,"[50.27791898446703, 12.92532937713744]"
196, , ,Hájek,Hájek,26476442010,"[50.277637279449486, 12.92299833607488]"
195, , ,Hájek,Hájek,23487932010,"[50.27932522494353, 12.9207919736111]"
194, , ,Hájek,Hájek,25665069010,"[50.28370681915655, 12.924327446542755]"
193, , ,Hájek,Hájek,25058663010,"[50.28347902235206, 12.917678321548694]"
180, , ,Hájek,Hájek,15532088010,"[50.28391479091704, 12.924134063397469]"
192, , ,Hájek,Hájek,23677344010,"[50.28047914982789, 12.915293766071217]"
3, , ,Hájek,Hájek,277069307,"[49.11067637281423, 14.061464249656918]"
6, , ,Hájek,Hájek,277072307,"[49.109914266367866, 14.057783521509897]"
10, , ,Hájek,Hájek,277074307,"[49.111199123293744, 14.061032597295675]"
5, , ,Hájek,Hájek,277081307,"[49.11059147108694, 14.06026518671695]"
17, , ,Hájek,Hájek,277070307,"[49.11176345394262, 14.062113805134295]"
9, , ,Hájek,Hájek,277075307,"[49.110656250104, 14.06056933517863]"
21, , ,Hájek,Hájek,277076307,"[49.11178105439272, 14.062884766862899]"
