cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
80, , ,40502,Hřensko,Mezná,Mezná,693804,"[50.868592076161, 14.29633878513646]"
144, , ,40717,Hřensko,Hřensko,Hřensko,648957,"[50.85054803108768, 14.218628148169792]"
23, , ,40502,Hřensko,Mezná,Mezná,693804,"[50.86858409431264, 14.296917679923812]"
70, , ,40502,Hřensko,Mezná,Mezná,693804,"[50.86686364042366, 14.297683484844095]"
36, , ,40502,Hřensko,Mezná,Mezná,693804,"[50.8690436233994, 14.293790274732846]"
69, , ,40502,Hřensko,Mezná,Mezná,693804,"[50.86710505889565, 14.304442735466237]"
1, , ,40502,Hřensko,Mezná,Mezná,693804,"[50.866978138548525, 14.30269226952811]"
137, , ,40717,Hřensko,Hřensko,Hřensko,648957,"[50.87417867412152, 14.243327705025495]"
6, , ,40717,Hřensko,Hřensko,Hřensko,648957,"[50.880058219804475, 14.238282098444216]"
23, , ,40717,Hřensko,Hřensko,Hřensko,648957,"[50.87392264155878, 14.24002748698597]"
3, , ,40502,Hřensko,Mezná,Mezná,693804,"[50.86763302665041, 14.29869024614467]"
22, , ,40502,Hřensko,Mezná,Mezná,693804,"[50.86873713761167, 14.296697550623687]"
20, , ,40717,Hřensko,Hřensko,Hřensko,648957,"[50.84410332457303, 14.219038546552941]"
6, , ,40502,Hřensko,Mezná,Mezná,693804,"[50.86737223383122, 14.299335643248153]"
28, , ,40717,Hřensko,Hřensko,Hřensko,648957,"[50.87431079367831, 14.241949984352328]"
97, , ,40717,Hřensko,Hřensko,Hřensko,648957,"[50.87159663025193, 14.234675125977637]"
66, , ,40502,Hřensko,Mezná,Mezná,693804,"[50.86818141303012, 14.299042888062619]"
120, , ,40717,Hřensko,Hřensko,Hřensko,648957,"[50.87350958878311, 14.241409987955471]"
10, , ,40502,Hřensko,Mezná,Mezná,693804,"[50.8667717912093, 14.29725909744387]"
99, , ,40717,Hřensko,Hřensko,Hřensko,648957,"[50.8744786689227, 14.244050347549027]"
46, , ,40502,Hřensko,Mezná,Mezná,693804,"[50.86660557940117, 14.302171853113164]"
85, , ,40502,Hřensko,Mezná,Mezná,693804,"[50.87018474936861, 14.296852299100827]"
13, , ,40502,Hřensko,Mezná,Mezná,693804,"[50.868216006763234, 14.295521420536517]"
62, , ,40502,Hřensko,Mezná,Mezná,693804,"[50.86765273698292, 14.29953209067364]"
55, , ,40502,Hřensko,Mezná,Mezná,693804,"[50.868707302677095, 14.292960726154353]"
24, , ,40502,Hřensko,Mezná,Mezná,693804,"[50.868929741455496, 14.297544401259556]"
71, , ,40502,Hřensko,Mezná,Mezná,693804,"[50.87343807145303, 14.317006258245158]"
34, , ,40502,Hřensko,Mezná,Mezná,693804,"[50.86717614564425, 14.296080134055009]"
135, , ,40717,Hřensko,Hřensko,Hřensko,648957,"[50.86937774705552, 14.23350243534088]"
54, , ,40502,Hřensko,Mezná,Mezná,693804,"[50.868557533484704, 14.29730531884684]"
30, , ,40717,Hřensko,Hřensko,Hřensko,648957,"[50.87457109145313, 14.242839208063195]"
26, , ,40502,Hřensko,Mezná,Mezná,693804,"[50.868126873777555, 14.298423829887527]"
87, , ,40502,Hřensko,Mezná,Mezná,693804,"[50.869748711335404, 14.295724387675468]"
125, , ,40717,Hřensko,Hřensko,Hřensko,648957,"[50.8739076507969, 14.238424094584232]"
123, , ,40717,Hřensko,Hřensko,Hřensko,648957,"[50.879662958136706, 14.238226122818025]"
49, , ,40502,Hřensko,Mezná,Mezná,693804,"[50.86646051004059, 14.302791763362857]"
69, , ,40717,Hřensko,Hřensko,Hřensko,648957,"[50.875676261324735, 14.247529710583898]"
75, , ,40717,Hřensko,Hřensko,Hřensko,648957,"[50.874415840191, 14.241496369967837]"
