cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
26, , ,38001,Hříšice,Jersice,Jersice,621072,"[49.10414762708811, 15.526181616386216]"
6, , ,38001,Hříšice,Jersice,Jersice,621072,"[49.105580786826074, 15.529395541990354]"
25, , ,38001,Hříšice,Hříšice,Hříšice,649074,"[49.10405844631516, 15.494188339073396]"
27, , ,38001,Hříšice,Jersice,Jersice,621072,"[49.10586355907711, 15.530010338579444]"
81, , ,38001,Hříšice,Hříšice,Hříšice,649074,"[49.10321148845933, 15.49863636690973]"
77, , ,38001,Hříšice,Hříšice,Hříšice,649074,"[49.10138913932285, 15.496672722369842]"
16, , ,38001,Hříšice,Hříšice,Hříšice,649074,"[49.10316616928799, 15.497001815390783]"
59, , ,38001,Hříšice,Hříšice,Hříšice,649074,"[49.10126249257079, 15.497969496322769]"
22, , ,38001,Hříšice,Hříšice,Hříšice,649074,"[49.103700194795266, 15.495318575894112]"
19, , ,38001,Hříšice,Hříšice,Hříšice,649074,"[49.10362028802603, 15.496219179295467]"
30, , ,38001,Hříšice,Jersice,Jersice,621072,"[49.10325609332417, 15.525404739673272]"
3, , ,38001,Hříšice,Jersice,Jersice,621072,"[49.10610620393576, 15.528184952394621]"
92, , ,38001,Hříšice,Hříšice,Hříšice,649074,"[49.10366041276257, 15.497293511011641]"
15, , ,38001,Hříšice,Hříšice,Hříšice,649074,"[49.10305502176501, 15.497359887618297]"
66, , ,38001,Hříšice,Hříšice,Hříšice,649074,"[49.10228567315898, 15.497658857267156]"
70, , ,38001,Hříšice,Hříšice,Hříšice,649074,"[49.102832176752564, 15.49814553791083]"
6, , ,38001,Hříšice,Hříšice,Hříšice,649074,"[49.102843542079626, 15.495606759288535]"
28, , ,38001,Hříšice,Jersice,Jersice,621072,"[49.10375584825373, 15.525436402925418]"
5, , ,38001,Hříšice,Hříšice,Hříšice,649074,"[49.10290688534598, 15.49524356770312]"
37, , ,38001,Hříšice,Hříšice,Hříšice,649074,"[49.1017182493329, 15.498705675879629]"
86, , ,38001,Hříšice,Hříšice,Hříšice,649074,"[49.10119064896689, 15.498621269716528]"
