cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
28, , ,40502,Janská,Janská,Janská,657204,"[50.80852183935497, 14.37832028349621]"
47, , ,40502,Janská,Janská,Janská,657204,"[50.80513141289943, 14.381136525936917]"
101, , ,40502,Janská,Janská,Janská,657204,"[50.80473287568274, 14.35723807143573]"
67, , ,40502,Janská,Janská,Janská,657204,"[50.80781221042929, 14.378441628274402]"
118, , ,40502,Janská,Janská,Janská,657204,"[50.80441064107386, 14.367721362119028]"
57, , ,40502,Janská,Janská,Janská,657204,"[50.805657478033446, 14.377667594251218]"
1, , ,40502,Janská,Janská,Janská,657204,"[50.80725258061287, 14.361182141279523]"
54, , ,40502,Janská,Janská,Janská,657204,"[50.80902858277996, 14.359291828301]"
37, , ,40502,Janská,Janská,Janská,657204,"[50.80771676124985, 14.377285909643517]"
97, , ,40502,Janská,Janská,Janská,657204,"[50.80735230657929, 14.360731846062894]"
95, , ,40502,Janská,Janská,Janská,657204,"[50.8069480408339, 14.360351235561534]"
9, , ,40502,Janská,Janská,Janská,657204,"[50.801538616764994, 14.36776240666178]"
59, , ,40502,Janská,Janská,Janská,657204,"[50.8054829858366, 14.359269839281946]"
111, , ,40502,Janská,Janská,Janská,657204,"[50.80335322495779, 14.362348989173043]"
60, , ,40502,Janská,Janská,Janská,657204,"[50.80457651715014, 14.376792833692733]"
115, , ,40502,Janská,Janská,Janská,657204,"[50.80206486921262, 14.36800270902417]"
117, , ,40502,Janská,Janská,Janská,657204,"[50.80388537809329, 14.362578789395226]"
87, , ,40502,Janská,Janská,Janská,657204,"[50.807329298058185, 14.387640886889091]"
22, , ,40502,Janská,Janská,Janská,657204,"[50.804667447874714, 14.369630021234737]"
83, , ,40502,Janská,Janská,Janská,657204,"[50.80451888316844, 14.368354931169804]"
58, , ,40502,Janská,Janská,Janská,657204,"[50.80596574541214, 14.385121529563268]"
116, , ,40502,Janská,Janská,Janská,657204,"[50.80490084439135, 14.377486278949908]"
10, , ,40502,Janská,Janská,Janská,657204,"[50.80492382934094, 14.362823216173458]"
112, , ,40502,Janská,Janská,Janská,657204,"[50.80557879581348, 14.380992475238513]"
98, , ,40502,Janská,Janská,Janská,657204,"[50.80754880885346, 14.360932979172]"
89, , ,40502,Janská,Janská,Janská,657204,"[50.80670158909351, 14.360200401764207]"
114, , ,40502,Janská,Janská,Janská,657204,"[50.80469628149114, 14.35806238297479]"
16, , ,40502,Janská,Janská,Janská,657204,"[50.804453402210115, 14.366345375170846]"
96, , ,40502,Janská,Janská,Janská,657204,"[50.80714815323085, 14.360557305863122]"
25, , ,40502,Janská,Janská,Janská,657204,"[50.80407762438781, 14.37033684759425]"
103, , ,40502,Janská,Janská,Janská,657204,"[50.80481410601934, 14.36842455224683]"
27, , ,40502,Janská,Janská,Janská,657204,"[50.80827062685086, 14.37858744692902]"
21, , ,40502,Janská,Janská,Janská,657204,"[50.80567523267344, 14.370750167908906]"
2, , ,40502,Janská,Janská,Janská,657204,"[50.80833114867192, 14.37598957691922]"
14, , ,40502,Janská,Janská,Janská,657204,"[50.805101585566774, 14.363941996416758]"
51, , ,40502,Janská,Janská,Janská,657204,"[50.804965648902254, 14.378635004567773]"
99, , ,40502,Janská,Janská,Janská,657204,"[50.80779031937438, 14.360647641652744]"
13, , ,40502,Janská,Janská,Janská,657204,"[50.80441644562459, 14.363096399867642]"
84, , ,40502,Janská,Janská,Janská,657204,"[50.80368921223684, 14.368562473357104]"
49, , ,40502,Janská,Janská,Janská,657204,"[50.80474674749702, 14.380365128695857]"
30, , ,40502,Janská,Janská,Janská,657204,"[50.80593323783644, 14.374515519982797]"
38, , ,40502,Janská,Janská,Janská,657204,"[50.80777923729909, 14.378114691408792]"
106, , ,40502,Janská,Janská,Janská,657204,"[50.80204222565383, 14.368365656735365]"
5, , ,40502,Janská,Janská,Janská,657204,"[50.803939105550995, 14.35925889956425]"
121, , ,40502,Janská,Janská,Janská,657204,"[50.80539306855295, 14.367562811059125]"
102, , ,40502,Janská,Janská,Janská,657204,"[50.803823452570114, 14.369314665093398]"
93, , ,40502,Janská,Janská,Janská,657204,"[50.80755787759811, 14.37854147445545]"
122, , ,40502,Janská,Janská,Janská,657204,"[50.804220918520336, 14.363655793449347]"
17, , ,40502,Janská,Janská,Janská,657204,"[50.80502050200628, 14.367142878880196]"
45, , ,40502,Janská,Janská,Janská,657204,"[50.80444559137803, 14.384901656560162]"
120, , ,40502,Janská,Janská,Janská,657204,"[50.80589851693507, 14.360251769873534]"
53, , ,40502,Janská,Janská,Janská,657204,"[50.80688424105986, 14.361167770597781]"
12, , ,40502,Janská,Janská,Janská,657204,"[50.804472306044765, 14.363636283074975]"
69, , ,40502,Janská,Janská,Janská,657204,"[50.804527404690624, 14.36245951440124]"
77, , ,40502,Janská,Janská,Janská,657204,"[50.80726606254986, 14.37813950047228]"
105, , ,40502,Janská,Janská,Janská,657204,"[50.80680294619025, 14.361116206337336]"
92, , ,40502,Janská,Janská,Janská,657204,"[50.805247420610264, 14.381935407653861]"
15, , ,40502,Janská,Janská,Janská,657204,"[50.805093234170364, 14.365076633210272]"
34, , ,40502,Janská,Janská,Janská,657204,"[50.80495141071666, 14.376411641087245]"
76, , ,40502,Janská,Janská,Janská,657204,"[50.80561447520385, 14.384274075742642]"
74, , ,40502,Janská,Janská,Janská,657204,"[50.80634758261504, 14.360119749392585]"
85, , ,40502,Janská,Janská,Janská,657204,"[50.80496599610901, 14.366233063318825]"
100, , ,40502,Janská,Janská,Janská,657204,"[50.80502519001632, 14.363676116102987]"
94, , ,40502,Janská,Janská,Janská,657204,"[50.80751240672311, 14.3781194473412]"
48, , ,40502,Janská,Janská,Janská,657204,"[50.80535550345075, 14.380101117311822]"
86, , ,40502,Janská,Janská,Janská,657204,"[50.80403229402878, 14.384190615029162]"
110, , ,40502,Janská,Janská,Janská,657204,"[50.80175799363108, 14.369574149923158]"
75, , ,40502,Janská,Janská,Janská,657204,"[50.80177100652069, 14.368313141791006]"
109, , ,40502,Janská,Janská,Janská,657204,"[50.80192187660434, 14.369729424605541]"
79, , ,40502,Janská,Janská,Janská,657204,"[50.803470580196205, 14.387321387424114]"
107, , ,40502,Janská,Janská,Janská,657204,"[50.80185460788281, 14.368808421212421]"
104, , ,40502,Janská,Janská,Janská,657204,"[50.804191019254354, 14.384640922991597]"
73, , ,40502,Janská,Janská,Janská,657204,"[50.80522320782309, 14.360138463335314]"
291, , ,40502,Janská,Janská,Janská,657204,"[50.80062010814514, 14.382262860718965]"
91, , ,40502,Janská,Janská,Janská,657204,"[50.80393663553305, 14.384947667621892]"
108, , ,40502,Janská,Janská,Janská,657204,"[50.80203276343596, 14.368858333068149]"
88, , ,40502,Janská,Janská,Janská,657204,"[50.803947256115286, 14.384698756922036]"
11, , ,40502,Janská,Janská,Janská,657204,"[50.804310986541346, 14.369275736762619]"
43, , ,40502,Janská,Janská,Janská,657204,"[50.80569679870014, 14.38316445380984]"
119, , ,40502,Janská,Janská,Janská,657204,"[50.80359862286787, 14.367796892289956]"
