cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
63, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.25381486448479, 16.35966314128444]"
7, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.25492450408924, 16.361602972085507]"
18, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.258020137628534, 16.36310813239685]"
139, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.2530279019066, 16.362271348569994]"
30, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.255283129604685, 16.36157386027673]"
15, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.25275075282113, 16.36182091019502]"
111, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.25393498465206, 16.354691486033822]"
28, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.255558121418474, 16.361854524039295]"
3, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.25423118777429, 16.360781028551436]"
138, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.25710932901434, 16.362157253321914]"
84, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.25330417837775, 16.35849222496399]"
53, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.27179842134836, 16.335816751420005]"
147, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.254138971344275, 16.356912500467054]"
62, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.253793866792236, 16.359828027649407]"
36, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.26138365543114, 16.35848496141914]"
48, ,Šmelcovna,66483,Javůrek,Javůrek,Javůrek,657972,"[49.267209660926916, 16.353510619002012]"
127, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.25435043411713, 16.361175415999178]"
123, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.25813766059161, 16.36413059021527]"
72, ,Šmelcovna,66483,Javůrek,Javůrek,Javůrek,657972,"[49.26180973271455, 16.358744200455302]"
1, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.2538616994574, 16.36042924256973]"
83, ,Šmelcovna,66471,Javůrek,Javůrek,Javůrek,657972,"[49.26707450800191, 16.353146507217694]"
113, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.25238782626933, 16.356521258916942]"
106, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.253297673973464, 16.357923148341253]"
118, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.25366751074663, 16.355335992810577]"
100, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.252852494196766, 16.357434441965612]"
69, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.25592626782781, 16.362222733637076]"
27, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.25876835845303, 16.363683189426315]"
59, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.253799111301845, 16.359927211518883]"
103, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.25725773428967, 16.36275060235031]"
49, , ,66471,Javůrek,Javůrek,Javůrek,657972,"[49.266881480653375, 16.354466516442]"
155, , ,66483,Javůrek,Javůrek,Javůrek, ,"[49.25815565889857, 16.36484664543622]"
132, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.254353664367784, 16.362460392830872]"
128, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.25288561582187, 16.361399731170113]"
93, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.25283944440686, 16.356882380419872]"
136, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.25290661551088, 16.35701179289975]"
77, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.254126824066745, 16.36023468438221]"
121, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.25472744421204, 16.356495591815772]"
133, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.25363832156654, 16.360716077268435]"
124, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.254843352108864, 16.363331527250917]"
102, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.25399018359585, 16.358113611799137]"
22, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.257698306058366, 16.36266524947731]"
114, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.25843450987735, 16.36399505690842]"
6, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.25719573821673, 16.36639938879031]"
21, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.257714112144434, 16.362913046288877]"
11, , ,66483,Javůrek,Javůrek,Javůrek,657972,"[49.255690307649076, 16.36242642362665]"
