cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
55, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23241857647272, 13.97672431335836]"
20, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.233443373939345, 13.972653576071446]"
47, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23314243051079, 13.973022922317261]"
11, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23160137955041, 13.966610868432248]"
19, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23339062330567, 13.972359232170174]"
32, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23136706748704, 13.968951196909904]"
35, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23228987828212, 13.972106710273255]"
12, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23153030567777, 13.966701996183406]"
48, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.233449455213716, 13.974240950675584]"
41, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23238012163266, 13.97587535229882]"
16, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23272103179539, 13.97198616529911]"
151, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23265141165531, 13.969068886479239]"
33, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.231103150304726, 13.96972191885123]"
38, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23080702720915, 13.970167078448865]"
24, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23244456479333, 13.97237466602557]"
13, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23266455092399, 13.971343028198351]"
96, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23394536776853, 13.972169357851401]"
152, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.2304339920474, 13.96852934739963]"
53, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23028586399119, 13.969927178725303]"
60, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23160745975443, 13.971694047723455]"
146, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23274111078455, 13.974314537464007]"
25, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23326071275551, 13.975888813576486]"
169, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23209375292396, 13.969290174931158]"
2, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23144113663689, 13.972322521947925]"
79, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23259922783626, 13.975166944737289]"
133, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.232385326272805, 13.974620108968896]"
57, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.22548583669556, 13.938168414206048]"
163, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23051705231867, 13.967066367000369]"
68, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.2335788850492, 13.972270173126924]"
82, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23072744072503, 13.969760102101032]"
88, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23815582977548, 13.977150231980598]"
154, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23254673603944, 13.968752343575215]"
165, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23268273518658, 13.969767084008561]"
91, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23891847730361, 13.976843860980804]"
92, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.233672302407165, 13.970352481506502]"
136, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23360285664234, 13.973540158407127]"
61, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23366961713003, 13.972706541198162]"
59, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23329981939816, 13.974495812073418]"
111, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.230956547154, 13.967793543631533]"
126, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23092572061387, 13.966413568693797]"
50, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23090388365778, 13.970491453405947]"
131, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.233436628223146, 13.969237849512346]"
167, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23404112951082, 13.970510562211903]"
44, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.233460070891965, 13.973549067352439]"
42, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23119476447994, 13.970037699290069]"
18, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23326579156181, 13.975678800982699]"
40, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23334825578517, 13.97476903179332]"
166, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23241943508776, 13.974201804539208]"
4, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23158530416343, 13.97138577925022]"
148, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23268128571547, 13.969455866682827]"
6, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23148613709584, 13.970791023585338]"
67, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23359741894609, 13.972889962430264]"
75, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23110906791456, 13.968363869338717]"
84, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23300045367745, 13.977241843982483]"
102, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.232591984374686, 13.97585805772585]"
104, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23245985023766, 13.976353119979947]"
105, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23372547416141, 13.969944048050188]"
110, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23319508151996, 13.977640782178]"
119, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23240501481903, 13.975307735575695]"
76, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.21275281995784, 13.925932990061956]"
116, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23312700238485, 13.977838422079293]"
69, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23366638142956, 13.970811359271034]"
98, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23040804571424, 13.970267114681636]"
103, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23254752216484, 13.975985693450077]"
62, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.2330240671997, 13.974977886574402]"
127, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23108631740617, 13.966443127583187]"
66, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.2336070700817, 13.971160131536054]"
156, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23037268676925, 13.968061636368375]"
52, , ,27378,Jedomělice,Jedomělice,Jedomělice,658103,"[50.23258901515928, 13.974871855027816]"
