cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
129, , ,Jetřichovice,Vysoká Lípa,299025502,"[50.85449338496597, 14.352760064193847]"
113, , ,Jetřichovice,Všemily,62331191010,"[50.838123068638104, 14.368076739968519]"
45, , ,Jetřichovice,Všemily,258751502,"[50.841149320659554, 14.376464474945278]"
60, , ,Jetřichovice,Jetřichovice,247546502,"[50.846733109743134, 14.396132946745347]"
44, , ,Jetřichovice,Všemily,62306990010,"[50.83757082596424, 14.367146585816679]"
93, , ,Jetřichovice,Všemily,258749502,"[50.839952864130794, 14.373094078274297]"
65, , ,Jetřichovice,Jetřichovice,247520502,"[50.84680976997757, 14.39456025217866]"
101, , ,Jetřichovice,Jetřichovice,247348502,"[50.85305689060033, 14.390251009859673]"
148, , ,Jetřichovice,Všemily,61013575010,"[50.836697127109765, 14.373581847288476]"
9, , ,Jetřichovice,Všemily,291180502,"[50.84086316118047, 14.391289299225646]"
5, , ,Jetřichovice,Jetřichovice,60785364010,"[50.85380652379549, 14.393828974255221]"
9, , ,Jetřichovice,Rynartice,256388502,"[50.849407561526576, 14.41975638062195]"
148, , ,Jetřichovice,Jetřichovice,58040011010,"[50.8528277066671, 14.396851884873325]"
5, , ,Jetřichovice,Všemily,56883569010,"[50.841837112004804, 14.392050916136506]"
47, , ,Jetřichovice,Rynartice,25086613010,"[50.84745059183576, 14.415623866182424]"
110, , ,Jetřichovice,Jetřichovice,387482502,"[50.849178625081564, 14.391225139850649]"
109, , ,Jetřichovice,Jetřichovice,387483502,"[50.8491331857456, 14.391536053743181]"
29, , ,Jetřichovice,Vysoká Lípa,258896502,"[50.85249890623351, 14.35097862731395]"
3, , ,Jetřichovice,Vysoká Lípa,258829502,"[50.856734468868254, 14.346811506590727]"
70, , ,Jetřichovice,Vysoká Lípa,258884502,"[50.860854862799705, 14.355200771124986]"
92, , ,Jetřichovice,Všemily,258701502,"[50.8371114787662, 14.369764694052314]"
90, , ,Jetřichovice,Rynartice,256380502,"[50.85255365812067, 14.422541491268454]"
121, , ,Jetřichovice,Vysoká Lípa,258904502,"[50.856253441576285, 14.347949094510302]"
86, , ,Jetřichovice,Jetřichovice,247492502,"[50.84391714568749, 14.391970340542237]"
17, , ,Jetřichovice,Jetřichovice,247456502,"[50.85068622769176, 14.380647411780753]"
42, , ,Jetřichovice,Rynartice,256357502,"[50.85381161398999, 14.428446274580727]"
37, , ,Jetřichovice,Jetřichovice,16066661010,"[50.852418338429125, 14.388526508703317]"
94, , ,Jetřichovice,Vysoká Lípa,258819502,"[50.8617404500283, 14.357229531414234]"
57, , ,Jetřichovice,Všemily,258773502,"[50.83732486070568, 14.374690901151432]"
79, , ,Jetřichovice,Rynartice,256346502,"[50.85016808053056, 14.425052105129032]"
40, , ,Jetřichovice,Jetřichovice,415672502,"[50.84724350778518, 14.396706469561803]"
17, , ,Jetřichovice,Jetřichovice,247425502,"[50.852415350682, 14.395766257482764]"
132, , ,Jetřichovice,Vysoká Lípa,415150502,"[50.85405346780676, 14.35245919034189]"
28, , ,Jetřichovice,Rynartice,256348502,"[50.84590853737684, 14.417191660692334]"
94, , ,Jetřichovice,Jetřichovice,247553502,"[50.84451515536906, 14.399651171292382]"
7, , ,Jetřichovice,Jetřichovice,247381502,"[50.85173809926527, 14.379600832168741]"
27, , ,Jetřichovice,Jetřichovice,247328502,"[50.848842720979235, 14.394236760814323]"
127, , ,Jetřichovice,Jetřichovice,247545502,"[50.87631563877575, 14.412098489741735]"
77, , ,Jetřichovice,Všemily,23835692010,"[50.84089564311119, 14.391037871617273]"
