cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
20, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.344825030279615, 14.338559486855521]"
2, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34455074524399, 14.337725348808503]"
125, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.344066669467686, 14.338388721000518]"
90, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.3443476079791, 14.336288003427168]"
84, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.3450431925203, 14.340972303306565]"
76, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34555768401134, 14.342282770993059]"
40, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34264909979925, 14.335955048308646]"
16, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34503196950225, 14.3387628489928]"
150, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34605956138056, 14.336618066637687]"
128, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34166619159687, 14.340705112459334]"
18, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34511363060124, 14.339152092636834]"
58, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.344897647523055, 14.339620892251457]"
121, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.3411296212322, 14.342732561758906]"
71, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34535411055039, 14.341228458527036]"
61, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.345696841175844, 14.338545095434556]"
122, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.341402091734786, 14.34219753780316]"
9, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.345099212286726, 14.33782714465559]"
88, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.344837379010855, 14.34151690102245]"
63, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34321856864569, 14.339276513653642]"
78, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34557582577091, 14.342666212903804]"
59, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.3454368813199, 14.338660601350277]"
32, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34424162314477, 14.336365025901069]"
120, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34129472350604, 14.342470709186047]"
85, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34464917583161, 14.341346630467424]"
83, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34618442938345, 14.337890586452668]"
93, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34470318750263, 14.341890798402884]"
6, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34491649902451, 14.336650458054601]"
80, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34473965366626, 14.34107440259935]"
23, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34430278561385, 14.33834817146632]"
103, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.342027671339245, 14.34090504528267]"
41, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34250207485861, 14.33581317946355]"
142, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34618453307721, 14.335981028139726]"
43, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.343913388843866, 14.335921176838225]"
143, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34595150472342, 14.336116667527197]"
72, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34540599740791, 14.341525721119295]"
112, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34573497604242, 14.341653003096837]"
12, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.3448749531023, 14.339224115593398]"
73, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34548168907323, 14.341675982168189]"
67, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34488788792144, 14.341344539013727]"
129, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34683575908787, 14.33661571087774]"
24, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34408675638464, 14.338933995184641]"
53, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34524657434929, 14.338917600993991]"
52, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34410447858816, 14.339204187587296]"
81, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34545772626583, 14.341795642749606]"
55, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.344250956824744, 14.339192718308727]"
99, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34260476107241, 14.340132923030243]"
92, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34476267061121, 14.341705003386325]"
62, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34580929995897, 14.338502133459253]"
86, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34460876766218, 14.341453825362807]"
110, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34555497899517, 14.341121093803256]"
36, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34384081143369, 14.33810620633914]"
75, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34570320597089, 14.337313213017746]"
70, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.345238613531436, 14.340866969890259]"
28, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.3445564290726, 14.338192192719148]"
126, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.345515523953104, 14.337544544552134]"
10, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.345271979062396, 14.338603584777639]"
134, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34155479759623, 14.344870722163488]"
91, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.3423202312519, 14.335599150068004]"
8, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34485926796259, 14.336888113291726]"
115, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34367258863551, 14.338256146721498]"
82, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.344780651455125, 14.340916583777155]"
64, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34385787963058, 14.33862461575763]"
7, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34422768730112, 14.337799785962533]"
98, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.342725469490425, 14.339856704384953]"
37, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34328341199125, 14.336326420684628]"
131, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.3417880550973, 14.344791822926256]"
68, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.344514556387686, 14.338909624390393]"
148, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34650405817073, 14.336819562613327]"
154, , ,27705,Jeviněves,Jeviněves,Jeviněves, ,"[50.343906838759416, 14.339322346593672]"
147, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34639335608068, 14.335368355438868]"
48, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34440551839196, 14.335572480601273]"
79, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.344399092081744, 14.339091530254473]"
57, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.34369565996706, 14.33926344650604]"
60, , ,27705,Jeviněves,Jeviněves,Jeviněves,659347,"[50.3455686025235, 14.338519705021968]"
