cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
50, , ,78823,Jindřichov,Pusté Žibřidovice,Pusté Žibřidovice,660370,"[50.0770122793036, 17.02186890592314]"
120, , ,78823,Jindřichov,Jindřichov,Jindřichov,660396,"[50.094324763104, 16.979511411535686]"
79, , ,78823,Jindřichov,Pusté Žibřidovice,Pusté Žibřidovice,660370,"[50.078084553081105, 17.024460396342352]"
8, , ,78823,Jindřichov,Pusté Žibřidovice,Pusté Žibřidovice,660370,"[50.07633197225225, 17.021046254606166]"
83, , ,78823,Jindřichov,Pusté Žibřidovice,Pusté Žibřidovice,660370,"[50.07929734494264, 17.029421261658833]"
42, , ,78823,Jindřichov,Habartice,Habartice,660353,"[50.107893577371534, 16.948978339134516]"
100, , ,78823,Jindřichov,Jindřichov,Jindřichov,660396,"[50.098420327557314, 16.991323840094747]"
95, , ,78823,Jindřichov,Jindřichov,Jindřichov,660396,"[50.09800863707402, 16.990042064342592]"
47, , ,78823,Jindřichov,Pusté Žibřidovice,Pusté Žibřidovice,660370,"[50.075453227474696, 17.02197267995328]"
152, , ,78823,Jindřichov,Nové Losiny,Nové Losiny,706370,"[50.1147044417134, 17.02475038485743]"
13, , ,78823,Jindřichov,Habartice,Habartice,660353,"[50.110631097204376, 16.95735254139397]"
42, , ,78823,Jindřichov,Nové Losiny,Nové Losiny,706370,"[50.116151994922504, 17.026557525929896]"
39, , ,78823,Jindřichov,Nové Losiny,Nové Losiny,706370,"[50.11337954251933, 17.045086080522914]"
43, , ,78823,Jindřichov,Pusté Žibřidovice,Pusté Žibřidovice,660370,"[50.07733976686487, 17.02358196229476]"
4, , ,78823,Jindřichov,Nové Losiny,Nové Losiny,706361,"[50.105257121648044, 17.006259949567173]"
10, , ,78823,Jindřichov,Pusté Žibřidovice,Pusté Žibřidovice,660370,"[50.07729617485835, 17.024291068503963]"
9, , ,75301,Jindřichov,Jindřichov,Jindřichov,660345,"[49.63790432840427, 17.754983400555908]"
54, , ,78823,Jindřichov,Pusté Žibřidovice,Pusté Žibřidovice,660396,"[50.0852250684014, 16.98743794158281]"
111, , ,75301,Jindřichov,Jindřichov,Jindřichov,660345,"[49.63196887979535, 17.75715144483252]"
2, , ,75301,Jindřichov,Jindřichov,Jindřichov,660345,"[49.641582261992845, 17.748258050426944]"
85, , ,78823,Jindřichov,Jindřichov,Jindřichov,660388,"[50.10579975897089, 16.993920811518308]"
28, , ,78823,Jindřichov,Pusté Žibřidovice,Pusté Žibřidovice,660370,"[50.07837497163754, 17.027082401589066]"
139, , ,78823,Jindřichov,Nové Losiny,Nové Losiny,706361,"[50.10668436564722, 17.020028501553874]"
27, , ,75301,Jindřichov,Jindřichov,Jindřichov,660345,"[49.633093867025224, 17.757460514339904]"
87, , ,75301,Jindřichov,Jindřichov,Jindřichov,660345,"[49.650052672589254, 17.744999538569132]"
75, , ,75301,Jindřichov,Jindřichov,Jindřichov,660345,"[49.63564321711733, 17.75657174878638]"
15, , ,78823,Jindřichov,Pusté Žibřidovice,Pusté Žibřidovice,660370,"[50.07834671637934, 17.027887378464747]"
119, , ,78823,Jindřichov,Pusté Žibřidovice,Pusté Žibřidovice,660370,"[50.079366534808656, 17.03019669514613]"
95, , ,78823,Jindřichov,Nové Losiny,Nové Losiny,706370,"[50.11358535933731, 17.00943383886849]"
115, , ,75301,Jindřichov,Jindřichov,Jindřichov,660345,"[49.656852732231464, 17.744541890243717]"
74, , ,78823,Jindřichov,Pusté Žibřidovice,Pusté Žibřidovice,660370,"[50.077798661222616, 17.021907908418743]"
153, , ,78823,Jindřichov,Nové Losiny,Nové Losiny,706370,"[50.11484280336204, 17.024864232389344]"
9, , ,78823,Jindřichov,Nové Losiny,Nové Losiny,706361,"[50.105304811383476, 17.007208686938146]"
6, , ,78823,Jindřichov,Nové Losiny,Nové Losiny,706370,"[50.11359023042367, 17.04219484404953]"
81, , ,78823,Jindřichov,Nové Losiny,Nové Losiny,706370,"[50.11391021394305, 17.0096987330149]"
26, , ,78823,Jindřichov,Nové Losiny,Nové Losiny,706370,"[50.114260105847286, 17.040630673455624]"
5, , ,78823,Jindřichov,Nové Losiny,Nové Losiny,706370,"[50.11475149071363, 17.024365955951424]"
