cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
82, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.2304334313489, 16.190752200145173]"
67, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.23199041891778, 16.192458133696103]"
6, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.229435254420196, 16.194242154481316]"
114, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.22888304971059, 16.19180907436423]"
81, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.23275947292131, 16.193913959724675]"
6, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.231967501772786, 16.193609177667007]"
67, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.2321753997976, 16.19202523743378]"
70, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.23094547919091, 16.1971447640269]"
7, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.22962938239784, 16.193932075442472]"
56, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.219739255079894, 16.1922909322828]"
75, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.23190660514076, 16.196439029632355]"
76, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.23184893398611, 16.196393756541017]"
71, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.23136847456623, 16.196504762388464]"
47, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.23283314389734, 16.19222891526426]"
9, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.23004444071019, 16.193307257487927]"
10, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.23010962026715, 16.19308865094501]"
11, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.230245675976285, 16.19309267394878]"
80, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.23154387833928, 16.192660030413272]"
43, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.23832998748354, 16.20006795780149]"
8, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.23304398855228, 16.19542627419922]"
73, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.23132176479705, 16.19709329905452]"
60, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.22939975855781, 16.189632644248015]"
68, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.2320379340034, 16.19236696464063]"
74, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.23130511178339, 16.1972343863097]"
8, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.22983630133741, 16.19355067645775]"
72, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.230978784828906, 16.196862591413975]"
2, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.22958984344699, 16.18987602626573]"
79, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.2314318024956, 16.193342841779938]"
9, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.23320603730203, 16.195536355924233]"
106, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.24222721497275, 16.20695014613336]"
10, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.23275563065425, 16.19519991050722]"
65, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.23257645621297, 16.191941790864664]"
95, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.23088658442266, 16.197569572350588]"
89, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.23881999028924, 16.200122974828087]"
77, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.23025126725812, 16.190493616004172]"
112, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.231486286475196, 16.18969873388744]"
94, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.23055150965739, 16.193675292505002]"
109, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.231701289930676, 16.190144270985247]"
97, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.23008137625425, 16.19468735904872]"
26, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.230581787178885, 16.19517637941251]"
17, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.230809576505536, 16.192400543287768]"
93, , ,67571,Jinošov,Jinošov,Jinošov,660752,"[49.23100576553418, 16.193333872260567]"
