cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
115, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.26103830100094, 14.982890942048723]"
21, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25680932278933, 14.994838045723462]"
102, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.26045866158572, 14.994548102318921]"
2, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.256319709013425, 14.983834516137371]"
41, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25595842399249, 14.98704072693263]"
6, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.256826077618506, 14.984082861804021]"
13, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25525064883829, 14.994723186168942]"
46, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25865100602272, 14.982197044107746]"
22, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.257207044927, 14.995062402238167]"
61, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.255837061108195, 14.99479097108939]"
17, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25795647418427, 14.983769718461508]"
37, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.2567504525096, 14.996288827583177]"
5, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.257354439782866, 14.991019090271612]"
107, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25882457056746, 14.984286699569104]"
43, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.2573312745781, 14.991829843821444]"
24, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.257533989699034, 14.995000588092324]"
31, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25792200686906, 14.992902470568556]"
67, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25642481340401, 14.997904889343811]"
68, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.256961682192454, 14.991310766132626]"
73, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25678141597403, 14.993508201790702]"
35, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25925326339465, 14.983011855745447]"
30, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25774320606491, 14.984039218690151]"
2, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.257435196339806, 14.994276472175398]"
11, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.257525017307586, 14.983331251475786]"
39, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25571340586034, 14.986119309262053]"
49, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.256143528767296, 14.985296798009836]"
78, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25664868084032, 14.981988696391742]"
80, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25641736338479, 14.979355794995842]"
19, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.258640931592936, 14.981940145866398]"
57, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.255411016786184, 14.986133076115413]"
41, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25778064152616, 14.996508044613217]"
60, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.2566663408175, 14.99671509905884]"
107, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25784554002253, 14.99364157882237]"
66, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25918939162204, 14.996032775406174]"
103, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.259503453310785, 14.992874781269087]"
69, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25826916915612, 14.991130775786145]"
83, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25895897181991, 14.993542808147964]"
63, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.257287032813906, 14.995982220087573]"
89, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.258207975083906, 14.979477853328591]"
18, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.256639207282404, 14.989071059423884]"
84, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25711081974772, 14.995607798740835]"
25, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.256457328686814, 14.983295833468931]"
100, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.2603515814543, 14.993806104565548]"
91, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.257801267180476, 14.996325545518177]"
4, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25646041252447, 14.984638637154346]"
114, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.26070660304674, 14.982391921005904]"
23, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25821225896669, 14.98390171112262]"
27, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25817189628177, 14.982764401275793]"
59, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.255541271264626, 14.985886786294033]"
2, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25842652341745, 14.982882482153821]"
72, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25593684164738, 14.983033673124229]"
64, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25587223108557, 14.985196230367393]"
81, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.26033258418513, 14.996737389439676]"
1, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.2597893469821, 14.992279478627712]"
70, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25786564623824, 14.991170088220672]"
93, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.259119951710666, 14.993277714726082]"
75, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25808008277267, 14.994515264788438]"
74, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25745827429257, 14.996187954323188]"
56, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25972575850344, 14.996308702186273]"
29, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25825914353162, 14.98421308630863]"
106, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.26170638019103, 14.983292354741149]"
58, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25546653907181, 14.985985504909975]"
109, , ,28802,Jizbice,Jizbice,Jizbice, ,"[50.25673728062823, 14.997856490667244]"
99, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25667418175294, 14.989926591775657]"
45, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.256098939111205, 14.979267503497727]"
94, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.258420923806625, 14.993702112818104]"
64, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.257801654665464, 14.992382395448391]"
95, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25644007001213, 15.000622240382407]"
96, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25640118672208, 14.980337522041115]"
23, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25735479503193, 14.994699316618455]"
16, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.258108295960454, 14.984252432007093]"
63, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.255720690361116, 14.98528167005585]"
66, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25601213581622, 14.984658791698035]"
113, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.256628903695116, 14.98502872700865]"
47, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25818627295796, 14.99625438885214]"
50, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.258692625465315, 14.99664683521861]"
77, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25746737077775, 14.992348421296489]"
21, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.2589282834934, 14.981655608808987]"
10, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25759464546835, 14.983561929132566]"
92, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25998965437186, 14.992722145949601]"
3, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.256209515225365, 14.985000599111833]"
76, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.2560203576399, 14.994290741819391]"
80, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.26039315520476, 14.996484709455414]"
53, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.258568192952474, 14.996431617769526]"
52, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.2570022382883, 14.996087533418265]"
39, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25778750985262, 14.996127522243185]"
28, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25744894759107, 14.991487827317632]"
17, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25776637867499, 14.994736180372833]"
86, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25868249651361, 14.98091037774304]"
9, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25732311027677, 14.983784976294988]"
67, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.256020169372846, 14.984360197914876]"
62, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25564721054886, 14.98546724532]"
110, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.26115431965516, 14.983630562644397]"
94, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25748236645722, 14.982649642304263]"
26, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.258797778440304, 14.99602452372748]"
54, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25939935199144, 14.996342117290483]"
74, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25591331135922, 14.98264248897407]"
3, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25939497909055, 14.991680537511698]"
60, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25560188761399, 14.985760100600425]"
58, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25881908322405, 14.993571137262999]"
42, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.258007731377724, 14.996138513648756]"
36, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25861062970055, 14.98291586714699]"
104, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.260735832523515, 14.983177982578152]"
90, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25965607695026, 14.996953117655478]"
37, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.258576030342844, 14.98326228967994]"
71, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25588173905409, 14.983242820526957]"
86, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25683521180816, 14.995645921861913]"
87, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25896736162775, 14.98110406059732]"
5, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.256696147771635, 14.984421158683624]"
7, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.25701801487528, 14.983931671576942]"
18, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.258230923341515, 14.98238474456571]"
101, , ,28802,Jizbice,Jizbice,Jizbice,661422,"[50.25630556671259, 14.994102186306051]"
20, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.258841202275484, 14.98176603796269]"
22, , ,28802,Jizbice,Zavadilka,Zavadilka,661422,"[50.259572520793164, 14.98347039491289]"
