cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
145, , ,Jičíněves,Jičíněves,62232784010,"[50.369364375382084, 15.338212599696753]"
22, , ,Jičíněves,Bartoušov,256307604,"[50.35658333359418, 15.30922264713822]"
18, , ,Jičíněves,Bartoušov,256314604,"[50.35220939841005, 15.311851914871248]"
6, , ,Jičíněves,Bartoušov,256338604,"[50.35634719127129, 15.309784224697149]"
44, , ,Jičíněves,Bartoušov,15077706010,"[50.35188441222716, 15.312122985755558]"
31, , ,Jičíněves,Bartoušov,256294604,"[50.356469952646506, 15.30842020007036]"
5, , ,Jičíněves,Bartoušov,256324604,"[50.35621615804432, 15.309887830709709]"
19, , ,Jičíněves,Bartoušov,256317604,"[50.35659222150519, 15.309716882848958]"
8, , ,Jičíněves,Bartoušov,256323604,"[50.357286774521164, 15.30990025075078]"
15, , ,Jičíněves,Bartoušov,256298604,"[50.35256224515938, 15.311913126982525]"
7, , ,Jičíněves,Bartoušov,256299604,"[50.35695476038265, 15.309815272859552]"
28, , ,Jičíněves,Bartoušov,256306604,"[50.35226701122068, 15.311491817412083]"
30, , ,Jičíněves,Bartoušov,256312604,"[50.356501051707745, 15.30893259518547]"
9, , ,Jičíněves,Bartoušov,256313604,"[50.35741562055992, 15.309791972980765]"
3, , ,Jičíněves,Bartoušov,256304604,"[50.35642976929865, 15.311560591725335]"
34, , ,Jičíněves,Bartoušov,256327604,"[50.356308079290805, 15.307547678660043]"
42, , ,Jičíněves,Bartoušov,372209604,"[50.355895939864624, 15.309731993498115]"
23, , ,Jičíněves,Bartoušov,256315604,"[50.356527273651956, 15.309505006169736]"
16, , ,Jičíněves,Bartoušov,256325604,"[50.352351756059306, 15.311761820934718]"
1, , ,Jičíněves,Bartoušov,256333604,"[50.35538535059118, 15.310233826160479]"
4, , ,Jičíněves,Bartoušov,256337604,"[50.3567306837167, 15.310185269110871]"
32, , ,Jičíněves,Bartoušov,256296604,"[50.356370633947265, 15.308204590247891]"
2, , ,Jičíněves,Bartoušov,256297604,"[50.35619235231367, 15.310527837119043]"
41, , ,Jičíněves,Bartoušov,256342604,"[50.35741731346163, 15.310386202991698]"
5, , ,Jičíněves,Labouň,274390604,"[50.34594509634249, 15.327389733234002]"
18, , ,Jičíněves,Labouň,274398604,"[50.34625287032063, 15.32284563327373]"
24, , ,Jičíněves,Labouň,274401604,"[50.347426992769215, 15.3278130606436]"
25, , ,Jičíněves,Labouň,274404604,"[50.346194347018454, 15.32838644641269]"
46, , ,Jičíněves,Labouň,274406604,"[50.34596707088407, 15.328779259399619]"
37, , ,Jičíněves,Labouň,274414604,"[50.346193517178406, 15.328051742954054]"
22, , ,Jičíněves,Labouň,274372604,"[50.346264832644756, 15.327594169909341]"
44, , ,Jičíněves,Labouň,274373604,"[50.34613416292265, 15.327760073569749]"
16, , ,Jičíněves,Labouň,274434604,"[50.34649142500819, 15.32179173596908]"
30, , ,Jičíněves,Labouň,274397604,"[50.34622972123372, 15.321926834522705]"
32, , ,Jičíněves,Labouň,274375604,"[50.34499465068822, 15.329161770234215]"
