cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
34, , ,Jámy,Jámy,225940714,"[49.53144091701744, 16.00678412443838]"
53, , ,Jámy,Jámy,225830714,"[49.52601680419656, 16.005410993352495]"
211, , ,Jámy,Jámy,62443661010,"[49.52957981291416, 16.003770376868392]"
203, , ,Jámy,Jámy,61295685010,"[49.53106567470701, 16.01023717597344]"
152, , ,Jámy,Jámy,225753714,"[49.530631515023295, 16.00653611116642]"
200, , ,Jámy,Jámy,29941421010,"[49.53393236989439, 16.010811531696604]"
127, , ,Jámy,Jámy,225915714,"[49.53384434652307, 16.007471157489267]"
31, , ,Jámy,Jámy,225780714,"[49.53040128465217, 16.006472340225695]"
80, , ,Jámy,Jámy,225845714,"[49.53204149945295, 16.010685880251405]"
146, , ,Jámy,Jámy,225884714,"[49.53399771909142, 16.00914067581287]"
24, , ,Jámy,Jámy,225814714,"[49.528285483696166, 16.006265879028625]"
84, , ,Jámy,Jámy,225839714,"[49.532960215369954, 16.008588661414027]"
125, , ,Jámy,Jámy,225857714,"[49.533459415383945, 16.007887583772636]"
47, , ,Jámy,Jámy,225747714,"[49.530392388515104, 16.005875884608976]"
158, , ,Jámy,Jámy,225843714,"[49.530284388287356, 16.00564482025362]"
9, , ,Jámy,Jámy,225933714,"[49.53180776646406, 16.011186555389312]"
100, , ,Jámy,Jámy,225835714,"[49.53345499244326, 16.00866726665934]"
86, , ,Jámy,Jámy,225767714,"[49.53930926846377, 15.98937155179514]"
68, , ,Jámy,Jámy,225818714,"[49.534295095516, 16.007446339031453]"
20, , ,Jámy,Jámy,225962714,"[49.52761147032937, 16.005732546186202]"
102, , ,Jámy,Jámy,225748714,"[49.53036669303194, 16.004698291381185]"
1, , ,Jámy,Jámy,225938714,"[49.53263056546727, 16.005545872715643]"
51, , ,Jámy,Jámy,225781714,"[49.527239553123266, 16.003448628956455]"
177, , ,Jámy,Jámy,49675246010,"[49.52750856906238, 16.00281649228396]"
180, , ,Jámy,Jámy,44086154010,"[49.528055508966936, 16.002148624493547]"
185, , ,Jámy,Jámy,26854623010,"[49.5290633486405, 16.002427596531632]"
190, , ,Jámy,Jámy,26413357010,"[49.52844060296177, 16.002691785323304]"
187, , ,Jámy,Jámy,25753837010,"[49.52776260015666, 16.00306318522787]"
183, , ,Jámy,Jámy,25768023010,"[49.52868385724778, 16.002078136462117]"
182, , ,Jámy,Jámy,25004737010,"[49.52847946163327, 16.002128545231063]"
2, , ,Jámy,Jámy,315029714,"[49.55299905663592, 15.997051891560293]"
74, , ,Jámy,Jámy,225749714,"[49.53312382746571, 16.00668178368348]"
42, , ,Jámy,Jámy,225920714,"[49.53182335554094, 16.00588469502286]"
43, , ,Jámy,Jámy,225906714,"[49.53132527507118, 16.005403370068212]"
57, , ,Jámy,Jámy,225760714,"[49.534063225921614, 16.00821099331135]"
62, , ,Jámy,Jámy,225778714,"[49.52728233069598, 16.003774763010686]"
14, , ,Jámy,Jámy,225953714,"[49.52920679756837, 16.004682844398825]"
16, , ,Jámy,Jámy,225870714,"[49.52858156157954, 16.004794466456133]"
71, , ,Jámy,Jámy,225917714,"[49.52950774946636, 16.005310595553485]"
83, , ,Jámy,Jámy,225896714,"[49.5271373655429, 16.003174824647132]"
155, , ,Jámy,Jámy,225934714,"[49.531642835450164, 16.00900456664963]"
135, , ,Jámy,Jámy,225856714,"[49.53376224538603, 16.008181257100684]"
44, , ,Jámy,Jámy,225907714,"[49.53115949874059, 16.005725037479415]"
176, , ,Jámy,Jámy,22713653010,"[49.527413798847505, 16.00419632055592]"
2, , ,Jámy,Jámy,225898714,"[49.53251859352603, 16.004896023671254]"
19, , ,Jámy,Jámy,225824714,"[49.52715959060931, 16.005347458845286]"
35, , ,Jámy,Jámy,344277714,"[49.53171344528698, 16.006870946577365]"
115, , ,Jámy,Jámy,225771714,"[49.531459170491466, 16.00988727290482]"
144, , ,Jámy,Jámy,225974714,"[49.53154912880372, 16.00673309820174]"
58, , ,Jámy,Jámy,225941714,"[49.525553212445665, 16.003189829248694]"
145, , ,Jámy,Jámy,225885714,"[49.53401606147196, 16.008858806128313]"
21, , ,Jámy,Jámy,225923714,"[49.527898360310985, 16.00587158700531]"
1, , ,Jámy,Jámy,225977714,"[49.55184883941038, 15.998700702437127]"
166, , ,Jámy,Jámy,319335714,"[49.53178877828558, 16.007418285316366]"
6, , ,Jámy,Jámy,225836714,"[49.53174307581425, 16.005530593082305]"
13, , ,Jámy,Jámy,225952714,"[49.52986855656369, 16.004874566240833]"
133, , ,Jámy,Jámy,225855714,"[49.531524228541585, 16.009603063140442]"
157, , ,Jámy,Jámy,225887714,"[49.53034266272004, 16.00543024813976]"
148, , ,Jámy,Jámy,225922714,"[49.52830775905991, 16.004646556804566]"
104, , ,Jámy,Jámy,225755714,"[49.53366763616663, 16.008679250187544]"
49, , ,Jámy,Jámy,225871714,"[49.52823417804151, 16.00517816109736]"
122, , ,Jámy,Jámy,225773714,"[49.52638349266734, 16.002926293750324]"
45, , ,Jámy,Jámy,225908714,"[49.53113502987864, 16.006150824171225]"
27, , ,Jámy,Jámy,225905714,"[49.52898374242805, 16.006186163676563]"
163, , ,Jámy,Jámy,285906714,"[49.52686315845867, 16.003868793884397]"
147, , ,Jámy,Jámy,225883714,"[49.53239471777203, 16.00820445201593]"
60, , ,Jámy,Jámy,225909714,"[49.530881494018175, 16.00582556920925]"
143, , ,Jámy,Jámy,225865714,"[49.53184367636683, 16.009570540094334]"
