cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
148, , ,43132,Kalek,Kalek,Kalek,662119,"[50.5754675730511, 13.332141190008228]"
146, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57548679478655, 13.332424359185183]"
35, , ,43132,Kalek,Kalek,Kalek,662119,"[50.5761138156112, 13.326297848438633]"
23, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57848095502951, 13.317061019276611]"
33, , ,43132,Kalek,Kalek,Kalek,662119,"[50.577564202370866, 13.31333886168174]"
21, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57876292704762, 13.320335594759293]"
5, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57675401009711, 13.331671580736868]"
24, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57670584724513, 13.313116299152494]"
51, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57680879985025, 13.31146339660625]"
1, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57500919671209, 13.331403931279501]"
19, , ,43132,Kalek,Načetín,Načetín,662127,"[50.57351127172235, 13.293102640893798]"
38, , ,43132,Kalek,Kalek,Kalek,662119,"[50.578714209389126, 13.3177763580298]"
8, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57597927160432, 13.325287511224184]"
10, , ,43132,Kalek,Kalek,Kalek,662119,"[50.576539759647666, 13.324410534650873]"
36, , ,43132,Kalek,Kalek,Kalek,662119,"[50.5766804202303, 13.310237338673527]"
42, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57794911692443, 13.316174489878216]"
145, , ,43132,Kalek,Kalek,Kalek,662119,"[50.575415418914645, 13.332516286579743]"
25, , ,43132,Kalek,Jindřichova Ves,Jindřichova Ves,662127,"[50.57167856485529, 13.29571911114899]"
142, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57521430272187, 13.332794949447646]"
143, , ,43132,Kalek,Kalek,Kalek,662119,"[50.575281510484395, 13.33270973360176]"
37, , ,43132,Kalek,Kalek,Kalek,662119,"[50.5722277078038, 13.330856186470692]"
147, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57552178896534, 13.332280875949184]"
56, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57690319482206, 13.31439722725358]"
12, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57750377979702, 13.323194019306912]"
27, , ,43132,Kalek,Kalek,Kalek,662119,"[50.5770387564194, 13.31205093892258]"
32, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57708689123264, 13.31058256421377]"
29, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57626718175796, 13.316834941557602]"
13, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57813057672923, 13.32318661181331]"
30, , ,43132,Kalek,Kalek,Kalek,662119,"[50.576848790312965, 13.310939630154268]"
46, , ,43132,Kalek,Načetín,Načetín,662127,"[50.57422040587676, 13.287949251172241]"
24, , ,43132,Kalek,Načetín,Načetín,662127,"[50.57255460505288, 13.286834280676018]"
35, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57659106102749, 13.311001469966534]"
41, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57701616719623, 13.311070860400969]"
44, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57893646939697, 13.318565753863274]"
9, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57643985947477, 13.324458755090678]"
18, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57973395826762, 13.323402181900573]"
46, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57942894016187, 13.319047554007456]"
26, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57709997723858, 13.312493293594919]"
141, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57515286114101, 13.332883354312353]"
13, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57884169083694, 13.318245690309137]"
144, , ,43132,Kalek,Kalek,Kalek,662119,"[50.57535035603059, 13.3326114148102]"
40, , ,43132,Kalek,Kalek,Kalek,662119,"[50.5789752091335, 13.318870689641678]"
14, , ,43132,Kalek,Načetín,Načetín,662127,"[50.57183811585807, 13.29553268060679]"
45, , ,43132,Kalek,Načetín,Načetín,662127,"[50.57194608843377, 13.284138508076328]"
15, , ,43132,Kalek,Načetín,Načetín,662127,"[50.57291399046885, 13.287162049103577]"
