cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
728, ,Družstevní,Kamenice nad Lipou,Kamenice nad Lipou,0,"[49.30513238803509, 15.070740969058315]"
43, , ,Kamenice nad Lipou,Antonka,300163304,"[49.30873267845428, 15.105074885446664]"
6223, , ,Kamenice nad Lipou,Vodná,62331260010,"[49.28060920236761, 15.076146429146757]"
148, ,Táborská,Kamenice nad Lipou,Kamenice nad Lipou,299992304,"[49.30146115778266, 15.072304994826567]"
573, ,Pod Vodojemem,Kamenice nad Lipou,Kamenice nad Lipou,300387304,"[49.30353027578572, 15.071307598707813]"
765, ,Masarykova,Kamenice nad Lipou,Kamenice nad Lipou,301279304,"[49.2938199769017, 15.077020792209744]"
50, , ,Kamenice nad Lipou,Antonka,300585304,"[49.30672269115707, 15.1041471918067]"
6425, , ,Kamenice nad Lipou,Pravíkov,312384304,"[49.3371314338864, 15.10528217549934]"
908, ,Na Hamerkách,Kamenice nad Lipou,Kamenice nad Lipou,62218815010,"[49.307400599149965, 15.081405998990602]"
5443, ,U Kult. domu,Kamenice nad Lipou,Kamenice nad Lipou,61062617010,"[49.29663582970378, 15.0681916293637]"
6818, ,U Kult. domu,Kamenice nad Lipou,Kamenice nad Lipou,61125535010,"[49.297205291463094, 15.071300962969746]"
578, ,Pod Vodojemem,Kamenice nad Lipou,Kamenice nad Lipou,300386304,"[49.30362407960374, 15.070960527690975]"
5456, , ,Kamenice nad Lipou,Kamenice nad Lipou,21750418010,"[49.29653995769535, 15.0795971438729]"
5457, , ,Kamenice nad Lipou,Kamenice nad Lipou,21741253010,"[49.296570861349046, 15.079595915845674]"
547, ,Pelhřimovská,Kamenice nad Lipou,Kamenice nad Lipou,301237304,"[49.30568564355709, 15.074842786483233]"
325, ,U Nádraží,Kamenice nad Lipou,Kamenice nad Lipou,301060304,"[49.2953261021323, 15.075092106172699]"
5442, ,U Kult. domu,Kamenice nad Lipou,Kamenice nad Lipou,61368763010,"[49.29662744382458, 15.068233067874775]"
10, , ,Kamenice nad Lipou,Antonka,299868304,"[49.306095446382606, 15.10364846545738]"
867, ,Zámecká,Kamenice nad Lipou,Kamenice nad Lipou,301105304,"[49.30526094385207, 15.083027109413921]"
868, ,Lhotecká,Kamenice nad Lipou,Kamenice nad Lipou,493535304,"[49.29383467722552, 15.083749372131322]"
55, , ,Kamenice nad Lipou,Pravíkov,16095045010,"[49.33207001454574, 15.095438207045149]"
855, ,Jarmily Hanzálkové,Kamenice nad Lipou,Kamenice nad Lipou,58793659010,"[49.30261921245303, 15.067907591334881]"
866, ,Ke Gabrielce,Kamenice nad Lipou,Kamenice nad Lipou,50164241010,"[49.29355682131241, 15.069678736903523]"
28, , ,Kamenice nad Lipou,Johanka,312361304,"[49.32252224966877, 15.102559691231654]"
5144, ,Zahradní,Kamenice nad Lipou,Kamenice nad Lipou,300620304,"[49.29713242347724, 15.077902294604847]"
5167, ,Zahradní,Kamenice nad Lipou,Kamenice nad Lipou,300668304,"[49.29686459933143, 15.077844093441147]"
5154, ,Zahradní,Kamenice nad Lipou,Kamenice nad Lipou,300677304,"[49.296884468680744, 15.077757006749396]"
5164, ,Zahradní,Kamenice nad Lipou,Kamenice nad Lipou,300664304,"[49.29694053993971, 15.077884601367654]"
5166, ,Zahradní,Kamenice nad Lipou,Kamenice nad Lipou,300667304,"[49.29689250317203, 15.077852465421195]"
5089, , ,Kamenice nad Lipou,Kamenice nad Lipou,300717304,"[49.295731567608286, 15.078385879502022]"
5271, , ,Kamenice nad Lipou,Kamenice nad Lipou,300879304,"[49.29656566578705, 15.079247598410454]"
5269, , ,Kamenice nad Lipou,Kamenice nad Lipou,300881304,"[49.29657661749361, 15.07916226755334]"
5376, , ,Kamenice nad Lipou,Kamenice nad Lipou,300898304,"[49.29637847105007, 15.078854686404467]"
5195, , ,Kamenice nad Lipou,Kamenice nad Lipou,301022304,"[49.29743415354001, 15.078147905930313]"
5428, , ,Kamenice nad Lipou,Kamenice nad Lipou,537559304,"[49.29646575222219, 15.06880085693018]"
5328, , ,Kamenice nad Lipou,Kamenice nad Lipou,300821304,"[49.2963138086988, 15.079810066694348]"
5143, ,Zahradní,Kamenice nad Lipou,Kamenice nad Lipou,301272304,"[49.297160327313186, 15.07791066666301]"
5267, , ,Kamenice nad Lipou,Kamenice nad Lipou,300882304,"[49.29657979806286, 15.079092328313047]"
5265, , ,Kamenice nad Lipou,Kamenice nad Lipou,300884304,"[49.29658183094877, 15.079008752166853]"
5120, ,Na Kariánce,Kamenice nad Lipou,Kamenice nad Lipou,300802304,"[49.29585465985099, 15.078555734758329]"
5196, , ,Kamenice nad Lipou,Kamenice nad Lipou,301023304,"[49.297463205099874, 15.078169915299409]"
5179, , ,Kamenice nad Lipou,Kamenice nad Lipou,301038304,"[49.297305058319495, 15.077799009328869]"
5174, , ,Kamenice nad Lipou,Kamenice nad Lipou,301043304,"[49.29742903571167, 15.07787165379744]"
5156, ,Zahradní,Kamenice nad Lipou,Kamenice nad Lipou,300655304,"[49.29714937653774, 15.077995998808703]"
5161, , ,Kamenice nad Lipou,Kamenice nad Lipou,300660304,"[49.29701648053354, 15.077925109418906]"
5090, , ,Kamenice nad Lipou,Kamenice nad Lipou,300716304,"[49.29575832369695, 15.078380614945058]"
5146, ,Zahradní,Kamenice nad Lipou,Kamenice nad Lipou,300621304,"[49.29708438671496, 15.07787015851637]"
5429, ,U Kult. domu,Kamenice nad Lipou,Kamenice nad Lipou,537560304,"[49.29647122420579, 15.068758190443788]"
