cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
88, , ,Kamenná,Kamenná,62572181010,"[49.27294775884024, 16.058982571505588]"
77, , ,Kamenná,Kamenná,62274839010,"[48.780664195161755, 14.668319041615291]"
13, , ,Kamenná,Kamenná,284121710,"[49.281517748521296, 16.07628926452127]"
28, , ,Kamenná,Kamenná,371424710,"[49.282881201025866, 16.077514665279267]"
35, , ,Kamenná,Kamenná,284062710,"[49.27101019133006, 16.08369916981871]"
6, , ,Kamenná,Kamenná,284129710,"[49.272805429643405, 16.061136506800494]"
29, , ,Kamenná,Kamenná,386464710,"[49.28282044688377, 16.07732833148708]"
77, , ,Kamenná,Kamenná,384144710,"[49.2769311005951, 16.068018935182483]"
49, , ,Kamenná,Kamenná,62281935010,"[48.780707009946845, 14.666377400556755]"
84, , ,Kamenná,Kamenná,16516304010,"[49.27100269345794, 16.060991545950777]"
75, , ,Kamenná,Kamenná,50824242010,"[48.781775245029316, 14.667672654876943]"
90, , ,Kamenná,Kamenná,61297705010,"[49.271118151864485, 16.062734564465053]"
91, , ,Kamenná,Kamenná,284070710,"[49.27174414049139, 16.06024484131611]"
26, , ,Kamenná,Kamenná,284042710,"[49.27227360487793, 16.059551153871944]"
7, , ,Kamenná,Kamenná,284087710,"[49.2728880319875, 16.06134922981105]"
25, , ,Kamenná,Kamenná,284126710,"[49.27232195470169, 16.059254179818492]"
3, , ,Kamenná,Kamenná,284079710,"[49.27280536414483, 16.06056765394191]"
2, , ,Kamenná,Kamenná,14115336707,"[49.510647207157525, 15.649522653870648]"
123, , ,Kamenná,Kamenná,53655308010,"[49.85789298811524, 17.030622593485145]"
30, , ,Kamenná,Kamenná,284081710,"[49.27298711189888, 16.062387719667132]"
47, , ,Kamenná,Kamenná,284072710,"[49.27147322627396, 16.06080103903048]"
87, , ,Kamenná,Kamenná,57129655010,"[49.27241612598731, 16.065614947178293]"
67, , ,Kamenná,Kamenná,284066710,"[49.27335057260029, 16.060967831049823]"
5, , ,Kamenná,Klažary,31884808010,"[48.79931836049215, 14.667363188615044]"
120, , ,Kamenná,Kondrač,36268133010,"[48.78535279227455, 14.65516543577367]"
71, , ,Kamenná,Kamenná,32308946010,"[48.781351662588854, 14.667126610650607]"
122, , ,Kamenná,Kamenná,29857405010,"[49.86453195683505, 17.036868024411962]"
120, , ,Kamenná,Kamenná,29141142010,"[49.864942685773414, 17.03692882101041]"
86, , ,Kamenná,Kamenná,26541413010,"[49.27257240026397, 16.062170361144094]"
52, , ,Kamenná,Kamenná,14115302707,"[49.51097110205457, 15.648763758369519]"
75, , ,Kamenná,Kamenná,16282991010,"[49.50899752448054, 15.651995872546394]"
69, , ,Kamenná,Kamenná,14115338707,"[49.50929319928255, 15.654945456404828]"
20, , ,Kamenná,Kamenná,284106710,"[49.271676085577205, 16.057375923700217]"
64, , ,Kamenná,Kamenná,721249301,"[48.7784897237095, 14.673322376116344]"
43, , ,Kamenná,Kamenná,924684301,"[48.78117476866313, 14.668507920763465]"
59, , ,Kamenná,Kamenná,721244301,"[48.77878915360184, 14.673220426663812]"
31, , ,Kamenná,Kamenná,721347301,"[48.780349528880315, 14.67434519735327]"
32, , ,Kamenná,Kamenná,721348301,"[48.7803847354594, 14.674640070401537]"
26, , ,Kamenná,Kamenná,721356301,"[48.77947906700603, 14.668824763966475]"
39, , ,Kamenná,Kamenná,721328301,"[48.7790983752844, 14.671386790936538]"
57, , ,Kamenná,Kamenná,721330301,"[48.780299328483565, 14.673778806236884]"
62, , ,Kamenná,Kamenná,721247301,"[48.77861329963785, 14.673283570026262]"
65, , ,Kamenná,Kamenná,721250301,"[48.778437445639504, 14.673346712936922]"
54, , ,Kamenná,Kamenná,721256301,"[48.781360753552555, 14.669582161864444]"
1, , ,Kamenná,Kamenná,721305301,"[48.77964908368298, 14.671151454551065]"
19, , ,Kamenná,Kamenná,721239301,"[48.779565720244484, 14.67082517838984]"
2, , ,Kamenná,Klažary,1008465301,"[48.80302195963505, 14.668203945958204]"
46, , ,Kamenná,Kamenná,924685301,"[48.78085933569621, 14.667610984692073]"
44, , ,Kamenná,Kamenná,922064301,"[48.78100879637887, 14.668170954965541]"
1, , ,Kamenná,Klažary,721314301,"[48.80166005002471, 14.669318386604091]"
29, , ,Kamenná,Kamenná,14115372707,"[49.509195074616656, 15.65151406666504]"
19, , ,Kamenná,Klementice,284153710,"[49.28117045531001, 16.051728616139474]"
4, , ,Kamenná,Klažary,721297301,"[48.79980141998192, 14.666262500388681]"
26, , ,Kamenná,Kondrač,723485301,"[48.78413667641111, 14.650360219509375]"
9, , ,Kamenná,Kamenná,14115317707,"[49.5102400950765, 15.65282222951417]"
23, , ,Kamenná,Kamenná,14115350707,"[49.50867346249495, 15.653516570476313]"
1, , ,Kamenná,Kamenná,14115373707,"[49.51093382663645, 15.650245175940746]"
33, , ,Kamenná,Kamenná,14115374707,"[49.50996841080373, 15.651787712906515]"
30, , ,Kamenná,Kamenná,14115375707,"[49.497440304576685, 15.661317685056138]"
35, , ,Kamenná,Kamenná,14115382707,"[49.51145388797189, 15.649258286109234]"
66, , ,Kamenná,Kamenná,14115395707,"[49.511830488157344, 15.650704558222216]"
56, , ,Kamenná,Kamenná,14115277707,"[49.51254287742712, 15.655955635479955]"
47, , ,Kamenná,Kamenná,14115278707,"[49.49727591813648, 15.651752857668685]"
51, , ,Kamenná,Kamenná,14115279707,"[49.50854594987065, 15.654082722214644]"
58, , ,Kamenná,Kamenná,14115280707,"[49.51189944345843, 15.64905030158514]"
61, , ,Kamenná,Kamenná,14115285707,"[49.51238493429263, 15.655790213659628]"
