cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
1, , ,Kamenné Zboží,Kamenné Zboží,300789208,"[50.19249113537087, 14.999677395474224]"
45, , ,Kamenné Zboží,Kamenné Zboží,300992208,"[50.193366821252354, 14.998653063743468]"
217, , ,Kamenné Zboží,Kamenné Zboží,25403279010,"[50.189698320335474, 14.998801427947885]"
115, , ,Kamenné Zboží,Kamenné Zboží,300860208,"[50.19417420521981, 15.000509406464571]"
216, , ,Kamenné Zboží,Kamenné Zboží,15749200010,"[50.194809856334686, 14.997909439686431]"
213, , ,Kamenné Zboží,Kamenné Zboží,21761500010,"[50.191391334365626, 14.996270339007788]"
214, , ,Kamenné Zboží,Kamenné Zboží,300765208,"[50.19294732517649, 15.00646272228328]"
8, , ,Kamenné Zboží,Kamenné Zboží,300833208,"[50.19039278522605, 15.000350146570783]"
13, , ,Kamenné Zboží,Kamenné Zboží,300774208,"[50.18994137044356, 14.99968389583672]"
16, , ,Kamenné Zboží,Kamenné Zboží,300934208,"[50.18968826758089, 14.999438215440327]"
26, , ,Kamenné Zboží,Kamenné Zboží,300814208,"[50.19138791877757, 14.999639808805252]"
30, , ,Kamenné Zboží,Kamenné Zboží,300853208,"[50.19200065662224, 14.999164756299383]"
47, , ,Kamenné Zboží,Kamenné Zboží,300886208,"[50.19362157564526, 14.999872031806195]"
4, , ,Kamenné Zboží,Kamenné Zboží,300975208,"[50.19182191757654, 14.999800925267026]"
6, , ,Kamenné Zboží,Kamenné Zboží,300990208,"[50.191222682923, 15.000757051000521]"
25, , ,Kamenné Zboží,Kamenné Zboží,300842208,"[50.19104532666155, 14.999625869779642]"
38, , ,Kamenné Zboží,Kamenné Zboží,300802208,"[50.19302506515072, 14.998724261199705]"
60, , ,Kamenné Zboží,Kamenné Zboží,300872208,"[50.19285570486145, 15.000181597016622]"
107, , ,Kamenné Zboží,Kamenné Zboží,300953208,"[50.19381955892572, 14.999643199174962]"
132, , ,Kamenné Zboží,Kamenné Zboží,300775208,"[50.193576921685406, 15.001837442338811]"
135, , ,Kamenné Zboží,Kamenné Zboží,300804208,"[50.19271857832773, 15.002208026016847]"
143, , ,Kamenné Zboží,Kamenné Zboží,300944208,"[50.19234900099745, 15.002760590609109]"
146, , ,Kamenné Zboží,Kamenné Zboží,300809208,"[50.192541522519285, 15.0042104452098]"
19, , ,Kamenné Zboží,Kamenné Zboží,300958208,"[50.189983869586335, 14.999512769093734]"
53, , ,Kamenné Zboží,Kamenné Zboží,300908208,"[50.18962796227165, 15.001036934176337]"
55, , ,Kamenné Zboží,Kamenné Zboží,300772208,"[50.193510336443104, 14.999604297015944]"
78, , ,Kamenné Zboží,Kamenné Zboží,300963208,"[50.193840235806306, 14.998756217143603]"
120, , ,Kamenné Zboží,Kamenné Zboží,300949208,"[50.193981075212804, 15.000926075079578]"
125, , ,Kamenné Zboží,Kamenné Zboží,300866208,"[50.194107705545356, 14.998909897467122]"
141, , ,Kamenné Zboží,Kamenné Zboží,300921208,"[50.19275646924261, 15.001286945686882]"
142, , ,Kamenné Zboží,Kamenné Zboží,300917208,"[50.19418924619442, 15.001239755891216]"
144, , ,Kamenné Zboží,Kamenné Zboží,300884208,"[50.192469374260895, 15.00369233551293]"
61, , ,Kamenné Zboží,Kamenné Zboží,300909208,"[50.192126893767416, 14.99971047997716]"
79, , ,Kamenné Zboží,Kamenné Zboží,300839208,"[50.19264940300231, 15.000873334899774]"
80, , ,Kamenné Zboží,Kamenné Zboží,300915208,"[50.19241771460612, 14.997861152178437]"
81, , ,Kamenné Zboží,Kamenné Zboží,300988208,"[50.19254530441347, 15.000967806500537]"
87, , ,Kamenné Zboží,Kamenné Zboží,300830208,"[50.19040903752093, 15.000545270046652]"
94, , ,Kamenné Zboží,Kamenné Zboží,300808208,"[50.190429676444374, 15.001152279904542]"
100, , ,Kamenné Zboží,Kamenné Zboží,300898208,"[50.18953077414467, 15.00213967349258]"
152, , ,Kamenné Zboží,Kamenné Zboží,300781208,"[50.19322527021459, 15.003054948641257]"
164, , ,Kamenné Zboží,Kamenné Zboží,300950208,"[50.19383920564462, 15.002355699442724]"
173, , ,Kamenné Zboží,Kamenné Zboží,300954208,"[50.19426422327869, 15.00174926113499]"
174, , ,Kamenné Zboží,Kamenné Zboží,300815208,"[50.19324182571783, 15.002022368448273]"
