cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
115, , ,56802,Karle,Karle,Karle,663247,"[49.76652659142568, 16.377946082186305]"
155, , ,56802,Karle,Karle,Karle,663247,"[49.761927410619755, 16.3854391115307]"
41, , ,56802,Karle,Karle,Karle,663247,"[49.76560947994767, 16.37664060546053]"
6, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.75550402402717, 16.395943326152473]"
2, , ,56802,Karle,Karle,Karle,663247,"[49.76685838301451, 16.368489030785064]"
151, , ,56802,Karle,Karle,Karle,663247,"[49.766689103531775, 16.373169284612413]"
54, , ,56802,Karle,Karle,Karle,663247,"[49.764960977535615, 16.363024214768732]"
141, , ,56802,Karle,Karle,Karle,663247,"[49.76661709556255, 16.376458113521885]"
164, , ,56802,Karle,Karle,Karle,663247,"[49.76504919258832, 16.380546107189257]"
175, , ,56802,Karle,Karle,Karle,663247,"[49.76674898187646, 16.377391115489505]"
18, , ,56802,Karle,Karle,Karle,663247,"[49.766860287024876, 16.379564880313712]"
8, , ,56802,Karle,Karle,Karle,663247,"[49.76618059577329, 16.371887831671465]"
41, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.75379658296573, 16.393243243652996]"
50, , ,56802,Karle,Karle,Karle,663247,"[49.76624184540566, 16.36825711445669]"
185, , ,56802,Karle,Karle,Karle, ,"[49.76256885649701, 16.38504979023332]"
57, , ,56802,Karle,Karle,Karle,663247,"[49.76520826818153, 16.360376802511578]"
10, , ,56802,Karle,Karle,Karle,663247,"[49.765663487447554, 16.37425330089225]"
36, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.753930724567404, 16.39475539332224]"
86, , ,56802,Karle,Karle,Karle,663247,"[49.76553492920004, 16.360541853106707]"
39, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.75516184705967, 16.39602468368051]"
194, , ,56802,Karle,Karle,Karle,663247,"[49.76730154301941, 16.36321477777151]"
38, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.75442441553183, 16.392436683295156]"
157, , ,56802,Karle,Karle,Karle,663247,"[49.76536554257832, 16.365351558092673]"
128, , ,56802,Karle,Karle,Karle,663247,"[49.76686506411339, 16.380579902916203]"
196, , ,56802,Karle,Karle,Karle,663247,"[49.76628488900615, 16.380998332756622]"
186, , ,56802,Karle,Karle,Karle,663247,"[49.764668934548176, 16.384312516780337]"
72, , ,56802,Karle,Karle,Karle,663247,"[49.76436214461312, 16.349699366971915]"
195, , ,56802,Karle,Karle,Karle,663247,"[49.76901738846914, 16.370319216973655]"
35, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.75476760190854, 16.39645524722039]"
149, , ,56802,Karle,Karle,Karle,663247,"[49.766196951027396, 16.361451373369096]"
37, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.75405655968288, 16.392566028930503]"
14, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.75716977446518, 16.389020974863666]"
142, , ,56802,Karle,Karle,Karle,663247,"[49.76515967175339, 16.366911321468947]"
176, , ,56802,Karle,Karle,Karle,663247,"[49.766691000294124, 16.3697449801794]"
36, , ,56802,Karle,Karle,Karle,663247,"[49.76576761925205, 16.379401695763995]"
192, , ,56802,Karle,Karle,Karle,663247,"[49.76511589630109, 16.35788012338277]"
33, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.75527447784066, 16.394625225923527]"
193, , ,56802,Karle,Karle,Karle,663247,"[49.764680249007526, 16.3784125955959]"
165, , ,56802,Karle,Karle,Karle,663247,"[49.76533167485291, 16.367231494284507]"
11, , ,56802,Karle,Karle,Karle,663247,"[49.76623423992674, 16.373888927260406]"
187, , ,56802,Karle,Karle,Karle,663247,"[49.76503528215454, 16.353005437684203]"
65, , ,56802,Karle,Karle,Karle,663247,"[49.765299413984906, 16.35471329130742]"
136, , ,56802,Karle,Karle,Karle,663247,"[49.766227889941824, 16.362080735684877]"
2, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.75379665004424, 16.395726880121327]"
189, , ,56802,Karle,Karle,Karle,663247,"[49.766187615766604, 16.36483310743711]"
132, , ,56802,Karle,Karle,Karle,663247,"[49.76636963627788, 16.37664613835704]"
183, , ,56802,Karle,Karle,Karle,663247,"[49.76660387858974, 16.37525109181064]"
26, , ,56802,Karle,Karle,Karle,663247,"[49.764865447185855, 16.38437057149541]"
161, , ,56802,Karle,Karle,Karle,663247,"[49.7655300804417, 16.366512720309757]"
167, , ,56802,Karle,Karle,Karle,663247,"[49.76557191101274, 16.359058721884352]"
163, , ,56802,Karle,Karle,Karle,663247,"[49.7655729509673, 16.372243621693155]"
182, , ,56802,Karle,Karle,Karle,663247,"[49.76396334815677, 16.368453980144526]"
40, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.7538752854639, 16.392851914349038]"
181, , ,56802,Karle,Karle,Karle,663247,"[49.765861427124975, 16.380895570588144]"
29, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.75731701762064, 16.39001402070258]"
30, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.75691088904739, 16.390279120931257]"
188, , ,56802,Karle,Karle,Karle,663247,"[49.76135644623082, 16.386556513630545]"
24, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.75361372497881, 16.395086295940533]"
173, , ,56802,Karle,Karle,Karle,663247,"[49.7667251401471, 16.377185698502238]"
156, , ,56802,Karle,Karle,Karle,663247,"[49.76565098882205, 16.36228554696909]"
77, , ,56802,Karle,Karle,Karle,663247,"[49.766836086549006, 16.344999035207685]"
158, , ,56802,Karle,Karle,Karle,663247,"[49.76178144640206, 16.385547937047924]"
31, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.75502404891743, 16.393730320286814]"
37, , ,56802,Karle,Karle,Karle,663247,"[49.76609868191119, 16.379039136219916]"
191, , ,56802,Karle,Karle,Karle,663247,"[49.76578501929078, 16.36853381859813]"
69, , ,56802,Karle,Karle,Karle,663247,"[49.764129481069716, 16.35211385414007]"
169, , ,56802,Karle,Karle,Karle,663247,"[49.76554722484893, 16.359719435398368]"
17, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.756244606834194, 16.390574833206415]"
16, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.75641541576834, 16.390182496078122]"
15, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.7566130330907, 16.389785561570605]"
13, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.757548402457275, 16.389457681847514]"
12, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.75644615696189, 16.390861469609135]"
11, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.75618895595141, 16.39131049937815]"
18, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.755613070182335, 16.39097629448153]"
10, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.75601317456573, 16.391759537923512]"
75, , ,56802,Karle,Karle,Karle,663247,"[49.76621721357137, 16.347468910325798]"
87, , ,56802,Karle,Karle,Karle,663247,"[49.76536578982786, 16.36109150850012]"
7, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.755536168255496, 16.39619796597623]"
5, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.75534261539922, 16.39551896232489]"
7, , ,56802,Karle,Karle,Karle,663247,"[49.765109802397376, 16.383775996044516]"
4, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.754663586557285, 16.394001517341504]"
9, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.75552361834305, 16.392248366800423]"
3, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.75414022178234, 16.394901036904262]"
19, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.755504789164306, 16.391734931507305]"
21, , ,56802,Karle,Ostrý Kámen,Ostrý Kámen,663255,"[49.75500141375933, 16.391025246631134]"
153, , ,56802,Karle,Karle,Karle,663247,"[49.76623188389304, 16.35341399165593]"
160, , ,56802,Karle,Karle,Karle,663247,"[49.76574617907657, 16.356835848816708]"
102, , ,56802,Karle,Karle,Karle,663247,"[49.76678560113862, 16.36635053555763]"
45, , ,56802,Karle,Karle,Karle,663247,"[49.76522746475114, 16.37284767984142]"
172, , ,56802,Karle,Karle,Karle,663247,"[49.76670825409823, 16.37707685880754]"
98, , ,56802,Karle,Karle,Karle,663247,"[49.76696112713203, 16.364895663006987]"
