cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
3, , ,27023,Karlova Ves,Karlova Ves,Karlova Ves,663310,"[49.987316219710934, 13.862108810530248]"
26, , ,27023,Karlova Ves,Karlova Ves,Karlova Ves,663310,"[49.98634484088618, 13.864595502342214]"
5, , ,27023,Karlova Ves,Karlova Ves,Karlova Ves,663310,"[49.987669702194715, 13.862099643433362]"
18, , ,27023,Karlova Ves,Karlova Ves,Karlova Ves,663310,"[49.98861004704659, 13.862536053858538]"
15, , ,27023,Karlova Ves,Karlova Ves,Karlova Ves,663310,"[49.98912528098019, 13.862701837984893]"
16, , ,27023,Karlova Ves,Karlova Ves,Karlova Ves,663310,"[49.98894975812887, 13.86267091439226]"
30, , ,27023,Karlova Ves,Karlova Ves,Karlova Ves,663310,"[49.9896092513023, 13.862607475065927]"
14, , ,27023,Karlova Ves,Karlova Ves,Karlova Ves,663310,"[49.9892261476981, 13.862129515417056]"
8, , ,27023,Karlova Ves,Karlova Ves,Karlova Ves,663310,"[49.98812623160386, 13.862123631385161]"
4, , ,27023,Karlova Ves,Karlova Ves,Karlova Ves,663310,"[49.98748269653283, 13.862043125881284]"
9, , ,27023,Karlova Ves,Karlova Ves,Karlova Ves,663310,"[49.98835628652518, 13.862057715697345]"
1, , ,27023,Karlova Ves,Karlova Ves,Karlova Ves,663310,"[49.98525336305747, 13.863559854222244]"
19, , ,27023,Karlova Ves,Karlova Ves,Karlova Ves,663310,"[49.988438400934314, 13.862546534257303]"
7, , ,27023,Karlova Ves,Karlova Ves,Karlova Ves,663310,"[49.988015430726406, 13.862007670876263]"
10, , ,27023,Karlova Ves,Karlova Ves,Karlova Ves,663310,"[49.988526640271374, 13.862033432542503]"
66, , ,27023,Karlova Ves,Karlova Ves,Karlova Ves,663310,"[49.989265211896516, 13.862740779150771]"
11, , ,27023,Karlova Ves,Karlova Ves,Karlova Ves,663310,"[49.988706040256034, 13.86210575679492]"
25, , ,27023,Karlova Ves,Karlova Ves,Karlova Ves,663310,"[49.987410274512776, 13.862564067919617]"
13, , ,27023,Karlova Ves,Karlova Ves,Karlova Ves,663310,"[49.989018761512945, 13.862049402478444]"
