cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
107, ,Tyršova,38711,Katovice,Katovice,Katovice,664529,"[49.27360611829621, 13.83186639102999]"
418, ,Šumavská,38711,Katovice,Katovice,Katovice,664529,"[49.27168464980338, 13.83697812219981]"
182, ,Žižkova,38711,Katovice,Katovice,Katovice,664529,"[49.27064546911856, 13.82368047215451]"
275, ,Liboč,38711,Katovice,Katovice,Katovice,664529,"[49.267700039224266, 13.831318920406497]"
174, ,Nádražní,38711,Katovice,Katovice,Katovice,664529,"[49.27001218541342, 13.830078164969006]"
373, ,Na Barevně,38711,Katovice,Katovice,Katovice,664529,"[49.269567349643474, 13.834540931706371]"
83, ,28. října,38711,Katovice,Katovice,Katovice,664529,"[49.27482107791972, 13.826364620445291]"
187, ,Žižkova,38711,Katovice,Katovice,Katovice,664529,"[49.27141287870101, 13.82306242623921]"
472, ,Švehlova,38711,Katovice,Katovice,Katovice,664529,"[49.2709612893982, 13.82429099523086]"
211, ,Žižkova,38711,Katovice,Katovice,Katovice,664529,"[49.271629709023436, 13.823231324203734]"
462, ,Kosmetická,38711,Katovice,Katovice,Katovice,664529,"[49.27174233180772, 13.839196546558552]"
342, ,Na Barevně,38711,Katovice,Katovice,Katovice,664529,"[49.26915286110245, 13.834568985516716]"
176, ,Žižkova,38711,Katovice,Katovice,Katovice,664529,"[49.269872126006, 13.824039037187099]"
270, ,Liboč,38711,Katovice,Katovice,Katovice,664529,"[49.26798802472283, 13.830464895545097]"
179, ,Žižkova,38711,Katovice,Katovice,Katovice,664529,"[49.27019289770126, 13.823888594940865]"
151, ,Nádražní,38711,Katovice,Katovice,Katovice,664529,"[49.26888084163283, 13.826848506710332]"
377, ,Nádražní,38711,Katovice,Katovice,Katovice,664529,"[49.268963039432116, 13.827708902471889]"
199, ,Říční,38711,Katovice,Katovice,Katovice,664529,"[49.27060482313493, 13.828275339563772]"
112, ,Pankrác,38711,Katovice,Katovice,Katovice,664529,"[49.27465122761025, 13.826000257368817]"
145, ,Nádražní,38711,Katovice,Katovice,Katovice,664529,"[49.26831776478809, 13.82529132935498]"
173, ,Nádražní,38711,Katovice,Katovice,Katovice,664529,"[49.268228372985746, 13.824909380926192]"
164, ,Nádražní,38711,Katovice,Katovice,Katovice,664529,"[49.26936810115937, 13.828564782672563]"
300, ,Na Břehu,38711,Katovice,Katovice,Katovice,664529,"[49.27095947234973, 13.832394641611865]"
26, ,Nádražní,38711,Katovice,Katovice,Katovice,664529,"[49.272145551097424, 13.831209345133132]"
69, ,Tyršova,38711,Katovice,Katovice,Katovice,664529,"[49.27313697927254, 13.832568340816685]"
256, ,Na Kolčavě,38711,Katovice,Katovice,Katovice,664529,"[49.26723364340079, 13.832725687241368]"
304, ,Nádražní,38711,Katovice,Katovice,Katovice,664529,"[49.269226764779106, 13.823914882992172]"
75, ,Jílkova,38711,Katovice,Katovice,Katovice,664529,"[49.27489223526027, 13.828054994886397]"
103, ,Stará cesta,38711,Katovice,Katovice,Katovice,664529,"[49.27306876915012, 13.834159672587791]"
389, ,Sadová,38711,Katovice,Katovice,Katovice,664529,"[49.27176116106507, 13.834981323513057]"
463, ,K Hoře,38711,Katovice,Katovice,Katovice,664529,"[49.27441358744579, 13.823631481304476]"
22, ,Nádražní,38711,Katovice,Katovice,Katovice,664529,"[49.27327149951941, 13.830685198024918]"
397, ,Luční,38711,Katovice,Katovice,Katovice,664529,"[49.27104649481925, 13.83558313610439]"
369, ,Na Břehu,38711,Katovice,Katovice,Katovice,664529,"[49.2708303080143, 13.833152407298329]"
488, ,Zahradní,38711,Katovice,Katovice,Katovice,664529,"[49.26919275816311, 13.825851212732205]"
385, ,Na Břehu,38711,Katovice,Katovice,Katovice,664529,"[49.27054685570741, 13.83471530951351]"
413, ,Na Břehu,38711,Katovice,Katovice,Katovice,664529,"[49.26979935979402, 13.836643844921221]"
461, ,Švehlova,38711,Katovice,Katovice,Katovice,664529,"[49.2712763509405, 13.824438994980214]"
327, ,Kolářova,38711,Katovice,Katovice,Katovice,664529,"[49.27002335512883, 13.834030131216391]"
485, ,Zahradní,38711,Katovice,Katovice,Katovice,664529,"[49.26989432411233, 13.826347662605977]"
203, ,Tyršova,38711,Katovice,Katovice,Katovice,664529,"[49.272696631802745, 13.8350320627086]"
16, ,Nádražní,38711,Katovice,Katovice,Katovice,664529,"[49.26866341769565, 13.827066036681789]"
208, ,Říční,38711,Katovice,Katovice,Katovice,664529,"[49.27185683097511, 13.823977980268664]"
311, ,Kolářova,38711,Katovice,Katovice,Katovice,664529,"[49.27211323897877, 13.834668178973075]"
248, ,Tyršova,38711,Katovice,Katovice,Katovice,664529,"[49.272685409066554, 13.834830286442894]"
232, ,Zahradní,38711,Katovice,Katovice,Katovice,664529,"[49.269951099550376, 13.827861243712762]"
