cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
221, , ,33808,Kařez,Kařez,Kařez,664227,"[49.823247864488486, 13.781108558482368]"
121, , ,33808,Kařez,Kařez,Kařez,664227,"[49.82577504719428, 13.78558939580367]"
169, , ,33808,Kařez,Kařez,Kařez,664227,"[49.84106898965653, 13.774237842650264]"
38, , ,33808,Kařez,Kařez,Kařez,664227,"[49.819052131701085, 13.785205974571587]"
113, , ,33808,Kařez,Kařez,Kařez,664227,"[49.823000622465365, 13.781925640392904]"
209, , ,33808,Kařez,Kařez,Kařez,664227,"[49.818534591466076, 13.78230660026018]"
264, , ,33808,Kařez,Kařez,Kařez,664227,"[49.82101079615195, 13.78762304000543]"
14, , ,33808,Kařez,Kařez,Kařez,664227,"[49.82021576016883, 13.781677229266407]"
39, , ,33808,Kařez,Kařez,Kařez,664227,"[49.83871175021985, 13.781316954443108]"
194, , ,33808,Kařez,Kařez,Kařez,664227,"[49.82495576403082, 13.782456702735143]"
19, , ,33808,Kařez,Kařez,Kařez,664227,"[49.82023764925065, 13.784256461327162]"
42, , ,33808,Kařez,Kařez,Kařez,664227,"[49.83844025883815, 13.775898632429032]"
128, , ,33808,Kařez,Kařez,Kařez,664227,"[49.82214853183575, 13.77645014249779]"
265, , ,33808,Kařez,Kařez,Kařez,664227,"[49.82079167476125, 13.786843900365824]"
53, , ,33808,Kařez,Kařez,Kařez,664227,"[49.823537854337275, 13.778826460982181]"
133, , ,33808,Kařez,Kařez,Kařez,664227,"[49.818497191593394, 13.78405407579565]"
193, , ,33808,Kařez,Kařez,Kařez,664227,"[49.824832204124846, 13.781174522556785]"
201, , ,33808,Kařez,Kařez,Kařez,664227,"[49.81795137080475, 13.783850112678254]"
25, , ,33808,Kařez,Kařez,Kařez,664227,"[49.81976917187823, 13.784136124491901]"
36, , ,33808,Kařez,Kařez,Kařez,664227,"[49.822837251511736, 13.780687632674109]"
37, , ,33808,Kařez,Kařez,Kařez,664227,"[49.81873254049872, 13.785563198110975]"
78, , ,33808,Kařez,Kařez,Kařez,664227,"[49.82228646737093, 13.782237735879018]"
215, , ,33808,Kařez,Kařez,Kařez,664227,"[49.82513541215616, 13.778888938846231]"
236, , ,33808,Kařez,Kařez,Kařez,664227,"[49.82070242160457, 13.781484713229098]"
211, , ,33808,Kařez,Kařez,Kařez,664227,"[49.82161957501684, 13.782166923240755]"
29, , ,33808,Kařez,Kařez,Kařez,664227,"[49.837951135817974, 13.78296743632135]"
64, , ,33808,Kařez,Kařez,Kařez,664227,"[49.823570800752975, 13.780752197800474]"
100, , ,33808,Kařez,Kařez,Kařez,664227,"[49.820917014041356, 13.78567269604405]"
