cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
7, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.98803728116064, 15.649786618964907]"
11, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.98743428914355, 15.649469268870874]"
8, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.98785803808284, 15.649773181177768]"
61, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.986309010575404, 15.646969022037268]"
14, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.986972424672246, 15.648657068344743]"
58, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.98902912387675, 15.649545126118648]"
31, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.986192426824815, 15.647301090967453]"
57, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.98884446238194, 15.649564892310028]"
17, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.986370629763805, 15.647994199752087]"
13, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.98696467042817, 15.64926504389453]"
24, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.98525651379428, 15.646975486562335]"
44, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.98467185267796, 15.645518012631063]"
38, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.98688004452394, 15.64679053717133]"
64, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.98461801645376, 15.646138565183065]"
47, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.98507651648291, 15.64626221912086]"
41, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.98674866882795, 15.648064124946565]"
56, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.98874371927352, 15.649569233266842]"
2, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.98793874260078, 15.649417010337414]"
43, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.98577708364339, 15.646884457882706]"
12, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.987275587346595, 15.649209820671414]"
50, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.986444862692245, 15.648057351906832]"
46, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.984188269112884, 15.645635558504463]"
25, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.98562858618914, 15.65856465457047]"
20, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.986003744832345, 15.647597966605343]"
63, , ,67532,Kdousov,Kdousov,Kdousov,664651,"[48.98553841958606, 15.658911515963617]"
