cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
704, ,Farní,Kdyně,Kdyně,290200401,"[49.39439937033177, 13.048604624713672]"
704, ,Farní,Kdyně,Kdyně,290200401,"[49.394457510448945, 13.048820334725454]"
589, ,Lesní,Kdyně,Kdyně,289918401,"[49.39155762354989, 13.049836780041876]"
449, ,Masarykova,Kdyně,Kdyně,289316401,"[49.39066444592574, 13.036752769583686]"
313, ,Náměstí,Kdyně,Kdyně,290274401,"[49.390204355981226, 13.03923624078743]"
314, ,Nádražní,Kdyně,Kdyně,290275401,"[49.38988870430613, 13.039132472133081]"
3, ,Náměstí,Kdyně,Kdyně,290272401,"[49.39015501215614, 13.039550603230435]"
62, ,Americká,Kdyně,Kdyně,289478401,"[49.39205441902904, 13.039567679978656]"
403, ,Škarmanská,Kdyně,Kdyně,289194401,"[49.3961848058064, 13.042530078096297]"
452, ,Lesní,Kdyně,Kdyně,290125401,"[49.391549709619056, 13.048826359621838]"
742, ,Pod Korábem,Kdyně,Kdyně,435751401,"[49.392363413217005, 13.052257095952022]"
156, , ,Kdyně,Prapořiště,299874401,"[49.38476067237276, 13.028405060077027]"
89, ,Starokdyňská,Kdyně,Kdyně,290106401,"[49.39198565689895, 13.045370568031693]"
136, , ,Kdyně,Prapořiště,299709401,"[49.38701299257272, 13.028062813889372]"
222, ,Komenského,Kdyně,Kdyně,290309401,"[49.39102744523432, 13.041006291886028]"
209, ,Na Kobyle,Kdyně,Kdyně,289953401,"[49.39259978095588, 13.02686340053803]"
788, ,Sirkova,Kdyně,Kdyně,62084788010,"[49.39510788384636, 13.043573435495887]"
790, ,Sokolská,Kdyně,Kdyně,61079552010,"[49.39175672668877, 13.035994822777422]"
462, ,Družstevní,Kdyně,Kdyně,289838401,"[49.39517412442448, 13.036029528221905]"
619, ,Na koželužně,Kdyně,Kdyně,289890401,"[49.39242070737599, 13.038478679340935]"
14, , ,Kdyně,Kdyně,61118620010,"[49.405972409448026, 13.05769154123433]"
18, , ,Kdyně,Branišov,61222810010,"[49.3856459731341, 13.078484498523425]"
154, ,Náměstí,Kdyně,Kdyně,289378401,"[49.38998774220202, 13.040643986335366]"
148, , ,Kdyně,Hluboká,283374401,"[49.36045821190258, 13.054562983088607]"
197, ,Na Kobyle,Kdyně,Kdyně,408837401,"[49.39498372961101, 13.025208448228893]"
163, ,Na Škarmaně,Kdyně,Kdyně,289686401,"[49.39846948088445, 13.04286056492983]"
43, ,Klatovská,Kdyně,Kdyně,289525401,"[49.38793723612183, 13.04415947752044]"
72, ,Komenského,Kdyně,Kdyně,289372401,"[49.391747404051976, 13.041534889925298]"
14, , ,Kdyně,Dobříkov,278373401,"[49.37917067722999, 13.08168958913105]"
31, , ,Kdyně,Dobříkov,278402401,"[49.379888340793215, 13.08266112607678]"
44, , ,Kdyně,Dobříkov,278410401,"[49.37982280770968, 13.082732520963058]"
432, ,Sokolská,Kdyně,Kdyně,290136401,"[49.392453614930005, 13.036050526027745]"
336, ,Masarykova,Kdyně,Kdyně,289498401,"[49.390710754608314, 13.034223747205964]"
606, ,Starokdyňská,Kdyně,Kdyně,290179401,"[49.39215468282893, 13.045421672852402]"
25, , ,Kdyně,Starec,302798401,"[49.38488479998167, 13.00574570738345]"
144, , ,Kdyně,Kdyně,289261401,"[49.40234357717462, 13.054038462278433]"
65, , ,Kdyně,Starec,58813691010,"[49.3842439983895, 13.004909928650829]"
703, ,Nádražní,Kdyně,Kdyně,359526401,"[49.38714097147325, 13.03740786751062]"
344, ,Farní,Kdyně,Kdyně,289559401,"[49.39302757901398, 13.04666254697897]"
657, ,Na Kobyle,Kdyně,Kdyně,290509401,"[49.39393596940015, 13.029894807940991]"
1, , ,Kdyně,Starec,302756401,"[49.38213482104872, 13.002001526883362]"
