cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
7, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14443644554307, 16.171486132704562]"
91, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.146386133784304, 16.172512331936808]"
64, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.15519202967521, 16.16270213728975]"
56, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.1415430324611, 16.17528482527299]"
19, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.145479279121396, 16.17096075447156]"
80, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14293323939471, 16.17149879214196]"
4, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14516812260684, 16.170726054058935]"
90, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14572756160518, 16.17345506112001]"
15, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.144903905376445, 16.171632427430037]"
46, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14252922118847, 16.17358491465016]"
40, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14332548383709, 16.172599019382865]"
73, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.144221683605, 16.173418597634708]"
39, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.141955176786176, 16.171263515200422]"
65, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.15549318252344, 16.163128318341727]"
55, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.141702390458505, 16.174995046700136]"
48, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14214378508137, 16.17398376792015]"
1, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14551370787056, 16.169922663604808]"
77, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.1440805104443, 16.173739728479497]"
16, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.145023359621234, 16.171384038507018]"
26, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14161866405472, 16.17157456229106]"
51, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14595437546103, 16.17406175691604]"
11, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14416582979019, 16.172383251983153]"
88, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14832142363178, 16.143118712232734]"
68, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14306780147677, 16.171709116843854]"
45, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14273463233304, 16.173321614965637]"
61, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.141741813658385, 16.17444839248791]"
81, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14325941709038, 16.173303729874974]"
47, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.142353280240485, 16.17375935584977]"
10, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14407524419638, 16.172125549951357]"
36, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.143372270316405, 16.172028715236802]"
12, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14443201646141, 16.17264480690102]"
76, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14437527792173, 16.17294520655153]"
43, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.142963943491814, 16.17301360291781]"
67, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.15451827845843, 16.162380373538635]"
29, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.12649934791924, 16.158757305654092]"
78, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.143935874668664, 16.17415016627538]"
24, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14310964975438, 16.17178462191057]"
27, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.147985807125515, 16.1433661023429]"
28, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.148269098871296, 16.143265810249094]"
42, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.143124463505, 16.172845973756882]"
58, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14616379496249, 16.17365467503443]"
93, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.145988806850895, 16.172988205608874]"
34, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14430217220225, 16.17223968244669]"
8, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.144376080351826, 16.171821516412695]"
62, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14354872663423, 16.174286375810517]"
44, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.142820171033904, 16.17319460116111]"
41, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14324730179965, 16.17273000027032]"
30, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14483456552916, 16.19270321118036]"
20, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14636115114164, 16.173510026288486]"
17, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.1452042273516, 16.171351790655656]"
69, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.15332171460969, 16.16074966992703]"
9, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14420750510508, 16.17206298169561]"
54, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14392542939646, 16.172028374891564]"
71, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.143727472319405, 16.172633495428876]"
82, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14112388895584, 16.174036303836925]"
5, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14501561743831, 16.17088706257221]"
83, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14564810581392, 16.170267539409696]"
52, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.146023390984254, 16.17388076431656]"
57, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14205733064606, 16.174159083348236]"
37, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14382150238632, 16.172226601591504]"
32, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14387225786311, 16.172118592878018]"
59, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14253334785849, 16.171309589175173]"
3, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14516632087054, 16.170723745778993]"
85, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14586967444452, 16.174845479557042]"
50, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14452027365252, 16.173220087866476]"
22, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.141853334211646, 16.171202710482877]"
60, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14635023197976, 16.173198050400114]"
2, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14531728627169, 16.170231063355754]"
25, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.143156212802296, 16.171848133594974]"
53, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14421347891081, 16.172778508776435]"
92, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14402815301319, 16.1749912815525]"
66, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.15519534112443, 16.162127097504552]"
74, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14343387559466, 16.17301986476118]"
35, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14466222854545, 16.172773823760235]"
14, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.144689734440625, 16.1724322825683]"
63, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.15454696856664, 16.163108528821493]"
6, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.144880994948394, 16.171363518131336]"
87, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14699731376044, 16.172213013835734]"
31, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.1438638069963, 16.172550355338664]"
49, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.144591008370554, 16.17306211593053]"
21, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14153939451068, 16.170923536564256]"
13, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14452657840576, 16.172079159739713]"
84, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14585221051916, 16.17432962876235]"
38, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14474425217383, 16.172690596447236]"
70, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14176884553532, 16.174885147617854]"
72, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.1418684819402, 16.174280718759903]"
33, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14441569943386, 16.172293358058692]"
75, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14642843405512, 16.173093962038767]"
18, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14527343942194, 16.171112955520226]"
23, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14489523387797, 16.172137495457864]"
94, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14338329113889, 16.173476460607183]"
79, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14295439834632, 16.172008177727264]"
89, , ,67575,Kladeruby nad Oslavou,Kladeruby nad Oslavou,Kladeruby nad Oslavou,664901,"[49.14293539227803, 16.173691098786943]"
