cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
183, ,Potoční,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39600999870608, 14.248892744590238]"
92, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.395673827824155, 14.247773398957197]"
182, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.389666700661024, 14.250698504508092]"
143, ,Řipská,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39172179904507, 14.254763863287417]"
154, ,Rafanda,41301,Kleneč,Kleneč,Kleneč,666084,"[50.3897519692757, 14.25230743098919]"
175, ,Mlýnská,41301,Kleneč,Kleneč,Kleneč,666084,"[50.38909653868512, 14.254012816387064]"
48, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39734005279126, 14.248132871674889]"
31, ,Kekulák,41301,Kleneč,Kleneč,Kleneč,666084,"[50.3924200645161, 14.247832542496935]"
210, ,Pod Borky,41301,Kleneč,Kleneč,Kleneč,666084,"[50.391677350186995, 14.245822462554521]"
197, ,Západní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39566120787832, 14.24347302201575]"
146, ,Rafanda,41301,Kleneč,Kleneč,Kleneč,666084,"[50.38970804306974, 14.251308854336115]"
192, ,Lagroun,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39849409133309, 14.249769120944348]"
217, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39818996344383, 14.249210794858358]"
97, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39495119912559, 14.248016828579042]"
8, ,Řipská,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39277003082591, 14.251135715903779]"
84, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39424460762185, 14.247830700709118]"
228, ,Lagroun,41301,Kleneč,Kleneč,Kleneč,666084,"[50.399161110945286, 14.250730902186165]"
181, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.390276969791586, 14.250410723709258]"
19, ,Náves,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39226009018693, 14.249798860096071]"
29, ,Mlýnská,41301,Kleneč,Kleneč,Kleneč,666084,"[50.38935350465795, 14.253942394394594]"
229, ,Pod Borky,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39066813959777, 14.246093437964383]"
25, ,K Návsi,41301,Kleneč,Kleneč,Kleneč,666084,"[50.392533140209416, 14.24787878976119]"
71, ,Vinohrady,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39271019705383, 14.253917951785432]"
27, ,Krátká,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39313340976572, 14.248500017241993]"
202, ,Pod Borky,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39141415711522, 14.245823293717795]"
173, ,Výsluní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39075409736162, 14.251198063543212]"
145, ,Řipská,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39164704552822, 14.255680235283652]"
142, ,Podháj,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39100892738845, 14.24819544704606]"
36, ,Řipská,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39198362832559, 14.253553926703026]"
4, ,Náves,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39268819854337, 14.2493075258277]"
144, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39160481649347, 14.247742922999057]"
151, ,Rafanda,41301,Kleneč,Kleneč,Kleneč,666084,"[50.38962288566627, 14.251980683127568]"
138, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39036592613569, 14.249631264625465]"
211, ,Pod Borky,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39103290175116, 14.245722173962548]"
189, ,Potoční,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39618031866932, 14.250416236817303]"
218, ,Západní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39547370528359, 14.244522419339551]"
111, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39072119453462, 14.249340495850875]"
99, ,Zátiší,41301,Kleneč,Kleneč,Kleneč,666084,"[50.3931105356462, 14.250578359111186]"
172, ,Výsluní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.390921131467294, 14.251010274048111]"
121, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.390088997965435, 14.250188881677884]"
117, ,Pod Borky,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39174608011508, 14.24648904121611]"
57, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39551747975336, 14.247750825270638]"
82, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39401204493192, 14.247768009503035]"
37, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39250715042787, 14.247486857809339]"
45, ,Náves,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39264084922636, 14.24877826087506]"
7, ,Řipská,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39321111620801, 14.251195384717352]"
65, ,Kozina,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39157792731096, 14.248769541810008]"
147, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.397908605287206, 14.248582301065454]"
72, ,Vinohrady,41301,Kleneč,Kleneč,Kleneč,666084,"[50.392659450605755, 14.25385805227673]"
134, ,Řipská,41301,Kleneč,Kleneč,Kleneč,666084,"[50.391661004155935, 14.255187554271522]"
102, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.396240731934384, 14.247927344256116]"
81, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39532284396284, 14.247807643104323]"
87, ,V Loužku,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39441110563648, 14.247865253094762]"
105, ,Nádražní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39421881766055, 14.245919169141596]"
191, ,Kozina,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39162660834547, 14.25134336919216]"
188, ,Nádražní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39485935163326, 14.24536705336303]"
40, ,Náves,41301,Kleneč,Kleneč,Kleneč,666084,"[50.392128597790695, 14.249123576012963]"
17, ,Kozina,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39142918308279, 14.250151143982752]"
222, ,Potoční,41301,Kleneč,Kleneč,Kleneč,666084,"[50.396255358060394, 14.249605927734597]"
98, ,V Loužku,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39464505172818, 14.249262574008164]"
195, ,Rafanda,41301,Kleneč,Kleneč,Kleneč,666084,"[50.390126068206, 14.2528361637753]"
174, ,Výsluní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39100960895368, 14.250839392732027]"
90, ,V Loužku,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39442159796801, 14.248388405647411]"
162, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39749497376606, 14.248240973480705]"
223, ,Lagroun,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39887516005412, 14.249969747286265]"
212, ,Lagroun,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39872944326745, 14.251081042520564]"
171, ,Výsluní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.3913375454376, 14.250851967533562]"
108, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.3936701450594, 14.24770085568805]"
110, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39375027861774, 14.24768331064271]"
103, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39605739262838, 14.248001855427416]"
114, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39060367995671, 14.248940214058235]"
186, ,Výsluní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39006904264566, 14.250946132754743]"
91, ,V Loužku,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39439291615223, 14.248778120909677]"
28, ,Lagroun,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39817685187148, 14.254241302616023]"
164, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39770884917301, 14.248357613290136]"
93, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39580079185958, 14.24787341538854]"
201, ,Pod Borky,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39123209618557, 14.245830925669662]"
73, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39332436176222, 14.247692777327632]"
133, ,Podháj,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39118885641156, 14.248073693787417]"
75, ,Kozina,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39136493896791, 14.249128577041693]"
200, ,Lagroun,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39798925150325, 14.249808630023487]"
66, ,Školní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.391689937853855, 14.248702419427666]"
230, ,Zátiší,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39358432033974, 14.250425092952874]"
220, ,Lagroun,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39917199177995, 14.250345047579879]"
204, ,V Rokyti,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39039604324007, 14.252606686797423]"
62, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.393910184895226, 14.247847116245529]"
116, ,Pod Hlaváčkem,41301,Kleneč,Kleneč,Kleneč,666084,"[50.395807545790014, 14.24835479638802]"
6, ,V Loužku,41301,Kleneč,Kleneč,Kleneč,666084,"[50.394637236689654, 14.24866782657749]"
16, ,Řipská,41301,Kleneč,Kleneč,Kleneč,666084,"[50.3924182341317, 14.251926154038049]"
207, ,Výsluní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.390670807183334, 14.251802474124446]"
194, ,Výsluní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.390279204275124, 14.251785508027933]"
46, ,V Loužku,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39463669271352, 14.24896617489466]"
198, ,Západní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39539427499268, 14.24343208006637]"
60, ,Řipská,41301,Kleneč,Kleneč,Kleneč,666084,"[50.392453884992214, 14.252269959992766]"
2, ,Náves,41301,Kleneč,Kleneč,Kleneč,666084,"[50.392634074815156, 14.249006956636432]"
170, ,Výsluní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39088491820668, 14.251576694063564]"
5, ,Hlavní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39645806034344, 14.247914127842378]"
158, ,V Loužku,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39444083248186, 14.248298986442002]"
141, ,Nádražní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39467970844597, 14.246398937177728]"
33, ,Vinohrady,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39224938887117, 14.253335165791501]"
166, ,Výsluní,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39133168116454, 14.251102041191624]"
107, ,Řipská,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39186184182141, 14.25407517631778]"
26, ,K Návsi,41301,Kleneč,Kleneč,Kleneč,666084,"[50.39292201291828, 14.247852015711613]"
