cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
24, ,Mlýnská,Klobuky,Klobuky,53414231,"[50.29409048763742, 13.987035652208252]"
16, , ,Klobuky,Kokovice,53605231,"[50.29687926486882, 13.965327498164237]"
219, ,Mlýnská,Klobuky,Klobuky,62460286010,"[50.29375397204137, 13.986728509014645]"
56, , ,Klobuky,Kokovice,53546231,"[50.29633026314255, 13.969857733644059]"
52, , ,Klobuky,Kokovice,53569231,"[50.296846609244724, 13.966590052815606]"
54, , ,Klobuky,Páleček,53655231,"[50.29077973695209, 14.029595647168607]"
13, ,9. května,Klobuky,Klobuky,53468231,"[50.29326493295138, 13.989612230333124]"
68, , ,Klobuky,Klobuky,53388231,"[50.2982269048767, 13.996174777263114]"
10, ,9. května,Klobuky,Klobuky,53425231,"[50.293454393092325, 13.989887815291613]"
5, ,Riegerova,Klobuky,Klobuky,53447231,"[50.291578419145736, 13.985299207869446]"
97, ,Potoční,Klobuky,Klobuky,53256231,"[50.29213947486274, 13.986712668538598]"
42, ,V. B. Třebízského,Klobuky,Klobuky,53276231,"[50.290970196827864, 13.987225015253298]"
15, ,9. května,Klobuky,Klobuky,53285231,"[50.293838604516274, 13.988914603849855]"
17, ,9. května,Klobuky,Klobuky,53287231,"[50.293982268818716, 13.98834817102211]"
16, ,9. května,Klobuky,Klobuky,53288231,"[50.29394431314037, 13.98859331507777]"
32, ,Na Kopečku,Klobuky,Klobuky,53292231,"[50.29477110024441, 13.987025089914088]"
56, ,V. B. Třebízského,Klobuky,Klobuky,53300231,"[50.292232749920146, 13.987894077311093]"
129, ,Mlýnská,Klobuky,Klobuky,53306231,"[50.29542126618813, 13.986666587902338]"
85, ,Pod Nádražím,Klobuky,Klobuky,53315231,"[50.295279474505925, 13.99382995360582]"
90, ,Nádražní,Klobuky,Klobuky,53316231,"[50.29477877717619, 13.992322000770807]"
171, ,Nová,Klobuky,Klobuky,53342231,"[50.29638965049251, 13.994676994096896]"
153, ,Náměstí 9. května,Klobuky,Klobuky,53344231,"[50.29432706552564, 13.988863032589324]"
164, ,V. B. Třebízského,Klobuky,Klobuky,53356231,"[50.29034396989393, 13.987398341368861]"
115, ,Pod Nádražím,Klobuky,Klobuky,53362231,"[50.29685288160594, 13.9956598366759]"
135, ,V. B. Třebízského,Klobuky,Klobuky,53369231,"[50.29181692269644, 13.98854896340247]"
144, ,Nová,Klobuky,Klobuky,53372231,"[50.29570050619484, 13.992591858520376]"
39, ,Náměstí J. Š. Baara,Klobuky,Klobuky,53411231,"[50.29351719761349, 13.99173622660687]"
37, , ,Klobuky,Klobuky,53422231,"[50.28983451804303, 13.991859393225786]"
50, ,Riegerova,Klobuky,Klobuky,53426231,"[50.29223454877571, 13.98708481133446]"
