cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
24, , ,Koberovice,Lísky,62355454010,"[49.567220591998435, 15.260634481942049]"
23, , ,Koberovice,Lísky,62176907010,"[49.57318357162162, 15.262408078883224]"
59, , ,Koberovice,Koberovice,26603359010,"[49.58541417551955, 15.264783609583535]"
10, , ,Koberovice,Lísky,304347304,"[49.57278394101805, 15.259973119847142]"
51, , ,Koberovice,Koberovice,21386987010,"[49.5881783762619, 15.26389860078508]"
32, , ,Koberovice,Lohenice,22707148010,"[49.587545069193425, 15.2768469980731]"
61, , ,Koberovice,Koberovice,544485304,"[49.588089586386076, 15.264473476241712]"
22, , ,Koberovice,Koberovice,301877304,"[49.58731745309946, 15.262574034350386]"
15, , ,Koberovice,Lohenice,304593304,"[49.58813413843378, 15.280000103412931]"
50, , ,Koberovice,Koberovice,502757304,"[49.587985486731476, 15.263977863635553]"
16, , ,Koberovice,Lohenice,304592304,"[49.58822041264961, 15.279684637064662]"
27, , ,Koberovice,Lohenice,304584304,"[49.587092115092, 15.279436262274508]"
13, , ,Koberovice,Lohenice,304614304,"[49.587368543416424, 15.277236697211663]"
27, , ,Koberovice,Koberovice,301834304,"[49.58777500812929, 15.263718986526404]"
41, , ,Koberovice,Koberovice,301857304,"[49.58730318040481, 15.263933387264201]"
17, , ,Koberovice,Lísky,304348304,"[49.57225856328334, 15.260570691130074]"
43, , ,Koberovice,Koberovice,301880304,"[49.5890749213629, 15.262109054687674]"
46, , ,Koberovice,Koberovice,301842304,"[49.58648678101031, 15.263247602718184]"
18, , ,Koberovice,Koberovice,301838304,"[49.58848807770767, 15.268310095882905]"
40, , ,Koberovice,Koberovice,301855304,"[49.58563817550977, 15.26408926349935]"
7, , ,Koberovice,Lohenice,304599304,"[49.58552286446729, 15.280332778493511]"
20, , ,Koberovice,Lohenice,304613304,"[49.58884670602213, 15.277012924950624]"
37, , ,Koberovice,Koberovice,301850304,"[49.5860993872528, 15.265043609178353]"
29, , ,Koberovice,Koberovice,301835304,"[49.58599037878562, 15.263207758789719]"
48, , ,Koberovice,Koberovice,301828304,"[49.58865936010079, 15.262274633791362]"
39, , ,Koberovice,Koberovice,301851304,"[49.585773057278125, 15.264422049264015]"
35, , ,Koberovice,Koberovice,301803304,"[49.58430688434563, 15.266077029737694]"
14, , ,Koberovice,Lísky,304350304,"[49.56842209787974, 15.261009567591273]"
6, , ,Koberovice,Koberovice,518703304,"[49.5856606181554, 15.263258105373131]"
36, , ,Koberovice,Koberovice,301849304,"[49.58627215909835, 15.26478870437806]"
44, , ,Koberovice,Koberovice,301827304,"[49.58889932415415, 15.262553716740435]"
11, , ,Koberovice,Lohenice,304602304,"[49.58696607345157, 15.279418864654465]"
23, , ,Koberovice,Koberovice,301866304,"[49.587822070378294, 15.262911730654443]"
33, , ,Koberovice,Koberovice,301847304,"[49.586783191625855, 15.264057873831026]"
49, , ,Koberovice,Koberovice,301829304,"[49.58866710639005, 15.262730263123471]"
17, , ,Koberovice,Koberovice,301839304,"[49.586674940217506, 15.262876503737434]"
14, , ,Koberovice,Koberovice,301837304,"[49.5867748405172, 15.263431328185973]"
12, , ,Koberovice,Lohenice,304610304,"[49.58730277667397, 15.278024814459581]"
47, , ,Koberovice,Koberovice,301859304,"[49.59021025486638, 15.253815503760261]"
4, , ,Koberovice,Lísky,304359304,"[49.57307673467479, 15.261331707382457]"
38, , ,Koberovice,Koberovice,301854304,"[49.58591175135824, 15.265228906607927]"
30, , ,Koberovice,Koberovice,301865304,"[49.586193950683445, 15.262951608395982]"
25, , ,Koberovice,Koberovice,301884304,"[49.58831211831275, 15.263319318627659]"
4, , ,Koberovice,Lohenice,304607304,"[49.58516975640284, 15.278745835917237]"
55, , ,Koberovice,Koberovice,301878304,"[49.58845988514168, 15.263463365995344]"
14, , ,Koberovice,Lohenice,304608304,"[49.587598204563314, 15.279584663268999]"
18, , ,Koberovice,Lohenice,304594304,"[49.5884486570841, 15.278224443087119]"
19, , ,Koberovice,Lísky,523558304,"[49.57196032627184, 15.26071136323998]"
57, , ,Koberovice,Koberovice,469135304,"[49.58448605958349, 15.265626154459257]"
13, , ,Koberovice,Lísky,304355304,"[49.573527621827346, 15.26067458893333]"
56, , ,Koberovice,Koberovice,495315304,"[49.585622572795344, 15.264561941371019]"
