cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
30, , ,Koberovy,Michovka,273316504,"[50.6213475895216, 15.206615067911208]"
285, , ,Koberovy,Zbirohy,273335504,"[50.622675740294554, 15.188722314562243]"
133, , ,Koberovy,Koberovy,287481504,"[50.62259548675647, 15.228403774886042]"
33, , ,Koberovy,Zbirohy,373066504,"[50.62277623330483, 15.190415295710077]"
34, , ,Koberovy,Zbirohy,273298504,"[50.62305547230922, 15.190415903473792]"
123, , ,Koberovy,Koberovy,287444504,"[50.62001790931727, 15.231039071194248]"
12, , ,Koberovy,Koberovy,287553504,"[50.61880145006516, 15.232179927833835]"
104, , ,Koberovy,Koberovy,287518504,"[50.62114703202967, 15.225506822093356]"
714, , ,Koberovy,Zbirohy,62232795010,"[50.61952024437554, 15.197659124450018]"
700, , ,Koberovy,Michovka,273367504,"[50.62312326981231, 15.208114883166376]"
26, , ,Koberovy,Michovka,273347504,"[50.62053618489358, 15.204411488136865]"
12, , ,Koberovy,Chloudov,287393504,"[50.63083344163876, 15.236368344110685]"
42, , ,Koberovy,Michovka,273385504,"[50.6208939921811, 15.205684847320692]"
171, , ,Koberovy,Koberovy,287649504,"[50.6284358530522, 15.227970347281174]"
59, , ,Koberovy,Besedice,48564289010,"[50.62743919951134, 15.209649788324393]"
58, , ,Koberovy,Besedice,49022244010,"[50.62924991374195, 15.20963054899346]"
58, , ,Koberovy,Vrát,38031040010,"[50.63372034244988, 15.231933249955855]"
215, , ,Koberovy,Besedice,273270504,"[50.627961619159684, 15.208263477209266]"
22, , ,Koberovy,Prosíčka,302825504,"[50.6372633891459, 15.220684565403408]"
22, , ,Koberovy,Vrát,302874504,"[50.63257046956906, 15.21968195467103]"
57, , ,Koberovy,Besedice,29011661010,"[50.626190025275896, 15.211237966612467]"
39, , ,Koberovy,Koberovy,287556504,"[50.61898186786651, 15.23130458501581]"
55, , ,Koberovy,Michovka,526109504,"[50.62164146002329, 15.206974362246422]"
28, , ,Koberovy,Besedice,273285504,"[50.62640138316454, 15.207007708789622]"
60, , ,Koberovy,Koberovy,287449504,"[50.63076214971483, 15.235257096408723]"
36, , ,Koberovy,Michovka,273449504,"[50.62354769023084, 15.207576969956026]"
36, , ,Koberovy,Koberovy,287573504,"[50.6184951813253, 15.233025035156544]"
75, , ,Koberovy,Koberovy,287594504,"[50.61985139149918, 15.226687831544389]"
28, , ,Koberovy,Zbirohy,273306504,"[50.62281132966839, 15.187026585034738]"
243, , ,Koberovy,Besedice,273400504,"[50.62783866289461, 15.204270693779533]"
7, , ,Koberovy,Zbirohy,273356504,"[50.62249942118923, 15.186419436821474]"
21, , ,Koberovy,Zbirohy,273363504,"[50.6215539109864, 15.193103866048684]"
34, , ,Koberovy,Michovka,273302504,"[50.62285722007504, 15.207330101272888]"
194, , ,Koberovy,Koberovy,524509504,"[50.624763952075725, 15.22445638829061]"
17, , ,Koberovy,Zbirohy,273273504,"[50.625452508102754, 15.186854709660146]"
56, , ,Koberovy,Besedice,24102359010,"[50.627128875860585, 15.213216057047989]"
31, , ,Koberovy,Prosíčka,302892504,"[50.637713454324256, 15.214240083325114]"
48, , ,Koberovy,Vrát,302830504,"[50.633485885921075, 15.229358484453636]"
16, , ,Koberovy,Vrát,302833504,"[50.634564957602194, 15.228018163153102]"
2, , ,Koberovy,Vrát,302876504,"[50.63432972040051, 15.230273300557142]"
45, , ,Koberovy,Vrát,302834504,"[50.63415541445054, 15.228783555271358]"
50, , ,Koberovy,Vrát,302914504,"[50.63604583006685, 15.230430396824357]"
19, , ,Koberovy,Vrát,302841504,"[50.63584872837621, 15.230683340024893]"
3, , ,Koberovy,Vrát,302842504,"[50.6356770270959, 15.230689018273688]"
41, , ,Koberovy,Vrát,302905504,"[50.633316658786846, 15.228494617321287]"
