cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
72, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.157684285400556, 13.511103710567175]"
8, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15578468181384, 13.51072290368965]"
6, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15697550360999, 13.509858910217758]"
39, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.156152271238895, 13.509996851512877]"
50, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.158091160823325, 13.51096056773111]"
10, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.157657474101, 13.50959107416428]"
45, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15542088841586, 13.510787630818022]"
56, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15540415127044, 13.509918989109691]"
69, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.154974057208214, 13.511543349048825]"
61, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15546851959077, 13.511211932997655]"
4, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15641044908777, 13.510033344390873]"
2, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.156431358682504, 13.510438848468176]"
59, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15559496834497, 13.509889562457804]"
58, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15575166381136, 13.51009466457781]"
63, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15924371190295, 13.508961134703778]"
13, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.158080238831566, 13.509284574071604]"
64, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.158742535371466, 13.508923953228377]"
76, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.158297417884164, 13.509869969547838]"
71, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.155168268877496, 13.510240120217519]"
24, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15783626270141, 13.51152588175162]"
44, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15657826611116, 13.510071838650928]"
65, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15418293843807, 13.511855025047964]"
73, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15690218031019, 13.51079588032154]"
19, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15843482366223, 13.51089827564693]"
12, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.157979386944284, 13.509308839737733]"
68, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15460025613606, 13.511819270439101]"
1, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15651719105282, 13.511071743303413]"
15, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.158358003609045, 13.50918756542072]"
74, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15789327197595, 13.508823029519672]"
17, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.158255903702454, 13.510125908635482]"
77, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15669658527748, 13.510035429251744]"
1, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15786191155975, 13.509421898887016]"
51, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15588473414889, 13.510710149833184]"
32, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15812996995852, 13.511526348905926]"
54, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15605259817637, 13.510694435996054]"
25, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15735750150455, 13.511628776132735]"
4, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15712399085846, 13.509795924357189]"
27, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.157062697900834, 13.511706538882477]"
62, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.1553363824337, 13.51124647111772]"
22, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15843861573303, 13.511374308108847]"
14, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15824119188684, 13.509124563024862]"
66, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.154773636139986, 13.511546709854976]"
46, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.158365539019, 13.509492052364976]"
20, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15835495023726, 13.510891174367044]"
38, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15737962474307, 13.509806972163743]"
35, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15581519170949, 13.511120499708799]"
60, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15861196624715, 13.509009647135679]"
67, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15514694561982, 13.509847317707905]"
75, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15884671214335, 13.509181243105129]"
57, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.155462167862304, 13.510128458637395]"
43, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15668013135099, 13.511134163823408]"
42, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15778528166765, 13.510287769480927]"
9, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.157565898066174, 13.509664401286189]"
55, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.1556592931618, 13.51074539553629]"
70, , ,27004,Kolešov,Kolešov,Kolešov,668095,"[50.15627442049622, 13.511115846380509]"
