cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
16, , ,Konecchlumí,Konecchlumí,272873604,"[50.40290705973563, 15.480901854967726]"
1, , ,Konecchlumí,Konecchlumí,62325027010,"[50.40300319723129, 15.482758876388758]"
7, , ,Konecchlumí,Kamenice,272325604,"[50.41186011003323, 15.476577936977662]"
107, , ,Konecchlumí,Konecchlumí,14671994010,"[50.40469875223592, 15.48864208369704]"
78, , ,Konecchlumí,Konecchlumí,272929604,"[50.401827244605975, 15.482666099901842]"
1, , ,Konecchlumí,Kamenice,272406604,"[50.41181922291409, 15.478995991280485]"
111, , ,Konecchlumí,Konecchlumí,0,"[50.40254635848016, 15.48174363229673]"
67, , ,Konecchlumí,Kamenice,29545237010,"[50.41243419560438, 15.476179997596962]"
64, , ,Konecchlumí,Kamenice,478110604,"[50.41181606819851, 15.472358589236162]"
109, , ,Konecchlumí,Konecchlumí,481849604,"[50.40482898563059, 15.489339516612015]"
66, , ,Konecchlumí,Kamenice,22685683010,"[50.411009310585506, 15.474994884771837]"
65, , ,Konecchlumí,Kamenice,14847853010,"[50.41194077622993, 15.474630884604666]"
105, , ,Konecchlumí,Konecchlumí,16496530010,"[50.40501896199429, 15.488991125182752]"
60, , ,Konecchlumí,Kamenice,501979604,"[50.41286511573562, 15.481766953804103]"
57, , ,Konecchlumí,Kamenice,504977604,"[50.410924750243396, 15.470588660705305]"
44, , ,Konecchlumí,Konecchlumí,463282604,"[50.40377460669359, 15.48514917637685]"
112, , ,Konecchlumí,Konecchlumí,0,"[50.406207330069535, 15.485445712666987]"
46, , ,Konecchlumí,Konecchlumí,272927604,"[50.40364949277007, 15.486263989681595]"
86, , ,Konecchlumí,Konecchlumí,272931604,"[50.40060283392375, 15.479985447173895]"
83, , ,Konecchlumí,Konecchlumí,272943604,"[50.40040893795385, 15.479692633042971]"
54, , ,Konecchlumí,Kamenice,272332604,"[50.41846747299612, 15.481981983953368]"
25, , ,Konecchlumí,Konecchlumí,272926604,"[50.40405842363056, 15.484522482571688]"
62, , ,Konecchlumí,Konecchlumí,272904604,"[50.40389798244853, 15.483460138305771]"
82, , ,Konecchlumí,Konecchlumí,272906604,"[50.403446970858596, 15.478872724679395]"
90, , ,Konecchlumí,Konecchlumí,272923604,"[50.400121359154674, 15.479645619242088]"
98, , ,Konecchlumí,Konecchlumí,272953604,"[50.40100308266637, 15.479828776178909]"
46, , ,Konecchlumí,Kamenice,272330604,"[50.41467665002993, 15.47984174664431]"
47, , ,Konecchlumí,Konecchlumí,272936604,"[50.40361711370381, 15.486937886161172]"
14, , ,Konecchlumí,Konecchlumí,272951604,"[50.40089748427423, 15.480290158191403]"
15, , ,Konecchlumí,Konecchlumí,272974604,"[50.40247429082924, 15.480136092945935]"
93, , ,Konecchlumí,Konecchlumí,272952604,"[50.401297626896536, 15.480168938793632]"
88, , ,Konecchlumí,Konecchlumí,272919604,"[50.40377633914325, 15.478457873691797]"
72, , ,Konecchlumí,Konecchlumí,272907604,"[50.40050973217677, 15.481856892127013]"
80, , ,Konecchlumí,Konecchlumí,272889604,"[50.40016600165084, 15.482457552059406]"
8, , ,Konecchlumí,Kamenice,272408604,"[50.41211224018877, 15.476317521737194]"
