cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
153, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.67585401948367, 16.238443080625732]"
146, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.67438988481243, 16.23885740513262]"
51, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.67638088618392, 16.273020014605653]"
21, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.66929396860854, 16.252959053650354]"
75, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.66392712974826, 16.26268037528475]"
30, , ,57201,Korouhev,Lačnov,Lačnov,669563,"[49.670800568754494, 16.22338750332587]"
213, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.6694915483828, 16.250537640777935]"
66, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.67991292324595, 16.271045402066107]"
189, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.66269548994567, 16.266348350272455]"
92, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.666881248759694, 16.257155627779746]"
148, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.67464863646928, 16.237386691410116]"
48, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.66139258192182, 16.269434104088145]"
37, , ,57201,Korouhev,Lačnov,Lačnov,669563,"[49.67839214202366, 16.219453494346336]"
270, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.66576579978395, 16.262037027449228]"
165, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.67398267527385, 16.24226327643952]"
220, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.66036009717852, 16.274073965180868]"
266, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.66611142233737, 16.26169524192014]"
88, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.666561899993255, 16.25820835355125]"
281, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.67394667167317, 16.240885351657052]"
47, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.664469859057604, 16.26298564806558]"
59, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.68068185642425, 16.271013039543394]"
232, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.67047308511495, 16.246112866248072]"
178, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.670866121760966, 16.24575179907916]"
73, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.68548746207034, 16.269771329173047]"
24, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.66887233581229, 16.25438893647912]"
12, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.6700730560041, 16.25032438624382]"
16, , ,57201,Korouhev,Lačnov,Lačnov,669563,"[49.66887281648877, 16.20659875672956]"
39, , ,57201,Korouhev,Lačnov,Lačnov,669563,"[49.678488047608276, 16.21766162160455]"
150, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.675013841122365, 16.23701656378634]"
177, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.67179459350097, 16.245395821461752]"
44, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.6623676559365, 16.268095196683422]"
283, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.67404480060929, 16.240710695776055]"
36, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.664268872194114, 16.263560471600474]"
309, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.66979356437916, 16.24667520206112]"
72, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.66304496788393, 16.262752039888092]"
244, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.6624046585062, 16.270079944931936]"
22, , ,57201,Korouhev,Lačnov,Lačnov,669563,"[49.67252268095502, 16.20389787600712]"
187, , ,56993,Korouhev,Korouhev,Korouhev,669555,"[49.67484385510235, 16.236891405069322]"
