cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
73, , ,56301,Koruna,Koruna,Koruna,669636,"[49.84710131864402, 16.71710624314009]"
23, , ,56301,Koruna,Koruna,Koruna,669636,"[49.84390297491553, 16.720781493541512]"
71, , ,56301,Koruna,Koruna,Koruna,669636,"[49.8472192219228, 16.712991074060287]"
44, , ,56301,Koruna,Koruna,Koruna,669636,"[49.83938833391605, 16.72938240011825]"
27, , ,56301,Koruna,Koruna,Koruna,669636,"[49.84365833066555, 16.722457315295866]"
32, , ,56301,Koruna,Koruna,Koruna,669636,"[49.846852071384276, 16.709374036589995]"
16, , ,56301,Koruna,Koruna,Koruna,669636,"[49.8465517489415, 16.7186525141181]"
68, , ,56301,Koruna,Koruna,Koruna,669636,"[49.84375030268116, 16.723267109415303]"
47, , ,56301,Koruna,Koruna,Koruna,669636,"[49.8452697114776, 16.728260213197682]"
1, , ,56301,Koruna,Koruna,Koruna,669636,"[49.841937889705115, 16.736739281622928]"
67, , ,56301,Koruna,Koruna,Koruna,669636,"[49.84347201235417, 16.720278837746243]"
34, , ,56301,Koruna,Koruna,Koruna,669636,"[49.84575656580972, 16.717217537651898]"
30, , ,56301,Koruna,Koruna,Koruna,669636,"[49.84605530545455, 16.71656700526205]"
50, , ,56301,Koruna,Koruna,Koruna,669636,"[49.84727450424566, 16.711695477222975]"
6, , ,56301,Koruna,Koruna,Koruna,669636,"[49.847495306827824, 16.71332307437716]"
39, , ,56301,Koruna,Koruna,Koruna,669636,"[49.84515997015846, 16.72233569690739]"
15, , ,56301,Koruna,Koruna,Koruna,669636,"[49.84644794474721, 16.71780267864268]"
21, , ,56301,Koruna,Koruna,Koruna,669636,"[49.84541680368505, 16.718322274635383]"
1, , ,56301,Koruna,Koruna,Koruna,669636,"[49.847275986104755, 16.70939523233914]"
7, , ,56301,Koruna,Koruna,Koruna,669636,"[49.84601780705297, 16.7296976315777]"
63, , ,56301,Koruna,Koruna,Koruna,669636,"[49.84771786263442, 16.713272370898093]"
64, , ,56301,Koruna,Koruna,Koruna,669636,"[49.844795314999, 16.72242375555955]"
56, , ,56301,Koruna,Koruna,Koruna,669636,"[49.84437218954555, 16.725593652329657]"
10, , ,56301,Koruna,Koruna,Koruna,669636,"[49.84686388705108, 16.71504931137643]"
3, , ,56301,Koruna,Koruna,Koruna,669636,"[49.84729570845772, 16.711216540634908]"
9, , ,56301,Koruna,Koruna,Koruna,669636,"[49.84667029578149, 16.714340134828223]"
54, , ,56301,Koruna,Koruna,Koruna,669636,"[49.84753861547141, 16.71028150611924]"
46, , ,56301,Koruna,Koruna,Koruna,669636,"[49.847191424440105, 16.711932922023877]"
18, , ,56301,Koruna,Koruna,Koruna,669636,"[49.846052297764366, 16.717965799120606]"
69, , ,56301,Koruna,Koruna,Koruna,669636,"[49.847066572637985, 16.716502721743108]"
52, , ,56301,Koruna,Koruna,Koruna,669636,"[49.848386090679526, 16.70867332454232]"
45, , ,56301,Koruna,Koruna,Koruna,669636,"[49.847057209087524, 16.712346604413582]"
