cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
38, , ,78901,Kosov,Kosov,Kosov,669997,"[49.881703193308724, 16.7985281482573]"
35, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88243737318261, 16.79949146557157]"
72, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88164876846845, 16.80462178413708]"
105, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88276980561262, 16.796701064668113]"
86, , ,78901,Kosov,Kosov,Kosov,669997,"[49.87637433101412, 16.805713527116193]"
64, , ,78901,Kosov,Kosov,Kosov,669997,"[49.882479278526525, 16.800628445284655]"
60, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88153144167163, 16.802348584493224]"
51, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88293202511916, 16.79576312614962]"
124, , ,78901,Kosov,Kosov,Kosov,669997,"[49.882060527811184, 16.80575938718261]"
73, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88296419577421, 16.796774104307055]"
70, , ,78901,Kosov,Kosov,Kosov,669997,"[49.87767655500275, 16.806977700691082]"
59, , ,78901,Kosov,Kosov,Kosov,669997,"[49.877365653866576, 16.807856359645072]"
98, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88171027369193, 16.804890174734215]"
74, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88401447528183, 16.797691240113018]"
5, , ,78901,Kosov,Kosov,Kosov,669997,"[49.87926757253524, 16.80636750762082]"
39, , ,78901,Kosov,Kosov,Kosov,669997,"[49.87816040935387, 16.80439308103386]"
20, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88383778018511, 16.795746368276017]"
10, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88381388332595, 16.79890592636284]"
9, , ,78901,Kosov,Kosov,Kosov,669997,"[49.883661885545145, 16.798613972555522]"
44, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88347510100797, 16.795068527273724]"
18, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88384670491008, 16.797156162537185]"
7, , ,78901,Kosov,Kosov,Kosov,669997,"[49.87932308656187, 16.80718627846554]"
4, , ,78901,Kosov,Kosov,Kosov,669997,"[49.881186820852776, 16.803242786309465]"
23, , ,78901,Kosov,Kosov,Kosov,669997,"[49.882550719427584, 16.797839273541847]"
101, , ,78901,Kosov,Kosov,Kosov,669997,"[49.8835938830054, 16.80163295067112]"
84, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88354865420733, 16.79839068540327]"
67, , ,78901,Kosov,Kosov,Kosov,669997,"[49.883864048795694, 16.797862452483468]"
100, , ,78901,Kosov,Kosov,Kosov,669997,"[49.881627137035395, 16.805201200168653]"
47, , ,78901,Kosov,Kosov,Kosov,669997,"[49.881923845268176, 16.797224606371724]"
97, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88048205912079, 16.805163238733854]"
82, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88345515484558, 16.801377721783318]"
107, , ,78901,Kosov,Kosov,Kosov,669997,"[49.881368839562015, 16.797438260626983]"
62, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88156409312074, 16.797228391330343]"
50, , ,78901,Kosov,Kosov,Kosov,669997,"[49.882792442129556, 16.807664539724687]"
29, , ,78901,Kosov,Kosov,Kosov,669997,"[49.87973285324649, 16.80508907523653]"
11, , ,78901,Kosov,Kosov,Kosov,669997,"[49.87988736913643, 16.805869313247094]"
22, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88254815452447, 16.796115761550556]"
27, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88126528928598, 16.80496853588123]"
58, , ,78901,Kosov,Kosov,Kosov,669997,"[49.87738155946859, 16.807616072876545]"
76, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88096222769796, 16.8008712744433]"
39, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88124476931395, 16.799688758913263]"
1, , ,78901,Kosov,Kosov,Kosov,669997,"[49.883009018104175, 16.80117395060206]"
62, , ,78901,Kosov,Kosov,Kosov,669997,"[49.87727904569598, 16.80845891087858]"
34, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88074571956996, 16.799409146437654]"
21, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88351097699853, 16.7962689245399]"
91, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88141659634358, 16.7997875991656]"
51, , ,78901,Kosov,Kosov,Kosov,669997,"[49.8775200778417, 16.806516232291703]"
20, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88026186597937, 16.804755239649122]"
61, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88180661518404, 16.7977393400411]"
14, , ,78901,Kosov,Kosov,Kosov,669997,"[49.880052516607854, 16.80552393062488]"
25, , ,78901,Kosov,Kosov,Kosov,669997,"[49.883532736127165, 16.79729434802976]"
33, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88194028009762, 16.800228296802224]"
3, , ,78901,Kosov,Kosov,Kosov,669997,"[49.879816013518244, 16.806803093434816]"
13, , ,78901,Kosov,Kosov,Kosov,669997,"[49.87995966628358, 16.805610156614783]"
12, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88338834924394, 16.799802499620164]"
109, , ,78901,Kosov,Kosov,Kosov,669997,"[49.882222458960825, 16.798011826447762]"
1, , ,78901,Kosov,Kosov,Kosov,669997,"[49.87969005004225, 16.805814209479543]"
40, , ,78901,Kosov,Kosov,Kosov,669997,"[49.880748084158306, 16.800310915210527]"
114, , ,78901,Kosov,Kosov,Kosov,669997,"[49.88385877078388, 16.8031023824247]"
45, , ,78901,Kosov,Kosov,Kosov,669997,"[49.882389572311645, 16.799843188797684]"
