cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
173, , ,Kosořice,Kosořice,15207540010,"[50.337327192714476, 14.968070846727159]"
162, , ,Kosořice,Kosořice,619792207,"[50.339056810927936, 14.968067126605243]"
27, , ,Kosořice,Kosořice,395023207,"[50.33534167441251, 14.96786285714826]"
20, , ,Kosořice,Kosořice,536820207,"[50.33539534328825, 14.965873794560428]"
201, , ,Kosořice,Kosořice,62273825010,"[50.338457451977895, 14.964982422294542]"
174, , ,Kosořice,Kosořice,14458874010,"[50.33271824029545, 14.969724545957103]"
205, , ,Kosořice,Kosořice,61062604010,"[50.337744530726965, 14.964220428151592]"
207, , ,Kosořice,Kosořice,61062598010,"[50.33862344496937, 14.964555826587588]"
206, , ,Kosořice,Kosořice,61062605010,"[50.33754402775622, 14.964131747958284]"
204, , ,Kosořice,Kosořice,61062602010,"[50.337946980058724, 14.964304179990286]"
203, , ,Kosořice,Kosořice,61062601010,"[50.33816387123116, 14.964361053774919]"
202, , ,Kosořice,Kosořice,61062600010,"[50.33841847934592, 14.964507149519928]"
7, , ,Kosořice,Kosořice,395034207,"[50.33298578195492, 14.967616610084628]"
200, , ,Kosořice,Kosořice,60742510010,"[50.33731670256237, 14.968421594899533]"
132, , ,Kosořice,Kosořice,541320207,"[50.33274529614574, 14.966681385580188]"
99, , ,Kosořice,Kosořice,394975207,"[50.33323709791784, 14.972136610910145]"
25, , ,Kosořice,Kosořice,395076207,"[50.335831522590716, 14.967401455209192]"
66, , ,Kosořice,Kosořice,394957207,"[50.33702452127735, 14.965542663019848]"
92, , ,Kosořice,Kosořice,395071207,"[50.3335044482425, 14.97090095679654]"
45, , ,Kosořice,Kosořice,395075207,"[50.33620819563261, 14.966896203026781]"
130, , ,Kosořice,Kosořice,395087207,"[50.3361334332155, 14.965902134285889]"
136, , ,Kosořice,Kosořice,609295207,"[50.33844423643546, 14.9655059940488]"
