cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
8, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328476305,"[49.5011397645961, 14.211509289894506]"
46, , ,Kostelec nad Vltavou,Sobědraž,0,"[49.47068051910785, 14.182515728571566]"
17, , ,Kostelec nad Vltavou,Zahrádka,62550407010,"[49.49120592210551, 14.225155106132766]"
9, , ,Kostelec nad Vltavou,Zahrádka,347639305,"[49.49380077200733, 14.2327741811721]"
12, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328448305,"[49.50190235917485, 14.212103421642375]"
21, , ,Kostelec nad Vltavou,Zahrádka,14962890010,"[49.493725378598825, 14.231905675482203]"
39, , ,Kostelec nad Vltavou,Přílepov,0,"[49.498960411759334, 14.246796233571494]"
31, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328432305,"[49.50144562874482, 14.21181850807205]"
97, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328424305,"[49.50092773640132, 14.212793753067663]"
76, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328477305,"[49.50082062682728, 14.211380557729598]"
7, , ,Kostelec nad Vltavou,Sobědraž,343902305,"[49.4702261858534, 14.176585252449884]"
14, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328504305,"[49.501377092929985, 14.2125165867734]"
77, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,0,"[49.5011061910498, 14.21143608516346]"
110, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,0,"[49.50252273458326, 14.21520439336507]"
109, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,15870287010,"[49.50142756771272, 14.209891007354802]"
65, , ,Kostelec nad Vltavou,Sobědraž,343868305,"[49.4706616008351, 14.239034355549784]"
113, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,34656945010,"[49.499397314221056, 14.21526026966979]"
28, , ,Kostelec nad Vltavou,Zahrádka,39716043010,"[49.491736421960454, 14.2258185261126]"
10, , ,Kostelec nad Vltavou,Zahrádka,347652305,"[49.493060074211535, 14.22818197529477]"
50, , ,Kostelec nad Vltavou,Zahrádka,24969652010,"[49.491518821989075, 14.23268143864201]"
85, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328497305,"[49.502476756720725, 14.212295903258093]"
15, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328531305,"[49.50148691169772, 14.20505030953281]"
14, , ,Kostelec nad Vltavou,Přílepov,340847305,"[49.49920108402633, 14.247520020691086]"
111, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,491720305,"[49.4970681896849, 14.204888482778191]"
16, , ,Kostelec nad Vltavou,Zahrádka,22179707010,"[49.4917943677786, 14.232914862327366]"
114, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,0,"[49.50242841410155, 14.21395151997836]"
49, , ,Kostelec nad Vltavou,Zahrádka,16108903010,"[49.4905300416014, 14.228615088118856]"
108, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328414305,"[49.50046872005475, 14.213837979935837]"
31, , ,Kostelec nad Vltavou,Sobědraž,14624012010,"[49.46961970844548, 14.232997802258543]"
6, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,15271978010,"[49.49939687928429, 14.20906129271945]"
26, , ,Kostelec nad Vltavou,Zahrádka,15558865010,"[49.49337260541141, 14.231477827254093]"
1, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328508305,"[49.500792087598015, 14.209129238643797]"
61, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328495305,"[49.49869559221294, 14.209598873740946]"
44, , ,Kostelec nad Vltavou,Sobědraž,343843305,"[49.47189289468974, 14.235701787219078]"
46, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328490305,"[49.50118444669913, 14.207648723403697]"
52, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328492305,"[49.501296242458295, 14.21285371106924]"
81, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328496305,"[49.49977256165442, 14.214089289764308]"
51, , ,Kostelec nad Vltavou,Sobědraž,343893305,"[49.472041486225464, 14.237080556037176]"
29, , ,Kostelec nad Vltavou,Sobědraž,343866305,"[49.47411056092135, 14.240649401873958]"
7, , ,Kostelec nad Vltavou,Zahrádka,347677305,"[49.486883423407214, 14.220742104598866]"
36, , ,Kostelec nad Vltavou,Zahrádka,347637305,"[49.49180096332741, 14.230613542914758]"
1, , ,Kostelec nad Vltavou,Zahrádka,347654305,"[49.48626081943687, 14.22134311811725]"
100, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328463305,"[49.49923396932966, 14.216030887085271]"
84, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328445305,"[49.50230965373405, 14.21224396274366]"
39, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328415305,"[49.5013457109664, 14.206632683894634]"
19, , ,Kostelec nad Vltavou,Zahrádka,347667305,"[49.48456628046079, 14.230571932306603]"
88, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328416305,"[49.501349253644236, 14.206175313563604]"
105, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,492830305,"[49.4996894441643, 14.215563396941493]"
40, , ,Kostelec nad Vltavou,Sobědraž,343880305,"[49.48793424933938, 14.258314222373544]"
33, , ,Kostelec nad Vltavou,Přílepov,340859305,"[49.49935185401497, 14.247779535428677]"
30, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328520305,"[49.50744187006323, 14.20879104154274]"
65, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328521305,"[49.49003413803628, 14.189239153293437]"
42, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328538305,"[49.49914958060108, 14.21375573032133]"
70, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328429305,"[49.50067511722743, 14.214264990035756]"
34, , ,Kostelec nad Vltavou,Sobědraž,343842305,"[49.49198265846164, 14.239964836494847]"
71, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328498305,"[49.500948883734026, 14.213647455036478]"
16, , ,Kostelec nad Vltavou,Přílepov,340931305,"[49.498837447021955, 14.250117885414893]"
22, , ,Kostelec nad Vltavou,Sobědraž,343862305,"[49.47352839215649, 14.241533055307416]"
2, , ,Kostelec nad Vltavou,Přílepov,340852305,"[49.49865025503808, 14.249657924536805]"
34, , ,Kostelec nad Vltavou,Přílepov,340895305,"[49.499695682127786, 14.247641940002916]"
38, , ,Kostelec nad Vltavou,Zahrádka,347665305,"[49.492534818711405, 14.229066854532189]"
47, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328461305,"[49.50021390456516, 14.212089424757364]"
30, , ,Kostelec nad Vltavou,Sobědraž,343850305,"[49.47251277960876, 14.239333927261026]"
25, , ,Kostelec nad Vltavou,Zahrádka,347628305,"[49.49338757843649, 14.226200942997622]"
31, , ,Kostelec nad Vltavou,Zahrádka,347636305,"[49.494070693399685, 14.225019676169982]"
49, , ,Kostelec nad Vltavou,Sobědraž,343844305,"[49.47011102952968, 14.233700779612889]"
2, , ,Kostelec nad Vltavou,Zahrádka,347640305,"[49.49298135943093, 14.226463485128933]"
3, , ,Kostelec nad Vltavou,Zahrádka,347651305,"[49.493623746097064, 14.22669888792946]"
98, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328466305,"[49.500653605829, 14.215270924605608]"
38, , ,Kostelec nad Vltavou,Sobědraž,343845305,"[49.46952481383665, 14.234030537997718]"
99, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328506305,"[49.51386276246481, 14.228464050963751]"
14, , ,Kostelec nad Vltavou,Zahrádka,483526305,"[49.49351483742911, 14.231471332895737]"
3, , ,Kostelec nad Vltavou,Přílepov,340893305,"[49.499027043966514, 14.249221490368315]"
35, , ,Kostelec nad Vltavou,Přílepov,340888305,"[49.4981145663735, 14.250728890254553]"
24, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328534305,"[49.500183512163844, 14.209585493158109]"
7, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328459305,"[49.50128913636449, 14.211249263837447]"
62, , ,Kostelec nad Vltavou,Sobědraž,343846305,"[49.47049579756099, 14.23428498862676]"
4, , ,Kostelec nad Vltavou,Přílepov,340840305,"[49.498766086012886, 14.249072915685726]"
37, , ,Kostelec nad Vltavou,Zahrádka,347629305,"[49.49399329018103, 14.224656490597217]"
43, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328489305,"[49.50089840420245, 14.210663481617924]"
19, , ,Kostelec nad Vltavou,Sobědraž,343870305,"[49.47214316274583, 14.237970473696203]"
64, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328457305,"[49.50088280949557, 14.212949830293244]"
29, , ,Kostelec nad Vltavou,Přílepov,340857305,"[49.50048288681137, 14.247612177806905]"
22, , ,Kostelec nad Vltavou,Přílepov,340894305,"[49.50110892097396, 14.24600169977063]"
26, , ,Kostelec nad Vltavou,Zahrádka,347631305,"[49.49320175578157, 14.2267261814402]"
17, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328427305,"[49.50033862401147, 14.212099893739477]"
25, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328436305,"[49.50015295716682, 14.20892901399571]"
13, , ,Kostelec nad Vltavou,Přílepov,340848305,"[49.49987456246011, 14.247650060884986]"
38, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328515305,"[49.49990962054849, 14.21239804302048]"
27, , ,Kostelec nad Vltavou,Sobědraž,343854305,"[49.47191801590444, 14.23663519114829]"
5, , ,Kostelec nad Vltavou,Zahrádka,347659305,"[49.49180166409509, 14.231254577394667]"
3, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328530305,"[49.5010187241118, 14.209621440267986]"
62, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328408305,"[49.50072837070949, 14.21083957226974]"
35, , ,Kostelec nad Vltavou,Zahrádka,347657305,"[49.491782173643934, 14.229786414706364]"
2, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328545305,"[49.501043839183296, 14.209151614886533]"
54, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328417305,"[49.498966725686365, 14.214175890852777]"
6, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328460305,"[49.50098624954978, 14.210804867969653]"
14, , ,Kostelec nad Vltavou,Sobědraž,343840305,"[49.47208794378258, 14.237352711658742]"
10, , ,Kostelec nad Vltavou,Sobědraž,343852305,"[49.47301703890043, 14.237422990829128]"
6, , ,Kostelec nad Vltavou,Sobědraž,343858305,"[49.47372706521458, 14.240687516953944]"
19, , ,Kostelec nad Vltavou,Přílepov,340896305,"[49.49924656052348, 14.248541844986509]"
27, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328471305,"[49.5005350365975, 14.209247424369366]"
55, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328474305,"[49.50059966954924, 14.208762944168887]"
11, , ,Kostelec nad Vltavou,Přílepov,340860305,"[49.50075824643564, 14.244557503186423]"
32, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328544305,"[49.5003306700754, 14.211591062571383]"
72, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328442305,"[49.500814974981694, 14.213895911175706]"
54, , ,Kostelec nad Vltavou,Sobědraž,343887305,"[49.470330420762586, 14.233866070484869]"
4, , ,Kostelec nad Vltavou,Sobědraž,343830305,"[49.47339873788496, 14.238968485703104]"
42, , ,Kostelec nad Vltavou,Přílepov,340881305,"[49.499176045614995, 14.249424790366092]"
33, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328499305,"[49.49917267770933, 14.209789578520313]"
48, , ,Kostelec nad Vltavou,Sobědraž,343884305,"[49.470300051811535, 14.233521639181243]"
5, , ,Kostelec nad Vltavou,Zahrádka,347632305,"[49.492470906198804, 14.227112693331128]"
19, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328487305,"[49.49939196813321, 14.211864036555959]"
51, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328491305,"[49.489920532758184, 14.210043374678941]"
80, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328523305,"[49.50718929081439, 14.20868518027727]"
32, , ,Kostelec nad Vltavou,Zahrádka,347662305,"[49.492119110217054, 14.229349808775323]"
27, , ,Kostelec nad Vltavou,Zahrádka,347658305,"[49.49169425459643, 14.227891396666513]"
12, , ,Kostelec nad Vltavou,Přílepov,340926305,"[49.50036101662774, 14.245159961504767]"
41, , ,Kostelec nad Vltavou,Přílepov,340889305,"[49.49799461367801, 14.251330523247386]"
101, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328500305,"[49.51225774358628, 14.234145198394573]"
56, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328475305,"[49.500224025056966, 14.209234344917142]"
24, , ,Kostelec nad Vltavou,Zahrádka,347655305,"[49.49192649175399, 14.229328543807346]"
61, , ,Kostelec nad Vltavou,Sobědraž,343824305,"[49.47310685899927, 14.236915039019172]"
21, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328406305,"[49.499784446628965, 14.211674838625914]"
29, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328430305,"[49.5010675810955, 14.212388839127371]"
9, , ,Kostelec nad Vltavou,Sobědraž,343900305,"[49.4732166739473, 14.241624428419541]"
94, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328450305,"[49.49890588958653, 14.215372340298542]"
10, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328447305,"[49.50120077402886, 14.211983683970056]"
22, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328441305,"[49.50023222782558, 14.210688652586624]"
16, , ,Kostelec nad Vltavou,Sobědraž,343903305,"[49.47507723337442, 14.240334621186802]"
36, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328425305,"[49.49790154029971, 14.20885964427984]"
15, , ,Kostelec nad Vltavou,Sobědraž,343907305,"[49.474824807669165, 14.240379262735198]"
20, , ,Kostelec nad Vltavou,Zahrádka,347664305,"[49.49444561495358, 14.224787274107737]"
63, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328437305,"[49.49959046667518, 14.213587480456807]"
11, , ,Kostelec nad Vltavou,Sobědraž,343861305,"[49.47277809471969, 14.238833683741214]"
35, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328464305,"[49.50046246018728, 14.211319496810564]"
41, , ,Kostelec nad Vltavou,Sobědraž,343848305,"[49.47320170368285, 14.237468561523892]"
23, , ,Kostelec nad Vltavou,Zahrádka,347627305,"[49.49249591544064, 14.226168927515456]"
33, , ,Kostelec nad Vltavou,Zahrádka,347656305,"[49.49435990311908, 14.224781337727691]"
6, , ,Kostelec nad Vltavou,Sobědraž,343885305,"[49.47010362204945, 14.17632945356951]"
69, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328510305,"[49.500723360743656, 14.214519482656092]"
102, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328472305,"[49.4995214912693, 14.215365107430562]"
29, , ,Kostelec nad Vltavou,Zahrádka,347630305,"[49.48655112602266, 14.221576762802412]"
17, , ,Kostelec nad Vltavou,Sobědraž,343841305,"[49.4726377065406, 14.23826557227324]"
48, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328462305,"[49.491829796042616, 14.209982640579932]"
36, , ,Kostelec nad Vltavou,Přílepov,340886305,"[49.49803983815904, 14.251016775392284]"
1, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328519305,"[49.486089624935694, 14.20287426261713]"
68, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328470305,"[49.50075491639512, 14.214083132756993]"
49, , ,Kostelec nad Vltavou,Přílepov,340928305,"[49.498953625929154, 14.24766896928496]"
2, , ,Kostelec nad Vltavou,Zahrádka,347648305,"[49.493431561896024, 14.228173372573352]"
16, , ,Kostelec nad Vltavou,Zahrádka,347669305,"[49.488565692569885, 14.223401652142106]"
20, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328488305,"[49.499594306976434, 14.211768122627076]"
24, , ,Kostelec nad Vltavou,Přílepov,340862305,"[49.50064648455464, 14.246929743348698]"
28, , ,Kostelec nad Vltavou,Přílepov,340855305,"[49.50050871341397, 14.247447283435074]"
43, , ,Kostelec nad Vltavou,Zahrádka,429961305,"[49.490454323578334, 14.23275716254077]"
15, , ,Kostelec nad Vltavou,Zahrádka,489642305,"[49.492848434864406, 14.23174437902172]"
64, , ,Kostelec nad Vltavou,Sobědraž,343908305,"[49.47344611426339, 14.242473120953727]"
19, , ,Kostelec nad Vltavou,Zahrádka,495093305,"[49.490376352090834, 14.224908328606634]"
50, , ,Kostelec nad Vltavou,Přílepov,494850305,"[49.49203215370798, 14.240775040137471]"
3, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328419305,"[49.491649139296435, 14.190709328769639]"
47, , ,Kostelec nad Vltavou,Zahrádka,501982305,"[49.49181246732429, 14.233362722995071]"
46, , ,Kostelec nad Vltavou,Zahrádka,502059305,"[49.49057859140335, 14.225110378587969]"
22, , ,Kostelec nad Vltavou,Zahrádka,521484305,"[49.48552559491334, 14.225591903587976]"
112, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328411305,"[49.50191591524018, 14.216758561579114]"
43, , ,Kostelec nad Vltavou,Zahrádka,14772680010,"[49.4851561364514, 14.225711165702386]"
5, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,15271971010,"[49.499473060534605, 14.209373881034507]"
60, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328431305,"[49.49928825318368, 14.212169552457377]"
26, , ,Kostelec nad Vltavou,Přílepov,340854305,"[49.49999219987169, 14.24778217155541]"
8, , ,Kostelec nad Vltavou,Sobědraž,343904305,"[49.470306337413895, 14.17684297814355]"
45, , ,Kostelec nad Vltavou,Zahrádka,347670305,"[49.491694678674776, 14.23023219216374]"
27, , ,Kostelec nad Vltavou,Zahrádka,32977953010,"[49.48626221607581, 14.224139921723415]"
41, , ,Kostelec nad Vltavou,Zahrádka,360840305,"[49.49267125373358, 14.225714811186958]"
4, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328514305,"[49.5011957530462, 14.210104408677536]"
33, , ,Kostelec nad Vltavou,Sobědraž,343867305,"[49.469468277293075, 14.233522879505509]"
11, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328468305,"[49.502128332514665, 14.211464793651862]"
13, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328453305,"[49.501719726286034, 14.212556747760773]"
23, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328467305,"[49.50065618641067, 14.210360204228557]"
34, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328505305,"[49.501849842792424, 14.212291672794798]"
41, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328469305,"[49.50082361976474, 14.2081212648198]"
50, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328503305,"[49.49080836628056, 14.207131146872419]"
67, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328511305,"[49.50197620686424, 14.211985578895522]"
73, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328454305,"[49.501645838716954, 14.212642391266682]"
79, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328435305,"[49.50001699626714, 14.209229368754395]"
92, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328537305,"[49.50021953631747, 14.216407470679899]"
93, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328546305,"[49.49992709060218, 14.21638685856637]"
103, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328418305,"[49.49980511296505, 14.213067188098506]"
104, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328409305,"[49.49988430483965, 14.212840989009582]"
117, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,350360305,"[49.49981028368896, 14.208855706952]"
8, , ,Kostelec nad Vltavou,Přílepov,340876305,"[49.50134792324072, 14.246668297879392]"
20, , ,Kostelec nad Vltavou,Přílepov,340878305,"[49.500218934390574, 14.247231578527856]"
3, , ,Kostelec nad Vltavou,Sobědraž,343837305,"[49.473038699617454, 14.238815980284043]"
5, , ,Kostelec nad Vltavou,Sobědraž,343833305,"[49.473630928015766, 14.239733678276721]"
18, , ,Kostelec nad Vltavou,Sobědraž,343831305,"[49.472928271183214, 14.238700385864869]"
20, , ,Kostelec nad Vltavou,Sobědraž,343832305,"[49.47286353170287, 14.23719558104039]"
45, , ,Kostelec nad Vltavou,Sobědraž,343874305,"[49.472953387221914, 14.235991933369869]"
66, , ,Kostelec nad Vltavou,Sobědraž,343834305,"[49.47061736943507, 14.182307547540326]"
8, , ,Kostelec nad Vltavou,Zahrádka,347661305,"[49.492393729532004, 14.228938737543483]"
9, , ,Kostelec nad Vltavou,Zahrádka,347642305,"[49.493889328960776, 14.232589525715321]"
12, , ,Kostelec nad Vltavou,Zahrádka,347672305,"[49.49280216454097, 14.228042347834373]"
22, , ,Kostelec nad Vltavou,Zahrádka,347674305,"[49.49237376523511, 14.226434004662408]"
8, , ,Kostelec nad Vltavou,Zahrádka,360380305,"[49.49359073521398, 14.231705906622265]"
48, , ,Kostelec nad Vltavou,Zahrádka,347619305,"[49.48720963668203, 14.220995053945018]"
41, , ,Kostelec nad Vltavou,Zahrádka,386101305,"[49.49155832789158, 14.225856872683067]"
23, , ,Kostelec nad Vltavou,Zahrádka,36407154010,"[49.48788784943259, 14.226925879152626]"
4, , ,Kostelec nad Vltavou,Zahrádka,347623305,"[49.4925841673664, 14.226848695141443]"
51, , ,Kostelec nad Vltavou,Zahrádka,55492306010,"[49.494000066769324, 14.228035373610323]"
116, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,59763636010,"[49.50088293066767, 14.207578673916144]"
45, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328494305,"[49.500908606715385, 14.20994327123626]"
15, , ,Kostelec nad Vltavou,Přílepov,340891305,"[49.492224314649235, 14.240809271842826]"
47, , ,Kostelec nad Vltavou,Přílepov,340863305,"[49.500455991640415, 14.246943637932485]"
8, , ,Kostelec nad Vltavou,Sobědraž,343859305,"[49.47371204068127, 14.242015253168189]"
25, , ,Kostelec nad Vltavou,Sobědraž,343851305,"[49.47401494241969, 14.240459278613299]"
3, , ,Kostelec nad Vltavou,Zahrádka,347641305,"[49.493100691446834, 14.225942946506416]"
37, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328483305,"[49.49855041705201, 14.20947599548837]"
87, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328423305,"[49.49974763227219, 14.213232938967877]"
89, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328540305,"[49.50156731721716, 14.207417080317999]"
6, , ,Kostelec nad Vltavou,Přílepov,340883305,"[49.49985023126565, 14.248565476049414]"
21, , ,Kostelec nad Vltavou,Přílepov,340843305,"[49.49896208777746, 14.24679071540881]"
37, , ,Kostelec nad Vltavou,Přílepov,340879305,"[49.501241789473475, 14.244906644216195]"
1, , ,Kostelec nad Vltavou,Sobědraž,343910305,"[49.47334517144096, 14.23809523281344]"
34, , ,Kostelec nad Vltavou,Zahrádka,347635305,"[49.49444832551703, 14.2245933463784]"
39, , ,Kostelec nad Vltavou,Zahrádka,347645305,"[49.494586125475294, 14.224312754477907]"
40, , ,Kostelec nad Vltavou,Zahrádka,347644305,"[49.49213883881895, 14.231516549074678]"
6, , ,Kostelec nad Vltavou,Zahrádka,347675305,"[49.49165048991798, 14.231538008165337]"
44, , ,Kostelec nad Vltavou,Zahrádka,454461305,"[49.48579929523383, 14.224936463287952]"
1, , ,Kostelec nad Vltavou,Sobědraž,343891305,"[49.46985050179326, 14.177317764373488]"
74, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328422305,"[49.49940005453869, 14.213503061875546]"
78, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328526305,"[49.500641336028224, 14.212580158846224]"
32, , ,Kostelec nad Vltavou,Přílepov,340890305,"[49.500184931839016, 14.246360615505909]"
43, , ,Kostelec nad Vltavou,Přílepov,340856305,"[49.50034467153152, 14.247316083200067]"
32, , ,Kostelec nad Vltavou,Sobědraž,343889305,"[49.47266313071196, 14.239774499767293]"
58, , ,Kostelec nad Vltavou,Sobědraž,343877305,"[49.47069903261464, 14.234372808531306]"
60, , ,Kostelec nad Vltavou,Sobědraž,343886305,"[49.470762275791394, 14.234568199171457]"
2, , ,Kostelec nad Vltavou,Sobědraž,343881305,"[49.469915821424124, 14.176941357816709]"
11, , ,Kostelec nad Vltavou,Zahrádka,347638305,"[49.492657191300914, 14.228045678674953]"
15, , ,Kostelec nad Vltavou,Zahrádka,347673305,"[49.49293362334483, 14.226996484699486]"
30, , ,Kostelec nad Vltavou,Zahrádka,347663305,"[49.49359234639916, 14.225460716556011]"
21, , ,Kostelec nad Vltavou,Sobědraž,343888305,"[49.470371242310534, 14.233468014234253]"
106, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,454441305,"[49.50058533248887, 14.207601051476823]"
5, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328539305,"[49.501272647378904, 14.210547910915215]"
53, , ,Kostelec nad Vltavou,Kostelec nad Vltavou,328512305,"[49.5005183757953, 14.212327837707557]"
