cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
6, , ,29426,Kovanec,Kovanec,Kovanec,671321,"[50.41747520787265, 14.776720694435495]"
65, , ,29426,Kovanec,Kovanec,Kovanec,671321,"[50.41661515264367, 14.777453808897011]"
40, , ,29426,Kovanec,Kovanec,Kovanec,671321,"[50.415038983083555, 14.786354032939457]"
82, , ,29426,Kovanec,Kovanec,Kovanec,671321,"[50.41762562261365, 14.777850385715803]"
68, , ,29426,Kovanec,Kovanec,Kovanec,671321,"[50.416853255345245, 14.777801771304071]"
59, , ,29426,Kovanec,Kovanec,Kovanec,671321,"[50.419103406307954, 14.775247650406131]"
32, , ,29426,Kovanec,Kovanec,Kovanec,671321,"[50.41762363070161, 14.77661973537574]"
55, , ,29426,Kovanec,Kovanec,Kovanec,671321,"[50.418055261971475, 14.775720969375346]"
13, , ,29426,Kovanec,Kovanec,Kovanec,671321,"[50.41771164966449, 14.781988991922319]"
8, , ,29426,Kovanec,Kovanec,Kovanec,671321,"[50.41722708835964, 14.77739764079397]"
7, , ,29426,Kovanec,Kovanec,Kovanec,671321,"[50.41737489515905, 14.77716324560988]"
21, , ,29426,Kovanec,Kovanec,Kovanec,671321,"[50.4146416111178, 14.780489575450913]"
4, , ,29426,Kovanec,Kovanec,Kovanec,671321,"[50.41766172177242, 14.77642729548624]"
28, , ,29426,Kovanec,Kovanec,Kovanec,671321,"[50.41740149489791, 14.77804357513434]"
16, , ,29426,Kovanec,Kovanec,Kovanec,671321,"[50.414601442926426, 14.781406284121802]"
57, , ,29426,Kovanec,Kovanec,Kovanec,671321,"[50.41572259080472, 14.779654738946386]"
24, , ,29426,Kovanec,Kovanec,Kovanec,671321,"[50.41857145553608, 14.77592598036666]"
3, , ,29426,Kovanec,Kovanec,Kovanec,671321,"[50.417724811781945, 14.776101912183865]"
11, , ,29426,Kovanec,Kovanec,Kovanec,671321,"[50.41518384783884, 14.779397611505432]"
