cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
118, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.58715276484007, 18.686880023510334]"
57, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.58742466310477, 18.679206223276445]"
62, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.59097941386016, 18.681527001077818]"
74, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.585911390226016, 18.68441625711624]"
117, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.58923033858636, 18.66530126563981]"
93, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.604921141161206, 18.696166754298215]"
53, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.60479358320336, 18.69568966213006]"
59, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.58110791187657, 18.676576073165503]"
105, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.603133161644394, 18.690666406527058]"
76, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.587164996738245, 18.686481000802345]"
72, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.586316257483695, 18.685947819210963]"
99, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.58916320221475, 18.678643904456223]"
92, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.58926050190528, 18.681425369748347]"
39, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.588674938410115, 18.666765416975647]"
58, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.59106301657592, 18.687050031219417]"
117, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.59029651941502, 18.667569364016526]"
121, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.58838627990407, 18.67020750131587]"
5, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.58615874893031, 18.670499462077146]"
91, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.58939564511241, 18.68189440552378]"
49, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.587437101423276, 18.670421583202753]"
125, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.589128907973226, 18.666565435761914]"
113, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.58794722467307, 18.687869075819854]"
70, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.59054832302353, 18.69507149052853]"
101, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.590172846511315, 18.696469358534735]"
30, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.60501817621607, 18.695152241353245]"
63, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.58413867048408, 18.677720831177364]"
21, , ,73981,Košařiska,Košařiska,Košařiska,670707,"[49.58811028558331, 18.67060195108748]"
