cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
14, , ,33038,Krsy,Polínka,Polínka,675121,"[49.93823272292223, 13.056035207507884]"
1, , ,33038,Krsy,Krsy,Krsy,675113,"[49.925963232899825, 13.055641648015342]"
13, , ,33038,Krsy,Polínka,Polínka,675121,"[49.93880830588849, 13.05574185327198]"
71, , ,33038,Krsy,Krsy,Krsy,675113,"[49.92795788722863, 13.054406367298238]"
30, , ,33038,Krsy,Krsy,Krsy,675113,"[49.92588211423882, 13.054414731632404]"
38, , ,33162,Krsy,Skelná Huť,Skelná Huť,675148,"[49.94574643230619, 13.10474162327843]"
58, , ,33038,Krsy,Krsy,Krsy,675113,"[49.92746723822719, 13.05684933370773]"
22, , ,33038,Krsy,Krsy,Krsy,675113,"[49.91907571396113, 13.080854885405692]"
54, , ,33038,Krsy,Krsy,Krsy,675113,"[49.923881217631134, 13.05413883486972]"
59, , ,33038,Krsy,Krsy,Krsy,675113,"[49.927473508119945, 13.0559192503192]"
34, , ,33038,Krsy,Krsy,Krsy,675113,"[49.92074086730298, 13.071277241897269]"
25, , ,33038,Krsy,Krsy,Krsy,675113,"[49.92469712253176, 13.054238576107338]"
3, , ,33038,Krsy,Krsy,Krsy,675113,"[49.93276334264651, 13.069935132395925]"
4, , ,33038,Krsy,Krsy,Krsy,675113,"[49.93347329284813, 13.068762464247628]"
56, , ,33038,Krsy,Krsy,Krsy,675113,"[49.92405536808478, 13.053773307514309]"
7, , ,33162,Krsy,Skelná Huť,Skelná Huť,675148,"[49.943213100819804, 13.104424010399866]"
11, , ,33038,Krsy,Polínka,Polínka,675121,"[49.93636090988932, 13.024890337105168]"
3, , ,33038,Krsy,Krsy,Krsy,675113,"[49.92700097239154, 13.056687317524746]"
72, , ,33038,Krsy,Krsy,Krsy,675113,"[49.92736159833028, 13.054719909514052]"
52, , ,33038,Krsy,Krsy,Krsy,675113,"[49.924525809509454, 13.054050568833196]"
8, , ,33038,Krsy,Polínka,Polínka,675121,"[49.93437702942542, 13.070744112162764]"
37, , ,33038,Krsy,Polínka,Polínka,675121,"[49.937141750848184, 13.057399161943794]"
65, , ,33038,Krsy,Krsy,Krsy,675113,"[49.92516169269585, 13.05389223573766]"
2, , ,33038,Krsy,Polínka,Polínka,675121,"[49.93462266204087, 13.069275695204501]"
40, , ,33038,Krsy,Polínka,Polínka,675121,"[49.93899141751139, 13.057681847853049]"
14, , ,33038,Krsy,Krsy,Krsy,675113,"[49.92523942514041, 13.054786998706897]"
60, , ,33038,Krsy,Krsy,Krsy,675113,"[49.9255053961199, 13.052924462364505]"
30, , ,33038,Krsy,Polínka,Polínka,675121,"[49.93756316334163, 13.058058523271926]"
