cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
13, , ,Kryštofovy Hamry,Černý Potok,303141503,"[50.48922000381147, 13.084091034982626]"
65, , ,Kryštofovy Hamry,Černý Potok,62279795010,"[50.49064146697687, 13.082375767988228]"
1, , ,Kryštofovy Hamry,Kryštofovy Hamry,314158503,"[50.49764330765218, 13.135491715076876]"
8, , ,Kryštofovy Hamry,Černý Potok,303168503,"[50.49252435791935, 13.077558826146038]"
11, , ,Kryštofovy Hamry,Černý Potok,303157503,"[50.494158955083876, 13.078257443908017]"
12, , ,Kryštofovy Hamry,Černý Potok,303164503,"[50.494307444485315, 13.078378042499095]"
4, , ,Kryštofovy Hamry,Černý Potok,403042503,"[50.495512021035275, 13.083718110157736]"
17, , ,Kryštofovy Hamry,Mezilesí,303907503,"[50.441923809391575, 13.105550310824283]"
7, , ,Kryštofovy Hamry,Mezilesí,303912503,"[50.44126403433225, 13.105411880697897]"
38, , ,Kryštofovy Hamry,Černý Potok,303160503,"[50.49436702773286, 13.078976851760611]"
31, , ,Kryštofovy Hamry,Černý Potok,303145503,"[50.49346641270576, 13.081265403830253]"
8, , ,Kryštofovy Hamry,Černý Potok,303133503,"[50.49688738440863, 13.08272571157714]"
7, , ,Kryštofovy Hamry,Černý Potok,303179503,"[50.490012463653954, 13.077645337048024]"
128, , ,Kryštofovy Hamry,Kryštofovy Hamry,314146503,"[50.50315168155067, 13.138530605301534]"
88, , ,Kryštofovy Hamry,Kryštofovy Hamry,314208503,"[50.49956061809756, 13.136351618300061]"
122, , ,Kryštofovy Hamry,Kryštofovy Hamry,314176503,"[50.498221520193965, 13.134680462263503]"
118, , ,Kryštofovy Hamry,Kryštofovy Hamry,314194503,"[50.502015884443686, 13.137993812484043]"
51, , ,Kryštofovy Hamry,Černý Potok,303148503,"[50.4883070802273, 13.078704178752323]"
17, , ,Kryštofovy Hamry,Černý Potok,303136503,"[50.495832814052456, 13.082826594420421]"
12, , ,Kryštofovy Hamry,Černý Potok,303127503,"[50.497115726092524, 13.083283300203364]"
142, , ,Kryštofovy Hamry,Kryštofovy Hamry,320466503,"[50.4923900745255, 13.13367475106236]"
28, , ,Kryštofovy Hamry,Černý Potok,303154503,"[50.499382897758366, 13.082657728527924]"
