cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
12, , ,67972,Kunštát,Újezd,Újezd,677451,"[49.50812709198358, 16.540563885514562]"
426, ,Hliníky,67972,Kunštát,Kunštát,Kunštát,677434,"[49.51100844830107, 16.5202008606308]"
370, ,Hliníky,67972,Kunštát,Kunštát,Kunštát,677434,"[49.51214060489021, 16.51514858815442]"
354, ,V Lávkách,67972,Kunštát,Kunštát,Kunštát,677434,"[49.504896415760314, 16.52790598083188]"
367, ,Rudecká,67972,Kunštát,Kunštát,Kunštát,677434,"[49.50937272433556, 16.515769703731404]"
66, , ,67972,Kunštát,Újezd,Újezd,677451,"[49.508415717011594, 16.539567391833923]"
59, , ,67972,Kunštát,Sychotín,Sychotín,677442,"[49.50363313824387, 16.501242987850915]"
211, ,Palackého,67972,Kunštát,Kunštát,Kunštát,677434,"[49.50641077221622, 16.527165078250146]"
41, ,nám. ČSČK,67972,Kunštát,Kunštát,Kunštát,677434,"[49.508538584531834, 16.51947937448151]"
29, , ,67972,Kunštát,Sychotín,Sychotín,677442,"[49.502090839898734, 16.50806382822725]"
89, , ,67972,Kunštát,Újezd,Újezd,677451,"[49.508945133462454, 16.538364706685638]"
355, ,Zámecká,67972,Kunštát,Kunštát,Kunštát,677434,"[49.50325161292079, 16.513554516015382]"
194, ,Sokolská,67972,Kunštát,Kunštát,Kunštát,677434,"[49.507876566160895, 16.52477732792513]"
33, , ,67972,Kunštát,Kunštát,Kunštát,677434,"[49.50626998739235, 16.51036902071967]"
42, ,nám. ČSČK,67972,Kunštát,Kunštát,Kunštát,677434,"[49.508650047602394, 16.519480946600492]"
259, ,Hliníky,67972,Kunštát,Kunštát,Kunštát,677434,"[49.51189515320947, 16.516262142392872]"
3, , ,67972,Kunštát,Újezd,Újezd,677451,"[49.507920108481855, 16.542483888052367]"
371, ,Hrnčířská,67972,Kunštát,Kunštát,Kunštát,677434,"[49.507841881974926, 16.523920945158185]"
238, ,V Lávkách,67972,Kunštát,Kunštát,Kunštát,677434,"[49.50579598755955, 16.52775584834578]"
483, ,Radnická,67972,Kunštát,Kunštát,Kunštát,677434,"[49.5068594012469, 16.5169601684026]"
41, , ,67972,Kunštát,Hluboké u Kunštátu,Hluboké u Kunštátu,639672,"[49.494671747745535, 16.474614254170138]"
346, ,Hliníky,67972,Kunštát,Kunštát,Kunštát,677434,"[49.512251157978106, 16.514803275935154]"
488, ,Brněnská,67972,Kunštát,Kunštát,Kunštát,677434,"[49.50438227255061, 16.524221527666462]"
20, , ,67972,Kunštát,Újezd,Újezd,677451,"[49.50705667858105, 16.54130813669427]"
28, , ,67972,Kunštát,Hluboké u Kunštátu,Hluboké u Kunštátu,639672,"[49.495365562019, 16.472656574945926]"
47, , ,67972,Kunštát,Újezd,Újezd,677451,"[49.50687853112959, 16.540028252812565]"
11, , ,67972,Kunštát,Kunštát,Kunštát,677434,"[49.50814836557421, 16.528144017337535]"
5, , ,67972,Kunštát,Sychotín,Sychotín,677442,"[49.50467082095512, 16.5049735627435]"
424, ,Hliníky,67972,Kunštát,Kunštát,Kunštát,677434,"[49.51104318827087, 16.519959425424148]"
70, , ,67972,Kunštát,Kunštát,Kunštát,677434,"[49.51330409267801, 16.51535619807571]"
6, ,Zámecká,67972,Kunštát,Kunštát,Kunštát,677434,"[49.50127149981198, 16.513480669851152]"
26, , ,67972,Kunštát,Sychotín,Sychotín,677442,"[49.503037720872896, 16.50888072404437]"
155, ,Hliníky,67972,Kunštát,Kunštát,Kunštát,677434,"[49.51080102118633, 16.516401000658178]"
403, ,Hrnčířská,67972,Kunštát,Kunštát,Kunštát,677434,"[49.50864183765371, 16.522361666280776]"
11, , ,67972,Kunštát,Sychotín,Sychotín,677442,"[49.501713427923264, 16.508500046659627]"
190, ,Palackého,67972,Kunštát,Kunštát,Kunštát,677434,"[49.5061176192567, 16.52286685570961]"
71, , ,67972,Kunštát,Sychotín,Sychotín,677442,"[49.5042778875212, 16.510350510858558]"
64, , ,67972,Kunštát,Rudka,Rudka,743283,"[49.52083671977812, 16.514970853272576]"
37, , ,67972,Kunštát,Újezd,Újezd,677451,"[49.50660024118093, 16.54110410003326]"
39, , ,67972,Kunštát,Sychotín,Sychotín,677442,"[49.50363752328066, 16.5065328148411]"
42, , ,67972,Kunštát,Sychotín,Sychotín,677442,"[49.50282696805618, 16.503531925288733]"
477, ,nám. ČSČK,67972,Kunštát,Kunštát,Kunštát,677434,"[49.50804142118449, 16.519355846590706]"
453, ,Fr. Halase,67972,Kunštát,Kunštát,Kunštát,677434,"[49.50539527640192, 16.51830441758688]"
243, ,Sokolská,67972,Kunštát,Kunštát,Kunštát,677434,"[49.50909127987229, 16.525896421380935]"
287, ,Za Lidokovem,67972,Kunštát,Kunštát,Kunštát,677434,"[49.504827647303024, 16.524729781649427]"
45, , ,67972,Kunštát,Rudka,Rudka,743283,"[49.52005853949049, 16.512239872258736]"
91, , ,67972,Kunštát,Sychotín,Sychotín,677442,"[49.503220796987065, 16.499352194351676]"
5, ,Zámecká,67972,Kunštát,Kunštát,Kunštát,677434,"[49.500933431321634, 16.5136580038096]"
223, ,Brněnská,67972,Kunštát,Kunštát,Kunštát,677434,"[49.50424716862157, 16.523813884369794]"
3, , ,67972,Kunštát,Touboř,Touboř,767794,"[49.4911026083779, 16.496640876190238]"
201, ,Palackého,67972,Kunštát,Kunštát,Kunštát,677434,"[49.506269274279425, 16.52495927305497]"
25, , ,67972,Kunštát,Kunštát,Kunštát,677434,"[49.50880933461225, 16.5301597584438]"
4, , ,67972,Kunštát,Rudka,Rudka,743283,"[49.523010449956544, 16.514814255668455]"
6, , ,67972,Kunštát,Hluboké u Kunštátu,Hluboké u Kunštátu,639672,"[49.49546449789509, 16.473689696399475]"
11, , ,67972,Kunštát,Touboř,Touboř,767794,"[49.49239719350113, 16.49769287085231]"
178, ,Radnická,67972,Kunštát,Kunštát,Kunštát,677434,"[49.50695392108393, 16.515839572583673]"
306, ,Rudecká,67972,Kunštát,Kunštát,Kunštát,677434,"[49.50967251701671, 16.516804144114484]"
25, , ,67972,Kunštát,Újezd,Újezd,677451,"[49.507629929071705, 16.54150762513458]"
408, ,Za Lidokovem,67972,Kunštát,Kunštát,Kunštát,677434,"[49.505100915745786, 16.526463253148037]"
154, ,Palackého,67972,Kunštát,Kunštát,Kunštát,677434,"[49.506655974323515, 16.5263494335046]"
162, ,Vejpustek,67972,Kunštát,Kunštát,Kunštát,677434,"[49.50639527309041, 16.523008627254068]"
469, ,Zahradní,67972,Kunštát,Kunštát,Kunštát,677434,"[49.507667855178276, 16.5296846276434]"
266, ,U Hřiště,67972,Kunštát,Kunštát,Kunštát,677434,"[49.504820890000296, 16.521875836584602]"
33, , ,67972,Kunštát,Sychotín,Sychotín,677442,"[49.503400091163215, 16.508192840654715]"
79, , ,67972,Kunštát,Sychotín,Sychotín,677442,"[49.503437299489335, 16.502367821306056]"
235, ,Hliníky,67972,Kunštát,Kunštát,Kunštát,677434,"[49.51043397419592, 16.515326572676944]"
90, ,Rudecká,67972,Kunštát,Kunštát,Kunštát,677434,"[49.50954135763836, 16.51707607304431]"
148, ,Hliníky,67972,Kunštát,Kunštát,Kunštát,677434,"[49.51163216044704, 16.518799222252444]"
47, , ,67972,Kunštát,Sychotín,Sychotín,677442,"[49.504852641833274, 16.50581849933253]"
64, , ,67972,Kunštát,Sychotín,Sychotín,677442,"[49.51038693059245, 16.50081806973643]"
40, , ,67972,Kunštát,Sychotín,Sychotín,677442,"[49.50436016294111, 16.508097046744634]"
127, ,Vejpustek,67972,Kunštát,Kunštát,Kunštát,677434,"[49.507491489642945, 16.523739554528625]"
10, , ,67972,Kunštát,Hluboké u Kunštátu,Hluboké u Kunštátu,639672,"[49.49685771211811, 16.471915859488483]"
251, ,Zámecká,67972,Kunštát,Kunštát,Kunštát,677434,"[49.502725137055904, 16.513316810895468]"
26, , ,67972,Kunštát,Újezd,Újezd,677451,"[49.50755813945938, 16.539543320309175]"
