cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
22, , ,Kučeř,Kučeř,0,"[49.43436489680744, 14.22515896652299]"
30, , ,Kučeř,Kučeř,0,"[49.428745832886456, 14.228623768619524]"
100, , ,Kučeř,Kučeř,0,"[49.431153374558356, 14.24271515518448]"
4, , ,Kučeř,Kučeř,0,"[49.435216220330055, 14.225186658772138]"
2, , ,Kučeř,Kučeř,329826305,"[49.42879006617015, 14.228356862183121]"
29, , ,Kučeř,Kučeř,329898305,"[49.43436489680744, 14.22515896652299]"
103, , ,Kučeř,Kučeř,329921305,"[49.435054316825266, 14.252098023062082]"
6, , ,Kučeř,Kučeř,0,"[49.434564979777285, 14.225472214044332]"
109, , ,Kučeř,Kučeř,25190590010,"[49.434032082404876, 14.243783180414207]"
27, , ,Kučeř,Kučeř,329804305,"[49.43529250758305, 14.225385358997354]"
108, , ,Kučeř,Kučeř,23811711010,"[49.43215912750726, 14.247832664453203]"
107, , ,Kučeř,Kučeř,505853305,"[49.43599591266686, 14.252466850565702]"
24, , ,Kučeř,Kučeř,0,"[49.434830303435994, 14.22524599071684]"
14, , ,Kučeř,Kučeř,0,"[49.434521402808464, 14.224864814127574]"
15, , ,Kučeř,Kučeř,0,"[49.43436192771763, 14.225790575602659]"
26, , ,Kučeř,Kučeř,0,"[49.43490820848165, 14.224713955210703]"
18, , ,Kučeř,Kučeř,0,"[49.43555263233764, 14.224835289138461]"
99, , ,Kučeř,Kučeř,0,"[49.43174219957666, 14.245554123096655]"
25, , ,Kučeř,Kučeř,0,"[49.43480579603738, 14.22569177544582]"
13, , ,Kučeř,Kučeř,329862305,"[49.43406708252816, 14.22472528861406]"
62, , ,Kučeř,Kučeř,329802305,"[49.43500284747258, 14.250306014036136]"
91, , ,Kučeř,Kučeř,329842305,"[49.43505700912454, 14.25105579430331]"
23, , ,Kučeř,Kučeř,329899305,"[49.43477664236712, 14.224299093189039]"
12, , ,Kučeř,Kučeř,329865305,"[49.43401201551346, 14.224943185083578]"
21, , ,Kučeř,Kučeř,329774305,"[49.43244050434484, 14.24469187637285]"
36, , ,Kučeř,Kučeř,329766305,"[49.434409237524214, 14.24812135016943]"
92, , ,Kučeř,Kučeř,329851305,"[49.4351590842717, 14.251629205899828]"
96, , ,Kučeř,Kučeř,329878305,"[49.43184462489955, 14.245799846201734]"
71, , ,Kučeř,Kučeř,329845305,"[49.435506556450896, 14.252573631082816]"
69, , ,Kučeř,Kučeř,329838305,"[49.43644833624574, 14.230592671434989]"
85, , ,Kučeř,Kučeř,329901305,"[49.43434764590849, 14.24628878789659]"
21, , ,Kučeř,Kučeř,329879305,"[49.4342473998616, 14.225348522682587]"
56, , ,Kučeř,Kučeř,329771305,"[49.4342146912165, 14.245349605688657]"
47, , ,Kučeř,Kučeř,329906305,"[49.43483015029171, 14.245513202851617]"
83, , ,Kučeř,Kučeř,329801305,"[49.441513931965446, 14.254129926826987]"
87, , ,Kučeř,Kučeř,329803305,"[49.435167395786735, 14.252961300170536]"
41, , ,Kučeř,Kučeř,329926305,"[49.43487421442013, 14.244762665377914]"
88, , ,Kučeř,Kučeř,329895305,"[49.424034182019355, 14.243655133853435]"
50, , ,Kučeř,Kučeř,329886305,"[49.43474003595424, 14.248884713089213]"
3, , ,Kučeř,Kučeř,329881305,"[49.433691005041716, 14.24680491500562]"
78, , ,Kučeř,Kučeř,329850305,"[49.43472823190394, 14.25051041780657]"
75, , ,Kučeř,Kučeř,329836305,"[49.43450409290329, 14.249464098750417]"
28, , ,Kučeř,Kučeř,329808305,"[49.42442068878193, 14.236856223922398]"
35, , ,Kučeř,Kučeř,329767305,"[49.43440815134334, 14.247617049781644]"
68, , ,Kučeř,Kučeř,329785305,"[49.43499373999267, 14.25077435854384]"
32, , ,Kučeř,Kučeř,0,"[49.43497992424545, 14.22366866291418]"
43, , ,Kučeř,Kučeř,329885305,"[49.43415653450178, 14.246617155655938]"
60, , ,Kučeř,Kučeř,329769305,"[49.43423637217439, 14.248618844444326]"
61, , ,Kučeř,Kučeř,329847305,"[49.434163191313836, 14.24838506693258]"
77, , ,Kučeř,Kučeř,329891305,"[49.43468765424328, 14.250062759600459]"
81, , ,Kučeř,Kučeř,329843305,"[49.441268176796214, 14.254094364124398]"
58, , ,Kučeř,Kučeř,329794305,"[49.434163209097186, 14.247175664375352]"
70, , ,Kučeř,Kučeř,329768305,"[49.43357966616791, 14.246090536895977]"
2, , ,Kučeř,Kučeř,329910305,"[49.43364673686257, 14.246578580122781]"
51, , ,Kučeř,Kučeř,329784305,"[49.432471853696434, 14.24442564957552]"
39, , ,Kučeř,Kučeř,329791305,"[49.433441333869666, 14.244948291116396]"
63, , ,Kučeř,Kučeř,329786305,"[49.43501192744514, 14.25050899942614]"
95, , ,Kučeř,Kučeř,329858305,"[49.43196662247914, 14.246085917856224]"
67, , ,Kučeř,Kučeř,329915305,"[49.435698766501005, 14.244156429978258]"
6, , ,Kučeř,Kučeř,329911305,"[49.4342704464911, 14.247052411604232]"
19, , ,Kučeř,Kučeř,329846305,"[49.43267640458489, 14.244443412840646]"
46, , ,Kučeř,Kučeř,329807305,"[49.42359229048074, 14.243504170362119]"
54, , ,Kučeř,Kučeř,329888305,"[49.433872507758394, 14.243402842118183]"
42, , ,Kučeř,Kučeř,329782305,"[49.43268796379727, 14.245124899414225]"
93, , ,Kučeř,Kučeř,486661305,"[49.43262524081463, 14.247378755929928]"
