cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
139, , ,Kuželov,Kuželov,505080706,"[48.85804620170878, 17.487221088053605]"
4, , ,Kuželov,Kuželov,464545706,"[48.862564530072994, 17.483030662617562]"
7, , ,Kuželov,Kuželov,464548706,"[48.86237626215948, 17.48335040234089]"
69, , ,Kuželov,Kuželov,464567706,"[48.86093408073377, 17.484427426325414]"
72, , ,Kuželov,Kuželov,464577706,"[48.86110092142098, 17.483857509036646]"
112, , ,Kuželov,Kuželov,464626706,"[48.86072080077068, 17.486782708652946]"
39, , ,Kuželov,Kuželov,464637706,"[48.86015589120557, 17.488399929472045]"
68, , ,Kuželov,Kuželov,464651706,"[48.86084880258887, 17.48468745967888]"
96, , ,Kuželov,Kuželov,464656706,"[48.85909671824359, 17.488358281575533]"
3, , ,Kuželov,Kuželov,464664706,"[48.85788805864804, 17.490758420694338]"
82, , ,Kuželov,Kuželov,464727706,"[48.86211565848698, 17.482909635949195]"
159, , ,Kuželov,Kuželov,464522706,"[48.85855076699432, 17.489813555599124]"
78, , ,Kuželov,Kuželov,464525706,"[48.86165808472851, 17.482825075301175]"
38, , ,Kuželov,Kuželov,464546706,"[48.86024571992263, 17.488239747893044]"
85, , ,Kuželov,Kuželov,464825706,"[48.86128375757771, 17.483964979273804]"
126, , ,Kuželov,Kuželov,464558706,"[48.86098385686614, 17.484306636036127]"
127, , ,Kuželov,Kuželov,464578706,"[48.86118955764398, 17.4834571746712]"
101, , ,Kuželov,Kuželov,464589706,"[48.85966106597317, 17.489970179891724]"
23, , ,Kuželov,Kuželov,464610706,"[48.86134814569866, 17.485418685483843]"
31, , ,Kuželov,Kuželov,464614706,"[48.86078270622445, 17.48667644415334]"
99, , ,Kuželov,Kuželov,464634706,"[48.86050287810624, 17.48634515304415]"
140, , ,Kuželov,Kuželov,464636706,"[48.85945935155937, 17.490134097196744]"
124, , ,Kuželov,Kuželov,464663706,"[48.860795651327464, 17.484804908388373]"
113, , ,Kuželov,Kuželov,464671706,"[48.860579887733614, 17.487003349417755]"
36, , ,Kuželov,Kuželov,464686706,"[48.8604596875935, 17.487698845019803]"
42, , ,Kuželov,Kuželov,464734706,"[48.859790190314826, 17.4892869552567]"
106, , ,Kuželov,Kuželov,464816706,"[48.86070951872017, 17.485990300908284]"
129, , ,Kuželov,Kuželov,464537706,"[48.86156262764072, 17.48286121228065]"
122, , ,Kuželov,Kuželov,464550706,"[48.86019364284637, 17.48630009788219]"
30, , ,Kuželov,Kuželov,464824706,"[48.860895428486955, 17.48644157161458]"
55, , ,Kuželov,Kuželov,464560706,"[48.85995723177689, 17.486874407740032]"
26, , ,Kuželov,Kuželov,464585706,"[48.86118347090399, 17.485870795832245]"
111, , ,Kuželov,Kuželov,464828706,"[48.86084385105861, 17.486551120282545]"
107, , ,Kuželov,Kuželov,464829706,"[48.860824615560745, 17.485757270880033]"
146, , ,Kuželov,Kuželov,464599706,"[48.85933968848176, 17.490161840474265]"
132, , ,Kuželov,Kuželov,464615706,"[48.857232253803424, 17.49147797780836]"
104, , ,Kuželov,Kuželov,464640706,"[48.85735896351502, 17.491306676635027]"
21, , ,Kuželov,Kuželov,464645706,"[48.86145064604929, 17.48516092692374]"
57, , ,Kuželov,Kuželov,464669706,"[48.86004667908133, 17.486624454735605]"
11, , ,Kuželov,Kuželov,464677706,"[48.86213970325611, 17.483798658567405]"
32, , ,Kuželov,Kuželov,464681706,"[48.86064507945305, 17.486873464318876]"
25, , ,Kuželov,Kuželov,464702706,"[48.86123494438651, 17.485709911550693]"
34, , ,Kuželov,Kuželov,464706706,"[48.86049921776731, 17.487321718940894]"
28, , ,Kuželov,Kuželov,464707706,"[48.86101529441569, 17.486216745574456]"
158, , ,Kuželov,Kuželov,464715706,"[48.86053642076686, 17.48956342579559]"
157, , ,Kuželov,Kuželov,464716706,"[48.857460328315916, 17.488109437792406]"
125, , ,Kuželov,Kuželov,464519706,"[48.86088800721216, 17.484556712667292]"
165, , ,Kuželov,Kuželov,464524706,"[48.85800232268295, 17.490698332944184]"
128, , ,Kuželov,Kuželov,464526706,"[48.86123995299418, 17.483339030778417]"
90, , ,Kuželov,Kuželov,464818706,"[48.86136923697462, 17.483740788982303]"
100, , ,Kuželov,Kuželov,464535706,"[48.86002618535124, 17.489322596288545]"
20, , ,Kuželov,Kuželov,464564706,"[48.86151186887125, 17.48502833048267]"
161, , ,Kuželov,Kuželov,464565706,"[48.86181944287294, 17.481960442082038]"
123, , ,Kuželov,Kuželov,464568706,"[48.86053199918871, 17.485608462908637]"
59, , ,Kuželov,Kuželov,464575706,"[48.86022983048999, 17.486163085417992]"
153, , ,Kuželov,Kuželov,464603706,"[48.85724187951783, 17.48853156646015]"
6, , ,Kuželov,Kuželov,464619706,"[48.86244542559316, 17.483261691867177]"
53, , ,Kuželov,Kuželov,464652706,"[48.85975040234641, 17.48745219528191]"
92, , ,Kuželov,Kuželov,464654706,"[48.86187172686082, 17.483196566667953]"
65, , ,Kuželov,Kuželov,464662706,"[48.86064993585607, 17.48520563552844]"
176, , ,Kuželov,Kuželov,33527945010,"[48.85871377828618, 17.490254470181927]"
151, , ,Kuželov,Kuželov,464699706,"[48.85864704810009, 17.48953742387609]"
166, , ,Kuželov,Kuželov,464705706,"[48.85837581221712, 17.490246312528622]"
16, , ,Kuželov,Kuželov,464718706,"[48.86185712235062, 17.484345792620132]"
130, , ,Kuželov,Kuželov,464539706,"[48.86190088603404, 17.48248490494118]"
169, , ,Kuželov,Kuželov,464540706,"[48.85826773626563, 17.490832923377976]"
116, , ,Kuželov,Kuželov,464553706,"[48.85981720513583, 17.489471695119402]"
170, , ,Kuželov,Kuželov,464566706,"[48.85790050923069, 17.491258419510732]"
70, , ,Kuželov,Kuželov,464570706,"[48.86102375896444, 17.484179757374854]"
152, , ,Kuželov,Kuželov,464583706,"[48.86014718163215, 17.489479234509723]"
117, , ,Kuželov,Kuželov,709778706,"[48.86176876434155, 17.484916708146322]"
45, , ,Kuželov,Kuželov,464604706,"[48.857502065797085, 17.48930851710567]"
71, , ,Kuželov,Kuželov,464653706,"[48.86099343444658, 17.483998510894683]"
74, , ,Kuželov,Kuželov,464668706,"[48.861176202490284, 17.483578120287607]"
