cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
609, ,Mírová,76821,Kvasice,Kvasice,Kvasice,678180,"[49.2399720899849, 17.466014477568308]"
94, ,Dolní,76821,Kvasice,Kvasice,Kvasice,678180,"[49.240765670068, 17.470988800468355]"
207, ,Dolní,76821,Kvasice,Kvasice,Kvasice,678180,"[49.2420635850628, 17.470369542305605]"
83, ,Horní,76821,Kvasice,Kvasice,Kvasice,678180,"[49.24117811841115, 17.466084777466815]"
110, ,Nová,76821,Kvasice,Kvasice,Kvasice,678180,"[49.23904780709073, 17.470110855446748]"
150, ,Hráza,76821,Kvasice,Kvasice,Kvasice,678180,"[49.24082377090192, 17.475050643480838]"
400, ,Husova,76821,Kvasice,Kvasice,Kvasice,678180,"[49.24079653791278, 17.473619668615868]"
92, ,Mariánov,76821,Kvasice,Kvasice,Kvasice,678180,"[49.237749535993444, 17.473724123238657]"
239, ,Krajina,76821,Kvasice,Kvasice,Kvasice,678180,"[49.234277028903655, 17.46753124693183]"
121, ,Packov,76821,Kvasice,Kvasice,Kvasice,678180,"[49.23946092760038, 17.470643195848115]"
91, ,Mariánov,76821,Kvasice,Kvasice,Kvasice,678180,"[49.23773941371054, 17.47384979042299]"
293, ,Bělovská,76821,Kvasice,Kvasice,Kvasice,678180,"[49.237357061327494, 17.47437527818335]"
438, ,Nová,76821,Kvasice,Kvasice,Kvasice,678180,"[49.2387434790527, 17.47015576151268]"
430, ,Osmek,76821,Kvasice,Kvasice,Kvasice,678180,"[49.24295224493712, 17.467851235073937]"
249, ,Mariánov,76821,Kvasice,Kvasice,Kvasice,678180,"[49.23777293101642, 17.47366548426307]"
111, ,Mariánov,76821,Kvasice,Kvasice,Kvasice,678180,"[49.237673913887406, 17.473528319106503]"
417, ,Nová,76821,Kvasice,Kvasice,Kvasice,678180,"[49.238835019566245, 17.470031873881467]"
431, ,Nová,76821,Kvasice,Kvasice,Kvasice,678180,"[49.23912438440767, 17.469464865972167]"
677, ,Čtvrtky,76821,Kvasice,Kvasice,Kvasice,678180,"[49.235596864306615, 17.472827491840043]"
341, ,Krajina,76821,Kvasice,Kvasice,Kvasice,678180,"[49.235229505218044, 17.468163268561238]"
