cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
48, , ,Květov,Vůsí,347455305,"[49.39961702040361, 14.242397349666469]"
49, , ,Květov,Vůsí,0,"[49.400596084567276, 14.243884884576449]"
51, , ,Květov,Vůsí,0,"[49.399489930193745, 14.242945072808004]"
67, , ,Květov,Květov,15206542010,"[49.42677823632533, 14.27219674384405]"
35, , ,Květov,Květov,14420460010,"[49.425206740678114, 14.273843850282006]"
40, , ,Květov,Vůsí,347446305,"[49.400034506915866, 14.242353685389423]"
55, , ,Květov,Vůsí,347499305,"[49.399332448223035, 14.243812057152372]"
6, , ,Květov,Květov,329962305,"[49.42516662405032, 14.272911808395078]"
68, , ,Květov,Květov,0,"[49.43719596147658, 14.275599041104611]"
9, , ,Květov,Vůsí,347511305,"[49.40079251576565, 14.242997974235331]"
8, , ,Květov,Vůsí,347492305,"[49.4007675859771, 14.243420699259064]"
26, , ,Květov,Vůsí,347463305,"[49.400560268239396, 14.242741727556963]"
32, , ,Květov,Vůsí,347484305,"[49.39989524567148, 14.243413075639662]"
58, , ,Květov,Vůsí,347477305,"[49.40010665034254, 14.24324251028943]"
61, , ,Květov,Vůsí,347480305,"[49.40086320294151, 14.241883713544997]"
53, , ,Květov,Vůsí,347452305,"[49.400134061766096, 14.242151463896356]"
50, , ,Květov,Vůsí,347458305,"[49.40036792129098, 14.242922120449714]"
5, , ,Květov,Vůsí,347425305,"[49.40028332729706, 14.243288080194224]"
44, , ,Květov,Vůsí,347449305,"[49.39989397831135, 14.242008204246417]"
17, , ,Květov,Vůsí,347470305,"[49.400908606800186, 14.241387029214554]"
6, , ,Květov,Vůsí,347469305,"[49.40047603557846, 14.243608460175452]"
10, , ,Květov,Vůsí,347434305,"[49.410177546364324, 14.255789689285235]"
43, , ,Květov,Vůsí,347448305,"[49.399445537412596, 14.24316174927107]"
16, , ,Květov,Vůsí,347474305,"[49.401013517197306, 14.241740158937818]"
28, , ,Květov,Vůsí,347487305,"[49.400289906135484, 14.242465836091174]"
52, , ,Květov,Vůsí,347459305,"[49.400756546779135, 14.24389609366539]"
13, , ,Květov,Vůsí,347430305,"[49.41027173362327, 14.257717589572518]"
60, , ,Květov,Vůsí,347476305,"[49.40064092919915, 14.241736631514609]"
27, , ,Květov,Vůsí,347481305,"[49.40043131609889, 14.242324195635353]"
24, , ,Květov,Vůsí,347437305,"[49.40941249063077, 14.256858110427507]"
16, , ,Květov,Vůsí,347427305,"[49.410467727932016, 14.256979843427654]"
20, , ,Květov,Vůsí,347428305,"[49.409889779752525, 14.255322600893653]"
4, , ,Květov,Vůsí,347429305,"[49.410901896950804, 14.257359912350815]"
25, , ,Květov,Vůsí,347464305,"[49.40064610743432, 14.24238940978767]"
19, , ,Květov,Vůsí,347422305,"[49.41020345727319, 14.254879665930709]"
9, , ,Květov,Vůsí,347440305,"[49.41417435609237, 14.26357481105864]"
38, , ,Květov,Vůsí,347442305,"[49.39972212443796, 14.242810252764048]"
41, , ,Květov,Vůsí,347447305,"[49.399674574853734, 14.24308478700421]"
63, , ,Květov,Vůsí,347473305,"[49.39947670830513, 14.24350286626646]"
31, , ,Květov,Vůsí,347488305,"[49.39991875163553, 14.243074137476247]"
10, , ,Květov,Vůsí,347490305,"[49.400949242671494, 14.242825222489735]"
36, , ,Květov,Vůsí,347493305,"[49.401116121266966, 14.242664204116918]"
20, , ,Květov,Vůsí,347504305,"[49.39987330645197, 14.241483971235345]"
18, , ,Květov,Vůsí,347514305,"[49.40077805210115, 14.241150704600628]"
23, , ,Květov,Vůsí,347441305,"[49.409993654870476, 14.254868976026202]"
57, , ,Květov,Vůsí,347501305,"[49.401585780568304, 14.243133858592472]"
15, , ,Květov,Vůsí,347509305,"[49.4010498563944, 14.242038439920027]"
21, , ,Květov,Vůsí,347433305,"[49.40998242809046, 14.256735972085346]"
3, , ,Květov,Vůsí,347486305,"[49.399966667826305, 14.243995982113642]"
7, , ,Květov,Vůsí,347426305,"[49.40064772518326, 14.243599451663966]"
6, , ,Květov,Vůsí,347457305,"[49.409834019194825, 14.257199134648053]"
12, , ,Květov,Vůsí,347420305,"[49.40134533486626, 14.242489809891692]"
34, , ,Květov,Vůsí,347471305,"[49.39917536071974, 14.24348404218315]"
59, , ,Květov,Vůsí,347475305,"[49.400131727459154, 14.241331133034533]"
30, , ,Květov,Vůsí,347491305,"[49.400074231780394, 14.242887744234064]"
13, , ,Květov,Vůsí,347502305,"[49.401500108109744, 14.242693118427463]"
1, , ,Květov,Vůsí,347508305,"[49.41071484646895, 14.256105898129736]"
42, , ,Květov,Vůsí,347510305,"[49.399796388468474, 14.242529986160157]"
24, , ,Květov,Vůsí,347482305,"[49.400826878306745, 14.24228106035319]"
22, , ,Květov,Vůsí,347439305,"[49.41041050500083, 14.258940194491304]"
22, , ,Květov,Vůsí,347512305,"[49.40039889469705, 14.241969427849615]"
