cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
13, , ,Kyjovice,Kyjovice,671058713,"[48.915829021062635, 16.16577478564416]"
71, , ,Kyjovice,Kyjovice,671091713,"[48.91315292791913, 16.1687802602503]"
44, , ,Kyjovice,Kyjovice,62168103010,"[48.9138949672001, 16.16688842792558]"
79, , ,Kyjovice,Kyjovice,671060713,"[48.91242517840183, 16.16655371348182]"
291, , ,Kyjovice,Kyjovice,60705503010,"[49.8343694061651, 18.03751426080037]"
58, , ,Kyjovice,Kyjovice,671083713,"[48.91311030010094, 16.1680743903727]"
286, , ,Kyjovice,Kyjovice,49584287010,"[49.834967556239945, 18.03840905456908]"
285, , ,Kyjovice,Kyjovice,45771120010,"[49.832732178014325, 18.041912272596935]"
284, , ,Kyjovice,Kyjovice,44506223010,"[49.82936478330047, 18.05021723767232]"
282, , ,Kyjovice,Kyjovice,38182110010,"[49.833888221886575, 18.037064450720536]"
281, , ,Kyjovice,Kyjovice,36519042010,"[49.8351079407024, 18.039436363853394]"
278, , ,Kyjovice,Kyjovice,29055340010,"[49.83424649941525, 18.043601804270452]"
273, , ,Kyjovice,Kyjovice,26397377010,"[49.83206192260945, 18.03685536688712]"
274, , ,Kyjovice,Kyjovice,26207304010,"[49.82891303929861, 18.05020953283548]"
255, , ,Kyjovice,Kyjovice,533299806,"[49.8362558131285, 18.04259977229121]"
275, , ,Kyjovice,Kyjovice,25641963010,"[49.83228400119692, 18.041652976411445]"
272, , ,Kyjovice,Kyjovice,22333806010,"[49.830499514229984, 18.047033407994153]"
49, , ,Kyjovice,Kyjovice,92303806,"[49.83349783277117, 18.043453585560215]"
65, , ,Kyjovice,Kyjovice,671076713,"[48.9154289756961, 16.167975453333252]"
256, , ,Kyjovice,Kyjovice,331689806,"[49.8299615992249, 18.04693990187239]"
270, , ,Kyjovice,Kyjovice,22021483010,"[49.83507544377933, 18.038715171962124]"
63, , ,Kyjovice,Kyjovice,670967713,"[48.913877443735295, 16.17045470261258]"
267, , ,Kyjovice,Kyjovice,23676406010,"[49.833003216709564, 18.04772187800013]"
