cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
144, , ,Kyškovice,Kyškovice,62147118010,"[50.447919744337526, 14.282679805353563]"
143, , ,Kyškovice,Kyškovice,61068582010,"[50.44874342903554, 14.280353163592538]"
103, , ,Kyškovice,Kyškovice,166478506,"[50.454417972414134, 14.289472945408686]"
57, , ,Kyškovice,Kyškovice,15849300010,"[50.447956508180496, 14.285745053018942]"
22, , ,Kyškovice,Kyškovice,16018755010,"[50.45205014853798, 14.289258548056177]"
5, , ,Kyškovice,Kyškovice,166325506,"[50.447771861767066, 14.285350360417992]"
6, , ,Kyškovice,Kyškovice,166326506,"[50.44780435220401, 14.285698954527286]"
19, , ,Kyškovice,Kyškovice,166332506,"[50.455447826181555, 14.292487030466932]"
66, , ,Kyškovice,Kyškovice,166338506,"[50.45480328207183, 14.29118855548276]"
76, , ,Kyškovice,Kyškovice,166347506,"[50.4461492950747, 14.283544190252776]"
78, , ,Kyškovice,Kyškovice,166355506,"[50.446031391155245, 14.283467873790133]"
33, , ,Kyškovice,Kyškovice,166360506,"[50.44699447513658, 14.282622622851832]"
92, , ,Kyškovice,Kyškovice,166375506,"[50.45368523569638, 14.289641026396675]"
47, , ,Kyškovice,Kyškovice,166402506,"[50.446510412094426, 14.284273202428038]"
28, , ,Kyškovice,Kyškovice,166409506,"[50.456286416272825, 14.292890502080745]"
32, , ,Kyškovice,Kyškovice,166412506,"[50.44644756670683, 14.285084294291918]"
81, , ,Kyškovice,Kyškovice,166427506,"[50.44585342613439, 14.283330754781169]"
54, ,Na Hamráčku,Kyškovice,Kyškovice,166432506,"[50.45701292099712, 14.293377885841275]"
84, , ,Kyškovice,Kyškovice,166441506,"[50.44536234609912, 14.283102530201221]"
47, , ,Kyškovice,Kyškovice,166449506,"[50.45574253649769, 14.293628563595249]"
42, , ,Kyškovice,Kyškovice,166450506,"[50.442844705534824, 14.28506636276805]"
100, , ,Kyškovice,Kyškovice,166454506,"[50.44775010539144, 14.284456647018416]"
99, , ,Kyškovice,Kyškovice,166459506,"[50.44758078024884, 14.284328863377043]"
56, ,Na Hamráčku,Kyškovice,Kyškovice,166460506,"[50.45274307288048, 14.28984771455899]"
108, , ,Kyškovice,Kyškovice,166481506,"[50.44916168489863, 14.285033181298829]"
43, , ,Kyškovice,Kyškovice,166328506,"[50.44740507747475, 14.284587161921039]"
53, , ,Kyškovice,Kyškovice,166336506,"[50.448176483081454, 14.285743359540872]"
39, , ,Kyškovice,Kyškovice,166344506,"[50.455882266408764, 14.29194631342655]"
34, ,Na Hamráčku,Kyškovice,Kyškovice,166346506,"[50.45565462187314, 14.292702515231191]"
15, , ,Kyškovice,Kyškovice,166499506,"[50.45174340539018, 14.289772366376448]"
58, , ,Kyškovice,Kyškovice,22422558010,"[50.456606895106376, 14.294560625801845]"
116, , ,Kyškovice,Kyškovice,166377506,"[50.443689706372254, 14.28287381866189]"
60, , ,Kyškovice,Kyškovice,166433506,"[50.45408172355757, 14.290836495922342]"
42, , ,Kyškovice,Kyškovice,166440506,"[50.453071830704076, 14.290191239006134]"
37, , ,Kyškovice,Kyškovice,166443506,"[50.456041821913885, 14.293978707550378]"
14, , ,Kyškovice,Kyškovice,166484506,"[50.45158166214181, 14.289721520478812]"
12, , ,Kyškovice,Kyškovice,166487506,"[50.44444200688723, 14.284347236806203]"
43, , ,Kyškovice,Kyškovice,166343506,"[50.44751963760769, 14.285348720769125]"
8, , ,Kyškovice,Kyškovice,166494506,"[50.44767087776769, 14.284787133795406]"
51, , ,Kyškovice,Kyškovice,255100506,"[50.45567021729787, 14.293542117270654]"
123, , ,Kyškovice,Kyškovice,292480506,"[50.44681988105687, 14.285340754869628]"
80, , ,Kyškovice,Kyškovice,166351506,"[50.44867872818763, 14.28581365729906]"
74, , ,Kyškovice,Kyškovice,166361506,"[50.44585443906383, 14.283686636512925]"
87, , ,Kyškovice,Kyškovice,166362506,"[50.4503132498276, 14.28853792601573]"
113, , ,Kyškovice,Kyškovice,315340506,"[50.448429747575965, 14.286304188920338]"
107, , ,Kyškovice,Kyškovice,166482506,"[50.4489924739898, 14.28503104160754]"
64, , ,Kyškovice,Kyškovice,166350506,"[50.44900889471379, 14.285736435962749]"
16, , ,Kyškovice,Kyškovice,229420506,"[50.443910559328664, 14.28311229800085]"
35, , ,Kyškovice,Kyškovice,166358506,"[50.45445287172567, 14.289924285451066]"
33, , ,Kyškovice,Kyškovice,393427506,"[50.45715288852792, 14.2951964864133]"
19, , ,Kyškovice,Kyškovice,166379506,"[50.454556636888135, 14.291479127741027]"
52, , ,Kyškovice,Kyškovice,166390506,"[50.44642849469056, 14.284129033111107]"
34, , ,Kyškovice,Kyškovice,166397506,"[50.44302498078826, 14.285257985914956]"
85, ,Na Hamráčku,Kyškovice,Kyškovice,166399506,"[50.456773611173624, 14.29337238941609]"
31, , ,Kyškovice,Kyškovice,166411506,"[50.45386880151202, 14.291735621970524]"
21, ,Na Hamráčku,Kyškovice,Kyškovice,166414506,"[50.45603104861258, 14.29294837279064]"
40, , ,Kyškovice,Kyškovice,166366506,"[50.45643577804137, 14.293372613847888]"
67, , ,Kyškovice,Kyškovice,166367506,"[50.44853448605096, 14.285527135814018]"
77, , ,Kyškovice,Kyškovice,166369506,"[50.44637284754356, 14.283612215825539]"
57, , ,Kyškovice,Kyškovice,166376506,"[50.44623828678288, 14.284027707437613]"
29, ,Na Hamráčku,Kyškovice,Kyškovice,166387506,"[50.454423805247835, 14.291103336062143]"
98, , ,Kyškovice,Kyškovice,166389506,"[50.447422484453135, 14.28422809907013]"
46, , ,Kyškovice,Kyškovice,166391506,"[50.44711789841854, 14.285207292892643]"
18, , ,Kyškovice,Kyškovice,166394506,"[50.44680668034049, 14.28405283043531]"
58, , ,Kyškovice,Kyškovice,166400506,"[50.446314738815396, 14.284099289669896]"
11, , ,Kyškovice,Kyškovice,166401506,"[50.450006741979415, 14.288180332815616]"
49, , ,Kyškovice,Kyškovice,166424506,"[50.44658438080708, 14.284352577898861]"
14, , ,Kyškovice,Kyškovice,166428506,"[50.444108432434966, 14.283574854343822]"
86, , ,Kyškovice,Kyškovice,166435506,"[50.454206585462714, 14.28982919232801]"
38, , ,Kyškovice,Kyškovice,166442506,"[50.455934770145845, 14.293833440400025]"
20, , ,Kyškovice,Kyškovice,166483506,"[50.44544014885524, 14.283946572736632]"
44, , ,Kyškovice,Kyškovice,166331506,"[50.455000510741684, 14.292011673343154]"
9, , ,Kyškovice,Kyškovice,166491506,"[50.44933424356049, 14.287548519832308]"
106, ,Na Hamráčku,Kyškovice,Kyškovice,166496506,"[50.45410790334949, 14.289539363096523]"
104, , ,Kyškovice,Kyškovice,166502506,"[50.445599602589105, 14.283555787792755]"
109, , ,Kyškovice,Kyškovice,265420506,"[50.453406756118454, 14.290049164879864]"
91, , ,Kyškovice,Kyškovice,166380506,"[50.44878523228707, 14.284988160887021]"
89, , ,Kyškovice,Kyškovice,166398506,"[50.448441459784554, 14.28482184596124]"
35, , ,Kyškovice,Kyškovice,166407506,"[50.456402295256105, 14.29430242117827]"
28, , ,Kyškovice,Kyškovice,166421506,"[50.44830534332625, 14.28596315185571]"
32, , ,Kyškovice,Kyškovice,166422506,"[50.446695724444346, 14.283919978558455]"
68, , ,Kyškovice,Kyškovice,166429506,"[50.44597002228401, 14.283843921018105]"
38, , ,Kyškovice,Kyškovice,166439506,"[50.44675930882851, 14.285293565310567]"
39, , ,Kyškovice,Kyškovice,166448506,"[50.455814140583065, 14.293687582586088]"
65, ,Na Hamráčku,Kyškovice,Kyškovice,166451506,"[50.455008457852806, 14.291238885977366]"
51, , ,Kyškovice,Kyškovice,166464506,"[50.45424226970165, 14.290963675716771]"
59, , ,Kyškovice,Kyškovice,166465506,"[50.44616083569791, 14.283929617987267]"
7, , ,Kyškovice,Kyškovice,166489506,"[50.448847196301266, 14.286992235216722]"
79, ,Na Hamráčku,Kyškovice,Kyškovice,166337506,"[50.45370107369024, 14.29044940767726]"
63, , ,Kyškovice,Kyškovice,166348506,"[50.446086433111226, 14.28386881904876]"
111, ,Na Hamráčku,Kyškovice,Kyškovice,166493506,"[50.45687287145954, 14.292563719171262]"
70, , ,Kyškovice,Kyškovice,166506506,"[50.44836986669821, 14.28561938358095]"
13, , ,Kyškovice,Kyškovice,166354506,"[50.444057597908696, 14.283263983862316]"
26, , ,Kyškovice,Kyškovice,166356506,"[50.444293863974124, 14.283410539399975]"
114, , ,Kyškovice,Kyškovice,345060506,"[50.453893734251494, 14.289391052211405]"
82, , ,Kyškovice,Kyškovice,166371506,"[50.453498893811, 14.289184228233529]"
71, , ,Kyškovice,Kyškovice,166372506,"[50.445561426820845, 14.283121025636968]"
69, , ,Kyškovice,Kyškovice,166386506,"[50.44942317190375, 14.28562108341726]"
96, , ,Kyškovice,Kyškovice,166403506,"[50.451110732054644, 14.289254366499659]"
61, ,Na Hamráčku,Kyškovice,Kyškovice,166404506,"[50.45386407128909, 14.290583727737877]"
62, , ,Kyškovice,Kyškovice,166430506,"[50.452896531907044, 14.288758979565223]"
