cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
181, , ,Křetín,Křetín,62366944010,"[49.56156782381592, 16.509811663788053]"
43, , ,Křetín,Křetín,156655731,"[49.56245072468694, 16.49767074653209]"
163, , ,Křetín,Křetín,55455328010,"[49.56158239274756, 16.509064532102375]"
179, , ,Křetín,Křetín,267211731,"[49.56137547725269, 16.507555752148807]"
83, , ,Křetín,Křetín,156738731,"[49.561939511041366, 16.492622535833405]"
176, , ,Křetín,Křetín,277476731,"[49.56164222295521, 16.510667594362484]"
175, , ,Křetín,Křetín,280874731,"[49.56088487908109, 16.508542202781875]"
171, , ,Křetín,Křetín,20588899010,"[49.56331397728725, 16.509246023805776]"
16, , ,Křetín,Křetín,156806731,"[49.56277075690262, 16.499713976181486]"
170, , ,Křetín,Křetín,258591731,"[49.56312542422151, 16.509138679836603]"
167, , ,Křetín,Křetín,279924731,"[49.56269819503411, 16.509363531894824]"
169, , ,Křetín,Křetín,252479731,"[49.56298436373843, 16.50919022617431]"
61, , ,Křetín,Křetín,156777731,"[49.563183630748064, 16.504305459494727]"
30, , ,Křetín,Křetín,156678731,"[49.561736850402426, 16.50019406716272]"
88, , ,Křetín,Křetín,156767731,"[49.56244106143009, 16.491081236843986]"
38, , ,Křetín,Křetín,263911731,"[49.56230959680185, 16.501843997118744]"
89, , ,Křetín,Křetín,156605731,"[49.562090648542295, 16.492820120824348]"
48, , ,Křetín,Křetín,156645731,"[49.56215664151033, 16.503955738830072]"
80, , ,Křetín,Křetín,156752731,"[49.56153198487446, 16.50754457375811]"
106, , ,Křetín,Křetín,156748731,"[49.56040831932433, 16.50323992403223]"
65, , ,Křetín,Křetín,156604731,"[49.562063004319775, 16.493369786227056]"
97, , ,Křetín,Křetín,156729731,"[49.5626358267265, 16.497520100678273]"
11, , ,Křetín,Křetín,156646731,"[49.562708711066996, 16.50292604025314]"
92, , ,Křetín,Křetín,156650731,"[49.56151234965332, 16.50846054701292]"
148, , ,Křetín,Křetín,156761731,"[49.56331614265214, 16.508552128773083]"
152, , ,Křetín,Křetín,156744731,"[49.56199265671716, 16.50891777045533]"
119, , ,Křetín,Křetín,156624731,"[49.56064611314143, 16.503364120372506]"
59, , ,Křetín,Křetín,156722731,"[49.56214739267512, 16.493923929967714]"
149, , ,Křetín,Křetín,156731731,"[49.562078952645116, 16.50823671618246]"
141, , ,Křetín,Křetín,156727731,"[49.563511904831635, 16.508669244402782]"
