cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
108, , ,67163,Lechovice,Lechovice,Lechovice,679861,"[48.87420103930129, 16.216972415163745]"
151, , ,67163,Lechovice,Lechovice,Lechovice,679861,"[48.87428263424248, 16.216415068378634]"
84, , ,67163,Lechovice,Lechovice,Lechovice,679861,"[48.87333408640921, 16.225205074549816]"
13, , ,67163,Lechovice,Lechovice,Lechovice,679861,"[48.8731474708675, 16.223942636309623]"
177, , ,67163,Lechovice,Lechovice,Lechovice,679861,"[48.87536720749608, 16.21595235752519]"
175, , ,67163,Lechovice,Lechovice,Lechovice,679861,"[48.87587534480584, 16.21616483181348]"
114, , ,67163,Lechovice,Lechovice,Lechovice,679861,"[48.87313684404594, 16.218103597968355]"
179, , ,67163,Lechovice,Lechovice,Lechovice,679861,"[48.87486509676413, 16.215752709534495]"
141, , ,67163,Lechovice,Lechovice,Lechovice,679861,"[48.87403929522371, 16.219048506598448]"
192, , ,67163,Lechovice,Lechovice,Lechovice,679861,"[48.87335781673225, 16.217075318126607]"
209, , ,67163,Lechovice,Lechovice,Lechovice,679861,"[48.87407859553941, 16.2153372744758]"
195, , ,67163,Lechovice,Lechovice,Lechovice,679861,"[48.87358535082326, 16.217353844235582]"
91, , ,67163,Lechovice,Lechovice,Lechovice,679861,"[48.87318911164534, 16.218779796620403]"
211, , ,67163,Lechovice,Lechovice,Lechovice,679861,"[48.87434012654753, 16.21536477115496]"
81, , ,67163,Lechovice,Lechovice,Lechovice,679861,"[48.872497715942664, 16.221750914718047]"
48, , ,67163,Lechovice,Lechovice,Lechovice,679861,"[48.87663383988435, 16.23553082191195]"
210, , ,67163,Lechovice,Lechovice,Lechovice,679861,"[48.87416002855137, 16.215336999696667]"
26, , ,67163,Lechovice,Lechovice,Lechovice,679861,"[48.87368659300602, 16.22123050186816]"
202, , ,67163,Lechovice,Lechovice,Lechovice,679861,"[48.873187660871, 16.215240270873707]"
117, , ,67163,Lechovice,Lechovice,Lechovice,679861,"[48.87484835306488, 16.23670419821955]"
