cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
150, , ,Ledčice,Ledčice,461449206,"[50.341162584215425, 14.276217319941363]"
102, , ,Ledčice,Ledčice,312759206,"[50.34010861515404, 14.290428623817006]"
266, , ,Ledčice,Ledčice,61941727010,"[50.34320858667929, 14.296559925812534]"
11, , ,Ledčice,Ledčice,492416206,"[50.33883601013414, 14.290416149152712]"
201, , ,Ledčice,Ledčice,312650206,"[50.340604550209896, 14.299727228703784]"
8, , ,Ledčice,Ledčice,312784206,"[50.3394602493396, 14.294279472485346]"
262, , ,Ledčice,Ledčice,57645611010,"[50.33800021287472, 14.296739005022474]"
257, , ,Ledčice,Ledčice,312655206,"[50.340291916281885, 14.290169415170375]"
260, , ,Ledčice,Ledčice,48675236010,"[50.341037563185566, 14.298531749961017]"
259, , ,Ledčice,Ledčice,312591206,"[50.34134473572661, 14.291897559546873]"
258, , ,Ledčice,Ledčice,30105428010,"[50.34194510561245, 14.29639097434067]"
256, , ,Ledčice,Ledčice,29373088010,"[50.341402557633806, 14.302423893553337]"
253, , ,Ledčice,Ledčice,25471965010,"[50.3413956909909, 14.30041123506412]"
252, , ,Ledčice,Ledčice,23977405010,"[50.34010202415309, 14.301784862885551]"
247, , ,Ledčice,Ledčice,16342139010,"[50.340193642214395, 14.29324039537255]"
220, , ,Ledčice,Ledčice,312700206,"[50.3421108092639, 14.291021498720564]"
20, , ,Ledčice,Ledčice,312716206,"[50.33944425627624, 14.28880798507976]"
209, , ,Ledčice,Ledčice,312630206,"[50.33811790955907, 14.2859481341207]"
25, , ,Ledčice,Ledčice,312670206,"[50.34026007700975, 14.289608983953995]"
78, , ,Ledčice,Ledčice,312681206,"[50.33951506203327, 14.288991137158309]"
69, , ,Ledčice,Ledčice,312742206,"[50.339231407719296, 14.288457199994033]"
89, , ,Ledčice,Ledčice,312593206,"[50.33967166817669, 14.288304560826473]"
226, , ,Ledčice,Ledčice,312731206,"[50.3425834285516, 14.294081768489168]"
46, , ,Ledčice,Ledčice,312582206,"[50.34149808699392, 14.29443154529318]"
187, , ,Ledčice,Ledčice,312572206,"[50.339757889274026, 14.299349212884756]"
52, , ,Ledčice,Ledčice,312710206,"[50.34133954238135, 14.295402228193478]"
251, , ,Ledčice,Ledčice,16136873010,"[50.34161515061655, 14.301753539633118]"
250, , ,Ledčice,Ledčice,23132241010,"[50.3418758674613, 14.301725186859507]"
249, , ,Ledčice,Ledčice,15469287010,"[50.33972643921869, 14.302561570067745]"
248, , ,Ledčice,Ledčice,460928206,"[50.33980228532943, 14.303310988596957]"
246, , ,Ledčice,Ledčice,20325081010,"[50.34212249421164, 14.301742452375809]"
245, , ,Ledčice,Ledčice,20916114010,"[50.34138847709078, 14.301348960802363]"
244, , ,Ledčice,Ledčice,513692206,"[50.33970513004858, 14.293360943437396]"
234, , ,Ledčice,Ledčice,549087206,"[50.33924141667333, 14.29946159660184]"
243, , ,Ledčice,Ledčice,493738206,"[50.340433664018725, 14.29623770863144]"
242, , ,Ledčice,Ledčice,0,"[50.339978144982084, 14.302024568868404]"
240, , ,Ledčice,Ledčice,0,"[50.341361200152775, 14.301042843659856]"
3, , ,Ledčice,Ledčice,312838206,"[50.340626419688355, 14.294435078063335]"
13, , ,Ledčice,Ledčice,312758206,"[50.33960686041717, 14.292348618974604]"
34, , ,Ledčice,Ledčice,312559206,"[50.341588838581174, 14.291848798933561]"
36, , ,Ledčice,Ledčice,312641206,"[50.342009125095096, 14.291331734166855]"
42, , ,Ledčice,Ledčice,312782206,"[50.34142507364987, 14.292277228636832]"
37, , ,Ledčice,Ledčice,312756206,"[50.33989155244138, 14.295457727867452]"
43, , ,Ledčice,Ledčice,312633206,"[50.341490849263764, 14.292848864483528]"
10, , ,Ledčice,Ledčice,312648206,"[50.33971000341413, 14.29312854310302]"
26, , ,Ledčice,Ledčice,312581206,"[50.34023838058289, 14.289804344547441]"
57, , ,Ledčice,Ledčice,312600206,"[50.34105031625719, 14.296021069718757]"
60, , ,Ledčice,Ledčice,312626206,"[50.34051761237515, 14.29654297362538]"
80, , ,Ledčice,Ledčice,312747206,"[50.33965181193856, 14.28866703227298]"
84, , ,Ledčice,Ledčice,312715206,"[50.3396350256471, 14.296602175603672]"
86, , ,Ledčice,Ledčice,312837206,"[50.33996145758192, 14.291521496878282]"
58, , ,Ledčice,Ledčice,312794206,"[50.34096223811168, 14.295828330536809]"
64, , ,Ledčice,Ledčice,312776206,"[50.34074413505459, 14.293784353653844]"
85, , ,Ledčice,Ledčice,312766206,"[50.33983782470125, 14.296636896530863]"
4, , ,Ledčice,Ledčice,312811206,"[50.339496338277364, 14.295435537000944]"
11, , ,Ledčice,Ledčice,312774206,"[50.33962321016504, 14.292939079786724]"
31, , ,Ledčice,Ledčice,312586206,"[50.34102503648357, 14.291659521115282]"
49, , ,Ledčice,Ledčice,312773206,"[50.342029336425114, 14.29234919226591]"
77, , ,Ledčice,Ledčice,312608206,"[50.340878823115695, 14.291616043455608]"
59, , ,Ledčice,Ledčice,312627206,"[50.3406405392016, 14.296451537382476]"
66, , ,Ledčice,Ledčice,312560206,"[50.34177514878212, 14.294720871954127]"
73, , ,Ledčice,Ledčice,312728206,"[50.33982915435658, 14.289828654963172]"
28, , ,Ledčice,Ledčice,312740206,"[50.34056704465066, 14.290627216263754]"
39, , ,Ledčice,Ledčice,312628206,"[50.34209930104872, 14.291789125036725]"
61, , ,Ledčice,Ledčice,312611206,"[50.33859148724302, 14.29602084805774]"
55, , ,Ledčice,Ledčice,312810206,"[50.3415656166308, 14.296073721430623]"
82, , ,Ledčice,Ledčice,312644206,"[50.340631568219685, 14.296198176600912]"
