cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
128, , ,Libišany,Libišany,519305606,"[50.15749226774249, 15.75999208117536]"
277, , ,Libišany,Libišany,15540433010,"[50.15790873476398, 15.756481513897665]"
276, , ,Libišany,Libišany,62169821010,"[50.157725806076904, 15.756278346082633]"
247, , ,Libišany,Libišany,61242665010,"[50.157893861103695, 15.762304884668108]"
245, , ,Libišany,Libišany,61249658010,"[50.15800767763685, 15.76180932764347]"
246, , ,Libišany,Libišany,61055592010,"[50.15793177372364, 15.762042598155878]"
275, , ,Libišany,Libišany,60899413010,"[50.151446312390966, 15.76466444545311]"
250, , ,Libišany,Libišany,60859537010,"[50.15748562655087, 15.761002704704472]"
274, , ,Libišany,Libišany,60760521010,"[50.14844090388342, 15.755334411994465]"
264, , ,Libišany,Libišany,58813712010,"[50.15718739060319, 15.760247918755752]"
253, , ,Libišany,Libišany,58813616010,"[50.157164787716205, 15.76160510410322]"
156, , ,Libišany,Libišany,697996606,"[50.1580841019716, 15.75765701998846]"
259, , ,Libišany,Libišany,57538603010,"[50.14790836061591, 15.754730336395594]"
261, , ,Libišany,Libišany,57537173010,"[50.14772914214983, 15.754636858718065]"
263, , ,Libišany,Libišany,57487654010,"[50.15177288631875, 15.758126233101905]"
235, , ,Libišany,Libišany,46289271010,"[50.15954198765475, 15.755299860168519]"
234, , ,Libišany,Libišany,46289281010,"[50.15947405883744, 15.755594386822853]"
230, , ,Libišany,Libišany,44242197010,"[50.149880043375745, 15.755998140226755]"
232, , ,Libišany,Libišany,44722118010,"[50.15917694219806, 15.755734234128585]"
231, , ,Libišany,Libišany,44198115010,"[50.15814005411582, 15.755673459474187]"
233, , ,Libišany,Libišany,45099128010,"[50.15960205583699, 15.755020889620281]"
18, , ,Libišany,Libišany,708451606,"[50.159021777511484, 15.761851778577833]"
19, , ,Libišany,Libišany,709459606,"[50.14672202680636, 15.75531738877868]"
15, , ,Libišany,Libišany,709460606,"[50.1543262496135, 15.756946694121503]"
16, , ,Libišany,Libišany,708456606,"[50.15558994264688, 15.755598259603833]"
219, , ,Libišany,Libišany,35216947010,"[50.15168153457319, 15.759059203952312]"
20, , ,Libišany,Libišany,38162036010,"[50.149459689296194, 15.756301795344001]"
222, , ,Libišany,Libišany,38980061010,"[50.15799839321069, 15.755361561728762]"
221, , ,Libišany,Libišany,37933069010,"[50.15863648034299, 15.755299213566094]"
223, , ,Libišany,Libišany,39764074010,"[50.15916342724906, 15.756737440841256]"
220, , ,Libišany,Libišany,36849036010,"[50.15890108974315, 15.755207696228434]"
215, , ,Libišany,Libišany,29669284010,"[50.151773446879766, 15.758605258647778]"
211, , ,Libišany,Libišany,26718354010,"[50.15193318078373, 15.758209158377829]"
214, , ,Libišany,Libišany,27262446010,"[50.15828217876639, 15.759057757888202]"
212, , ,Libišany,Libišany,27046418010,"[50.14825456587587, 15.755229573570288]"
192, , ,Libišany,Libišany,653035606,"[50.15750563796044, 15.758849837386235]"
210, , ,Libišany,Libišany,26471328010,"[50.15866870034737, 15.755011335826314]"
12, , ,Libišany,Libišany,26504357010,"[50.14943510912851, 15.757278674616874]"
208, , ,Libišany,Libišany,25913088010,"[50.15535221819055, 15.755332437703936]"
209, , ,Libišany,Libišany,26044887010,"[50.151912851131684, 15.759241661466191]"
207, , ,Libišany,Libišany,686833606,"[50.15294600376015, 15.755244581810157]"
64, , ,Libišany,Libišany,519425606,"[50.152684881222164, 15.755617286766896]"
206, , ,Libišany,Libišany,24320802010,"[50.15876767737565, 15.75476741230328]"
205, , ,Libišany,Libišany,16317837010,"[50.150103156288736, 15.753716065290652]"
113, , ,Libišany,Libišany,519379606,"[50.15036100068327, 15.765448678244319]"
147, , ,Libišany,Libišany,22840592010,"[50.15599108619536, 15.755044453484478]"
200, , ,Libišany,Libišany,23597953010,"[50.1501317440862, 15.756092235702086]"
